Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-08-25 04:28:02,3254,25,2741,488.0,717.7265669113498,0.7682851874615857
Altai Krai,2020-08-25 04:28:02,11251,110,9741,1400.0,478.7496595860566,0.9776908719224958
Altai Republic,2020-08-25 04:28:02,2014,8,1698,308.0,923.5863030408644,0.3972194637537239
Amur Oblast,2020-08-25 04:28:02,3208,47,2799,362.0,401.7915293127462,1.4650872817955112
Arkhangelsk Oblast,2020-08-25 04:28:02,10358,245,8810,1303.0,896.7747968014627,2.3653214906352584
Astrakhan Oblast,2020-08-25 04:28:02,5445,66,4681,698.0,535.1277721977291,1.2121212121212122
Bashkortostan Republic,2020-08-25 04:28:02,7567,28,6652,887.0,186.22826362755526,0.3700277520814061
Belgorod Oblast,2020-08-25 04:28:02,7074,51,6185,838.0,456.42361066304665,0.720949957591179
Bryansk Oblast,2020-08-25 04:28:02,8022,35,6614,1373.0,662.4375919708137,0.4363001745200698
Buryatia Republic,2020-08-25 04:28:02,4906,45,4241,620.0,498.3184545424073,0.9172441907867916
Chechen Republic,2020-08-25 04:28:02,2233,38,1526,669.0,155.39523487088556,1.7017465293327363
Chelyabinsk Oblast,2020-08-25 04:28:02,13219,103,8917,4199.0,378.4386991717234,0.7791814812013012
Chukotka Autonomous Okrug,2020-08-25 04:28:02,168,2,160,6.0,340.43932884818025,1.1904761904761905
Chuvashia Republic,2020-08-25 04:28:02,7551,68,6217,1266.0,613.3454415786639,0.9005429744404715
Dagestan Republic,2020-08-25 04:28:02,10521,485,9350,686.0,343.3875618699788,4.6098279631213765
Ingushetia Republic,2020-08-25 04:28:02,4205,76,3750,379.0,861.6044078083282,1.807372175980975
Irkutsk Oblast,2020-08-25 04:28:02,16273,239,12006,4028.0,676.8585742836999,1.4686904688748232
Ivanovo Oblast,2020-08-25 04:28:02,7143,114,5890,1139.0,703.9893716626291,1.5959680806383871
Jewish Autonomous Okrug,2020-08-25 04:28:02,594,9,534,51.0,366.6349821620354,1.5151515151515151
Kabardino-Balkarian Republic,2020-08-25 04:28:02,6358,77,5983,298.0,734.3259862235917,1.2110726643598615
Kaliningrad Oblast,2020-08-25 04:28:02,3283,58,2616,609.0,330.0827770790037,1.766676819981724
Kalmykia Republic,2020-08-25 04:28:02,3775,48,2495,1232.0,1370.6687774360687,1.271523178807947
Kaluga Oblast,2020-08-25 04:28:02,7853,62,6563,1228.0,775.9452046131835,0.7895071947026614
Kamchatka Krai,2020-08-25 04:28:02,3768,42,3122,604.0,1194.0790411874875,1.1146496815286624
Karachay-Cherkess Republic,2020-08-25 04:28:02,4830,26,4274,530.0,1035.802747129025,0.5383022774327122
Karelia Republic,2020-08-25 04:28:02,2890,15,1963,912.0,464.2689611299246,0.5190311418685121
Kemerovo Oblast,2020-08-25 04:28:02,5769,21,4019,1729.0,214.07285007812973,0.3640145605824233
Khabarovsk Krai,2020-08-25 04:28:02,9593,83,7423,2087.0,722.2002225397537,0.8652142187011362
Khakassia Republic,2020-08-25 04:28:02,3289,39,3004,246.0,611.8921774915211,1.1857707509881423
Khanty-Mansi Autonomous Okrug,2020-08-25 04:28:02,19152,158,17595,1399.0,1249.9322888079762,0.8249791144527987
Kirov Oblast,2020-08-25 04:28:02,6110,94,4834,1182.0,476.13926644940375,1.5384615384615383
Komi Republic,2020-08-25 04:28:02,6370,79,5243,1048.0,757.5460265700052,1.2401883830455258
Kostroma Oblast,2020-08-25 04:28:02,3261,38,2200,1023.0,506.89854567838285,1.1652867218644587
Krasnodar Krai,2020-08-25 04:28:02,10595,163,8901,1531.0,189.0809541315839,1.5384615384615383
Krasnoyarsk Krai,2020-08-25 04:28:02,16089,429,12972,2688.0,559.3261526085373,2.666418049599105
Kurgan Oblast,2020-08-25 04:28:02,2824,17,2403,404.0,333.98893247723043,0.6019830028328612
Kursk Oblast,2020-08-25 04:28:02,6913,52,5695,1166.0,619.8682432523311,0.7522059887169101
Leningrad Oblast,2020-08-25 04:28:02,6596,74,4840,1682.0,363.6532040736216,1.1218920557913887
Lipetsk Oblast,2020-08-25 04:28:02,4952,25,4467,460.0,430.53344589336996,0.5048465266558966
Magadan Oblast,2020-08-25 04:28:02,1787,18,1477,292.0,1240.1884919946422,1.0072747621712368
