Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-06-27 04:21:39,14948,237,14389.0,322.0,3297.042631281761,1.5854963874765855
Altai Krai,2021-06-27 04:21:39,53715,2421,47152.0,4142.0,2285.666870915033,4.507120915945267
Altai Republic,2021-06-27 04:21:39,17664,248,16975.0,441.0,8100.411349013817,1.4039855072463767
Amur Oblast,2021-06-27 04:21:39,23761,303,23003.0,455.0,2975.987695760649,1.275198855267034
Arkhangelsk Oblast,2021-06-27 04:21:39,66290,1028,63490.0,1772.0,5739.254805944099,1.5507618041936944
Astrakhan Oblast,2021-06-27 04:21:39,35588,844,34097.0,647.0,3497.5440141364147,2.371585927840845
Bashkortostan Republic,2021-06-27 04:21:39,40791,581,38467.0,1743.0,1003.8901944801912,1.4243337991223557
Belgorod Oblast,2021-06-27 04:21:39,40503,742,38525.0,1236.0,2613.305838660641,1.8319630644643607
Bryansk Oblast,2021-06-27 04:21:39,43266,459,41505.0,1302.0,3572.8028988044407,1.0608792123145194
Buryatia Republic,2021-06-27 04:21:39,43009,1143,40187.0,1679.0,4368.564698616877,2.6575832965193333
Chechen Republic,2021-06-27 04:21:39,12655,152,12300.0,203.0,880.6657847250591,1.201106282101936
Chelyabinsk Oblast,2021-06-27 04:21:39,64300,1763,60417.0,2120.0,1840.8055342115,2.7418351477449456
Chukotka Autonomous Okrug,2021-06-27 04:21:39,803,8,751.0,44.0,1627.2189349112423,0.99626400996264
Chuvashia Republic,2021-06-27 04:21:39,27070,1525,24741.0,804.0,2198.8161969983357,5.633542667159218
Dagestan Republic,2021-06-27 04:21:39,35287,1535,32397.0,1355.0,1151.7077174893966,4.3500439255249805
Ingushetia Republic,2021-06-27 04:21:39,16084,192,15656.0,236.0,3295.611247369597,1.193732902263119
Irkutsk Oblast,2021-06-27 04:21:39,73216,2663,68950.0,1603.0,3045.3436597281,3.637183129370629
Ivanovo Oblast,2021-06-27 04:21:39,37907,1279,35692.0,936.0,3735.98279597022,3.3740470097871107
Jewish Autonomous Okrug,2021-06-27 04:21:39,4658,150,4371.0,137.0,2875.0601799844458,3.2202662086732503
Kabardino-Balkarian Republic,2021-06-27 04:21:39,24784,491,23921.0,372.0,2862.462290431818,1.9811168495803744
Kaliningrad Oblast,2021-06-27 04:21:39,35677,540,34389.0,748.0,3587.073785515569,1.5135801777055249
Kalmykia Republic,2021-06-27 04:21:39,21416,406,20633.0,377.0,7775.958288098239,1.8957788569293983
Kaluga Oblast,2021-06-27 04:21:39,37093,367,35422.0,1304.0,3665.113392934777,0.9894050090313536
Kamchatka Krai,2021-06-27 04:21:39,15117,238,14112.0,767.0,4790.576662853304,1.5743864523384268
Karachay-Cherkess Republic,2021-06-27 04:21:39,20808,171,20345.0,292.0,4462.315437321066,0.8217993079584776
Karelia Republic,2021-06-27 04:21:39,49312,617,47189.0,1506.0,7921.810038490948,1.251216742375081
Kemerovo Oblast,2021-06-27 04:21:39,39304,799,37455.0,1050.0,1458.4710174156369,2.0328719723183397
