Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-09-04 04:28:26,3440,27,2913,500.0,758.7521174477696,0.7848837209302325
Altai Krai,2020-09-04 04:28:26,11908,120,10671,1117.0,506.70615468409585,1.0077258985555928
Altai Republic,2020-09-04 04:28:26,2209,8,1917,284.0,1013.0100016967574,0.362154821186057
Amur Oblast,2020-09-04 04:28:26,3479,47,3082,350.0,435.73339478773175,1.3509629203794191
Arkhangelsk Oblast,2020-09-04 04:28:26,10985,252,9163,1570.0,951.0591951017636,2.2940373236231224
Astrakhan Oblast,2020-09-04 04:28:26,5809,75,5523,211.0,570.9012357569527,1.2911000172146672
Bashkortostan Republic,2020-09-04 04:28:26,7888,29,6925,934.0,194.1282600098,0.36764705882352944
Belgorod Oblast,2020-09-04 04:28:26,7491,54,6860,577.0,483.3289888997572,0.7208650380456548
Bryansk Oblast,2020-09-04 04:28:26,8305,35,6784,1486.0,685.8070557613572,0.4214328717639976
Buryatia Republic,2020-09-04 04:28:26,5380,54,4546,780.0,546.4641837419795,1.0037174721189592
Chechen Republic,2020-09-04 04:28:26,2286,38,1628,620.0,159.08352302500867,1.6622922134733158
Chelyabinsk Oblast,2020-09-04 04:28:26,13877,108,9616,4153.0,397.2761803771849,0.7782661958636593
Chukotka Autonomous Okrug,2020-09-04 04:28:26,172,2,164,6.0,348.54502715408927,1.162790697674419
Chuvashia Republic,2020-09-04 04:28:26,7865,71,6504,1290.0,638.8507347392652,0.9027336300063572
Dagestan Republic,2020-09-04 04:28:26,11219,505,9786,928.0,366.16909577219775,4.501292450307513
Ingushetia Republic,2020-09-04 04:28:26,4477,76,3963,438.0,917.3372018449194,1.6975653339289702
Irkutsk Oblast,2020-09-04 04:28:26,17033,252,13205,3576.0,708.4699868355104,1.4794810074561149
Ivanovo Oblast,2020-09-04 04:28:26,7509,119,6257,1133.0,740.0610656327427,1.5847649487281927
Jewish Autonomous Okrug,2020-09-04 04:28:26,646,9,563,74.0,398.730973866456,1.3931888544891642
Kabardino-Balkarian Republic,2020-09-04 04:28:26,6599,79,6138,382.0,762.1606138863608,1.1971510834974997
Kaliningrad Oblast,2020-09-04 04:28:26,3483,58,2859,566.0,350.19138366316474,1.6652311225954637
Kalmykia Republic,2020-09-04 04:28:26,4490,56,2779,1655.0,1630.278890248463,1.2472160356347441
Kaluga Oblast,2020-09-04 04:28:26,8134,69,6980,1085.0,803.7104666144957,0.8482911236783871
Kamchatka Krai,2020-09-04 04:28:26,3901,42,3180,679.0,1236.2267355818442,1.07664701358626
Karachay-Cherkess Republic,2020-09-04 04:28:26,5272,26,4443,803.0,1130.5904933466293,0.4931714719271624
Karelia Republic,2020-09-04 04:28:26,3206,16,2294,896.0,515.0333181254458,0.4990642545227698
Kemerovo Oblast,2020-09-04 04:28:26,6701,45,4824,1832.0,248.65698879763343,0.6715415609610506
Khabarovsk Krai,2020-09-04 04:28:26,10309,93,8167,2049.0,776.1036270366228,0.9021243573576486
Khakassia Republic,2020-09-04 04:28:26,3478,45,3168,265.0,647.0541177608727,1.2938470385278895
Khanty-Mansi Autonomous Okrug,2020-09-04 04:28:26,19816,170,18713,933.0,1293.2674517031567,0.8578926120306822
Kirov Oblast,2020-09-04 04:28:26,6748,98,5138,1512.0,525.857245499276,1.4522821576763485
Komi Republic,2020-09-04 04:28:26,6644,85,5751,808.0,790.1312088745862,1.279349789283564
Kostroma Oblast,2020-09-04 04:28:26,3625,41,2640,944.0,563.479677425372,1.1310344827586207
Krasnodar Krai,2020-09-04 04:28:26,11472,187,9414,1871.0,204.7321100328014,1.6300557880055788
Krasnoyarsk Krai,2020-09-04 04:28:26,17197,492,13670,3035.0,597.845226329108,2.860964121649125
Kurgan Oblast,2020-09-04 04:28:26,3050,18,2678,354.0,360.7175085182552,0.5901639344262295
Kursk Oblast,2020-09-04 04:28:26,7205,54,6135,1016.0,646.051018752068,0.7494795281054824
Leningrad Oblast,2020-09-04 04:28:26,6911,80,5059,1772.0,381.0199049958762,1.1575748806250905
Lipetsk Oblast,2020-09-04 04:28:26,5193,28,4670,495.0,451.48630543704974,0.5391873676102446
Magadan Oblast,2020-09-04 04:28:26,1992,18,1660,314.0,1382.459695609025,0.9036144578313252
Mari El Republic,2020-09-04 04:28:26,4309,41,3866,402.0,631.5098346408572,0.9514968670225109
Mordovia Republic,2020-09-04 04:28:26,5556,38,4365,1153.0,690.1383257810637,0.6839452843772498
Moscow,2020-09-04 04:28:26,264374,4857,217899,41618.0,2113.8981845234,1.8371700696740223
Moscow Oblast,2020-09-04 04:28:26,68700,1204,52051,15445.0,915.5867651733183,1.75254730713246
Murmansk Oblast,2020-09-04 04:28:26,13040,166,10555,2319.0,1730.4596732563032,1.2730061349693251
Nenets Autonomous Okrug,2020-09-04 04:28:26,315,0,114,201.0,715.9579062208787,0.0
Nizhny Novgorod Oblast,2020-09-04 04:28:26,28110,485,25077,2548.0,869.0001582810678,1.7253646389185344
North Ossetia - Alania Republic,2020-09-04 04:28:26,4989,67,4461,461.0,710.921747308572,1.3429544998997796
Novgorod Oblast,2020-09-04 04:28:26,4406,86,3258,1062.0,726.4920623404718,1.9518837948252383
Novosibirsk Oblast,2020-09-04 04:28:26,11551,367,10287,897.0,414.18520687208235,3.177214094017834
Omsk Oblast,2020-09-04 04:28:26,9412,203,7877,1332.0,480.18423728407134,2.1568210794730134
Orel Oblast,2020-09-04 04:28:26,7179,110,5710,1359.0,960.7265067641624,1.532246831034963
Orenburg Oblast,2020-09-04 04:28:26,10205,77,9115,1013.0,515.9982201727241,0.7545320921117099
Penza Oblast,2020-09-04 04:28:26,8364,110,7778,476.0,628.0906090541469,1.3151602104256337
Perm Krai,2020-09-04 04:28:26,8042,215,5623,2204.0,306.5812417417108,2.6734643123601094
Primorsky Krai,2020-09-04 04:28:26,9836,105,8137,1594.0,514.1562865746977,1.0675071167141117
Pskov Oblast,2020-09-04 04:28:26,4685,65,3467,1153.0,736.0033681776338,1.3874066168623265
Rostov Oblast,2020-09-04 04:28:26,17344,363,14802,2179.0,410.95124408475675,2.0929428044280445
Ryazan Oblast,2020-09-04 04:28:26,7246,45,6312,889.0,646.113953600351,0.6210322936792714
Saint Petersburg,2020-09-04 04:28:26,37232,2483,26093,8656.0,695.6736208492816,6.668994413407821
Sakha (Yakutiya) Republic,2020-09-04 04:28:26,7520,89,6046,1385.0,779.8160380782512,1.1835106382978724
Sakhalin Oblast,2020-09-04 04:28:26,4572,0,2744,1828.0,932.7166903653956,0.0
Samara Oblast,2020-09-04 04:28:26,8781,133,7065,1583.0,274.9635667794161,1.5146338685798884
Saratov Oblast,2020-09-04 04:28:26,12658,77,8187,4394.0,513.9365395156215,0.6083109495970928
Smolensk Oblast,2020-09-04 04:28:26,6202,130,5356,716.0,653.2904688270265,2.0960980328926158
Stavropol Krai,2020-09-04 04:28:26,12367,244,8370,3753.0,441.57227867291937,1.9729926417077708
Sverdlovsk Oblast,2020-09-04 04:28:26,25668,466,20129,5073.0,593.4446423518052,1.8154901044101608
Tambov Oblast,2020-09-04 04:28:26,6827,45,5927,855.0,660.5376410669226,0.6591475025633514
