Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Orenburg Oblast,2020-08-18 04:27:56,8687,66,6967,1654.0,439.24316890156337,0.7597559571773915
Penza Oblast,2020-08-18 04:27:56,7348,97,6982,269.0,551.7945714167709,1.3200870985302122
Perm Krai,2020-08-18 04:27:56,7047,188,4988,1871.0,268.6493422723,2.6678019015183767
Primorsky Krai,2020-08-18 04:27:56,8438,98,6721,1619.0,441.07876638036794,1.1614126570277317
Pskov Oblast,2020-08-18 04:27:56,4190,59,2971,1160.0,658.2399386690042,1.4081145584725536
Rostov Oblast,2020-08-18 04:27:56,15123,288,12384,2451.0,358.3265489099272,1.9043840507835748
Ryazan Oblast,2020-08-18 04:27:56,6772,38,6015,719.0,603.8481498456497,0.5611340815121086
Saint Petersburg,2020-08-18 04:27:56,34168,2257,24624,7287.0,638.4232992366312,6.605595879185202
Sakha (Yakutiya) Republic,2020-08-18 04:27:56,6752,66,5663,1023.0,700.1752512106851,0.9774881516587678
Sakhalin Oblast,2020-08-18 04:27:56,3635,0,1934,1701.0,741.5628104720503,0.0
Samara Oblast,2020-08-18 04:27:56,7620,117,5776,1727.0,238.60862986666092,1.5354330708661417
Saratov Oblast,2020-08-18 04:27:56,11018,66,6791,4161.0,447.34972289327834,0.5990197858050463
Smolensk Oblast,2020-08-18 04:27:56,5949,120,4836,993.0,626.6405996536572,2.017145738779627
Stavropol Krai,2020-08-18 04:27:56,10217,197,6839,3181.0,364.80504335742035,1.9281589507683272
Sverdlovsk Oblast,2020-08-18 04:27:56,23546,374,19102,4070.0,544.3839624752846,1.588380191964665
Tambov Oblast,2020-08-18 04:27:56,6432,44,5326,1062.0,622.3199219778007,0.6840796019900498
Tatarstan Republic,2020-08-18 04:27:56,6103,29,4958,1116.0,156.71687016149824,0.4751761428805506
Tomsk Oblast,2020-08-18 04:27:56,5024,54,3740,1230.0,465.92721742033615,1.07484076433121
Tula Oblast,2020-08-18 04:27:56,8857,293,7533,1031.0,593.6904055689057,3.3081178728689173
Tver Oblast,2020-08-18 04:27:56,5064,170,3996,898.0,394.43153645259287,3.3570300157977884
Tyumen Oblast,2020-08-18 04:27:56,7073,28,6710,335.0,191.55562777597225,0.3958716244874877
Tyva Republic,2020-08-18 04:27:56,6501,60,5665,776.0,2020.6886690994088,0.9229349330872172
Udmurt Republic,2020-08-18 04:27:56,2792,34,2286,472.0,184.52867200160736,1.2177650429799427
Ulyanovsk Oblast,2020-08-18 04:27:56,10839,73,7710,3056.0,869.4724446462349,0.6734938647476705
Vladimir Oblast,2020-08-18 04:27:56,5972,186,5280,506.0,433.2757518661982,3.1145344943067648
Volgograd Oblast,2020-08-18 04:27:56,10763,79,6862,3822.0,426.88702069904286,0.7339960977422652
Vologda Oblast,2020-08-18 04:27:56,2917,30,2392,495.0,247.8989775548169,1.0284538909838876
Voronezh Oblast,2020-08-18 04:27:56,12752,97,11102,1553.0,546.4124968720114,0.7606649937264742
Yamalo-Nenets Autonomous Okrug,2020-08-18 04:27:56,12612,82,11638,892.0,2341.8568852857784,0.650174437044085
Yaroslavl Oblast,2020-08-18 04:27:56,6695,32,5948,715.0,528.962995502827,0.4779686333084392
Zabaykalsky Krai,2020-08-18 04:27:56,4313,51,4000,262.0,402.02981713375954,1.1824715974959426
