Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-08-31 04:28:27,3364,27,2846,491.0,741.9889892715979,0.8026159334126041
Altai Krai,2020-08-31 04:28:27,11655,117,10374,1164.0,495.94056372549016,1.003861003861004
Altai Republic,2020-08-31 04:28:27,2125,8,1811,306.0,974.4890238142187,0.3764705882352941
Amur Oblast,2020-08-31 04:28:27,3355,47,2991,317.0,420.2027995150448,1.4008941877794336
Arkhangelsk Oblast,2020-08-31 04:28:27,10783,251,9017,1515.0,933.5704415823683,2.3277381062784013
Astrakhan Oblast,2020-08-31 04:28:27,5658,72,5280,306.0,556.0611451046374,1.2725344644750796
Bashkortostan Republic,2020-08-31 04:28:27,7763,29,6894,840.0,191.05193743104422,0.3735669200051526
Belgorod Oblast,2020-08-31 04:28:27,7320,53,6590,677.0,472.29584818398376,0.7240437158469946
Bryansk Oblast,2020-08-31 04:28:27,8194,35,6731,1428.0,676.6409409883879,0.42714181108127897
Buryatia Republic,2020-08-31 04:28:27,5190,47,4426,717.0,527.1652627548092,0.9055876685934492
Chechen Republic,2020-08-31 04:28:27,2265,38,1591,636.0,157.62212583186556,1.6777041942604856
Chelyabinsk Oblast,2020-08-31 04:28:27,13620,104,9383,4133.0,389.9186839185167,0.7635829662261381
Chukotka Autonomous Okrug,2020-08-31 04:28:27,171,2,164,5.0,346.51860257761206,1.1695906432748535
Chuvashia Republic,2020-08-31 04:28:27,7743,70,6401,1272.0,628.9410348488407,0.9040423608420508
Dagestan Republic,2020-08-31 04:28:27,10928,495,9611,822.0,356.6713502628199,4.529648609077598
Ingushetia Republic,2020-08-31 04:28:27,4368,76,3890,402.0,895.0031042346678,1.73992673992674
Irkutsk Oblast,2020-08-31 04:28:27,16732,248,12812,3672.0,695.9502037064383,1.4821898159215874
Ivanovo Oblast,2020-08-31 04:28:27,7360,118,6105,1137.0,725.3761410383522,1.6032608695652173
Jewish Autonomous Okrug,2020-08-31 04:28:27,620,9,550,61.0,382.6829780142457,1.4516129032258065
Kabardino-Balkarian Republic,2020-08-31 04:28:27,6488,77,6078,333.0,749.3405156682387,1.1868064118372381
Kaliningrad Oblast,2020-08-31 04:28:27,3415,58,2785,572.0,343.35445742455,1.698389458272328
Kalmykia Republic,2020-08-31 04:28:27,4137,56,2671,1410.0,1502.107743643183,1.3536379018612519
Kaluga Oblast,2020-08-31 04:28:27,8023,67,6858,1098.0,792.7426940801695,0.8350990901159168
Kamchatka Krai,2020-08-31 04:28:27,3841,42,3156,643.0,1217.212738110706,1.0934652434261911
Karachay-Cherkess Republic,2020-08-31 04:28:27,5066,26,4381,659.0,1086.4133989556192,0.513225424397947
Karelia Republic,2020-08-31 04:28:27,3098,16,2237,845.0,497.68347459533095,0.5164622336991608
Kemerovo Oblast,2020-08-31 04:28:27,6345,44,4374,1927.0,235.44673838546245,0.6934594168636722
Khabarovsk Krai,2020-08-31 04:28:27,10033,89,7903,2041.0,755.3252197166006,0.8870726602212698
Khakassia Republic,2020-08-31 04:28:27,3396,42,3115,239.0,631.7986727762864,1.2367491166077738
Khanty-Mansi Autonomous Okrug,2020-08-31 04:28:27,19543,165,18303,1075.0,1275.4504344284815,0.8442920738883488
Kirov Oblast,2020-08-31 04:28:27,6490,98,5059,1333.0,505.751855852149,1.510015408320493
Komi Republic,2020-08-31 04:28:27,6533,85,5552,896.0,776.9306423205406,1.3010867901423542
Kostroma Oblast,2020-08-31 04:28:27,3510,40,2482,988.0,545.6037704173947,1.1396011396011396
Krasnodar Krai,2020-08-31 04:28:27,11121,177,9242,1702.0,198.4680784235342,1.591583490693283
Krasnoyarsk Krai,2020-08-31 04:28:27,16760,470,13359,2931.0,582.6531367840813,2.8042959427207643
Kurgan Oblast,2020-08-31 04:28:27,2957,17,2577,363.0,349.71858120933797,0.5749070003381805
Kursk Oblast,2020-08-31 04:28:27,7095,53,6013,1029.0,636.1876444199753,0.7470049330514447
Leningrad Oblast,2020-08-31 04:28:27,6779,79,4975,1725.0,373.74243032369316,1.165363622953238
Lipetsk Oblast,2020-08-31 04:28:27,5063,26,4593,444.0,440.1839330690897,0.5135295279478571
Magadan Oblast,2020-08-31 04:28:27,1904,18,1597,289.0,1321.3871789355335,0.9453781512605042
Mari El Republic,2020-08-31 04:28:27,4244,39,3811,394.0,621.9836941786489,0.9189443920829408
Mordovia Republic,2020-08-31 04:28:27,5430,38,4263,1129.0,674.4872406391605,0.6998158379373849
Moscow,2020-08-31 04:28:27,261733,4809,213205,43719.0,2092.7811113417474,1.8373686161087823
Moscow Oblast,2020-08-31 04:28:27,68077,1185,51420,15472.0,907.2838458908881,1.7406759992361591
Murmansk Oblast,2020-08-31 04:28:27,12760,159,10321,2280.0,1693.302563707855,1.2460815047021945
Nenets Autonomous Okrug,2020-08-31 04:28:27,314,0,113,201.0,713.6850239789078,0.0
Nizhny Novgorod Oblast,2020-08-31 04:28:27,27550,469,24639,2442.0,851.6881665116832,1.7023593466424682
North Ossetia - Alania Republic,2020-08-31 04:28:27,4901,67,4384,450.0,698.3819369732033,1.3670679453172825
Novgorod Oblast,2020-08-31 04:28:27,4319,76,3169,1074.0,712.146894518497,1.7596665894883077
Novosibirsk Oblast,2020-08-31 04:28:27,11344,355,10022,967.0,406.76278995384837,3.129407616361072
Omsk Oblast,2020-08-31 04:28:27,9241,180,7444,1617.0,471.4601080261479,1.9478411427334703
