Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-10-10 04:23:57,4434,36,3710,688.0,977.9961885940147,0.8119079837618404
Altai Krai,2020-10-10 04:23:57,14853,248,13384,1221.0,632.0210375816994,1.6696963576381876
Altai Republic,2020-10-10 04:23:57,4296,12,3160,1124.0,1970.072868849828,0.2793296089385475
Amur Oblast,2020-10-10 04:23:57,4664,57,4171,436.0,584.1507770307505,1.2221269296740995
Arkhangelsk Oblast,2020-10-10 04:23:57,14982,265,10453,4264.0,1297.1114120177174,1.7687892137231345
Astrakhan Oblast,2020-10-10 04:23:57,7566,128,6565,873.0,743.5769925524366,1.6917790113666402
Bashkortostan Republic,2020-10-10 04:23:57,9191,43,8591,557.0,226.19584657074932,0.4678489827004679
Belgorod Oblast,2020-10-10 04:23:57,9488,58,8524,906.0,612.1780064985844,0.6112984822934233
Bryansk Oblast,2020-10-10 04:23:57,10092,40,8041,2011.0,833.3732458451076,0.39635354736424894
Buryatia Republic,2020-10-10 04:23:57,7694,81,6477,1136.0,781.5047267120427,1.0527683909539902
Chechen Republic,2020-10-10 04:23:57,2479,41,1966,472.0,172.5144591334193,1.6538926986688183
Chelyabinsk Oblast,2020-10-10 04:23:57,16460,142,12195,4123.0,471.2233140454321,0.8626974483596598
Chukotka Autonomous Okrug,2020-10-10 04:23:57,208,2,186,20.0,421.4963119072708,0.9615384615384616
Chuvashia Republic,2020-10-10 04:23:57,8855,102,7445,1308.0,719.2655125386133,1.1518915866741954
Dagestan Republic,2020-10-10 04:23:57,14182,672,12327,1183.0,462.87638080410966,4.738400789733465
Ingushetia Republic,2020-10-10 04:23:57,6140,86,5027,1027.0,1258.0858653848125,1.4006514657980456
Irkutsk Oblast,2020-10-10 04:23:57,20092,315,16995,2782.0,835.7059223565477,1.5677881743977702
Ivanovo Oblast,2020-10-10 04:23:57,9295,143,7298,1854.0,916.0830476836256,1.5384615384615383
Jewish Autonomous Okrug,2020-10-10 04:23:57,1146,19,761,366.0,707.3462787166541,1.6579406631762652
