Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-06-06 02:33:00,962,9,519,434,212.18591191417283,0.9355509355509356
Altai Krai,2020-06-06 02:33:00,2192,13,966,1213,93.27342047930284,0.593065693430657
Altai Republic,2020-06-06 02:33:00,156,0,91,65,71.53895892471442,0.0
Amur Oblast,2020-06-06 02:33:00,615,5,228,382,77.02674268308567,0.8130081300813008
Arkhangelsk Oblast,2020-06-06 02:33:00,2621,9,779,1833,226.9209058135387,0.3433803891644411
Astrakhan Oblast,2020-06-06 02:33:00,2172,20,1166,986,213.4614364028406,0.9208103130755064
Bashkortostan Republic,2020-06-06 02:33:00,3727,18,1286,2423,91.72363400818008,0.4829621679635096
Belgorod Oblast,2020-06-06 02:33:00,2695,22,1236,1437,173.8848785322181,0.8163265306122449
Bryansk Oblast,2020-06-06 02:33:00,4174,31,2720,1423,344.67894650787537,0.7426928605654048
Buryatia Republic,2020-06-06 02:33:00,1681,10,999,672,170.74466410228018,0.594883997620464
Chechen Republic,2020-06-06 02:33:00,1306,14,982,310,90.8849873449962,1.0719754977029097
Chelyabinsk Oblast,2020-06-06 02:33:00,3371,23,1540,1808,96.50630568937738,0.6822901216256304
Chukotka Autonomous Okrug,2020-06-06 02:33:00,97,1,61,35,196.56318391829456,1.0309278350515465
Chuvashia Republic,2020-06-06 02:33:00,3311,15,1476,1820,268.9427568622641,0.453035336756267
Dagestan Republic,2020-06-06 02:33:00,5587,288,4520,779,182.35018611990986,5.154823697870056
Ingushetia Republic,2020-06-06 02:33:00,2268,61,1316,891,464.7131502756929,2.6895943562610225
Irkutsk Oblast,2020-06-06 02:33:00,2542,16,556,1970,105.73185619302929,0.6294256490952006
Ivanovo Oblast,2020-06-06 02:33:00,2447,20,997,1430,241.16785558707176,0.8173273395995097
Jewish Autonomous Okrug,2020-06-06 02:33:00,329,4,247,78,203.0688705914304,1.2158054711246202
Kabardino-Balkarian Republic,2020-06-06 02:33:00,3199,27,1502,1670,369.4729207186647,0.8440137542982182
Kaliningrad Oblast,2020-06-06 02:33:00,1700,24,740,936,170.92315596536898,1.4117647058823528
Kalmykia Republic,2020-06-06 02:33:00,1136,16,609,511,412.4714519648673,1.4084507042253518
Kaluga Oblast,2020-06-06 02:33:00,4357,34,1954,2369,430.50977416269455,0.7803534542116135
Kamchatka Krai,2020-06-06 02:33:00,1033,10,298,725,327.3576564614317,0.968054211035818
Karachay-Cherkess Republic,2020-06-06 02:33:00,1430,7,399,1024,306.6662377628376,0.4895104895104895
Karelia Republic,2020-06-06 02:33:00,548,2,210,336,88.03439124539747,0.36496350364963503
Kemerovo Oblast,2020-06-06 02:33:00,666,7,270,389,24.713558355353513,1.0510510510510511
Khabarovsk Krai,2020-06-06 02:33:00,2398,15,1292,1091,180.53123461381523,0.6255212677231026
Khakassia Republic,2020-06-06 02:33:00,1102,10,680,412,205.01829723188092,0.9074410163339384
Khanty-Mansi Autonomous Okrug,2020-06-06 02:33:00,3104,18,1044,2042,202.57883377506047,0.5798969072164949
Kirov Oblast,2020-06-06 02:33:00,2042,18,1115,909,159.128704106331,0.8814887365328109
Komi Republic,2020-06-06 02:33:00,1480,25,855,600,176.00755405394156,1.6891891891891893
Kostroma Oblast,2020-06-06 02:33:00,862,11,439,412,133.9915812250126,1.2761020881670533
Krasnodar Krai,2020-06-06 02:33:00,4231,41,3109,1081,75.50745794532625,0.9690380524698652
Krasnoyarsk Krai,2020-06-06 02:33:00,4968,49,1427,3492,172.71007061714297,0.9863123993558776
Kurgan Oblast,2020-06-06 02:33:00,268,0,153,115,31.69583353537456,0.0
Kursk Oblast,2020-06-06 02:33:00,3357,15,1668,1674,301.01225120759085,0.4468275245755137
Leningrad Oblast,2020-06-06 02:33:00,3086,17,2011,1058,170.1385366542141,0.5508749189889826
Lipetsk Oblast,2020-06-06 02:33:00,2452,8,892,1552,213.18013112490772,0.3262642740619902
Magadan Oblast,2020-06-06 02:33:00,286,3,206,77,198.48567918884598,1.048951048951049
Mari El Republic,2020-06-06 02:33:00,1975,14,1633,328,289.4481140440225,0.7088607594936709
Mordovia Republic,2020-06-06 02:33:00,2098,15,1064,1019,260.60298910883216,0.7149666348903718
Moscow,2020-06-06 02:33:00,191069,2806,97358,90905,1527.761475102323,1.4685794137196508
Moscow Oblast,2020-06-06 02:33:00,42720,539,10392,31789,569.343036509522,1.2617041198501873
Murmansk Oblast,2020-06-06 02:33:00,3422,7,2427,988,454.1129602671065,0.2045587375803624
Nenets Autonomous Okrug,2020-06-06 02:33:00,80,0,15,65,181.8305793576835,0.0
Nizhny Novgorod Oblast,2020-06-06 02:33:00,11499,125,4612,6762,355.48320242170035,1.0870510479172102
North Ossetia - Alania Republic,2020-06-06 02:33:00,3197,57,2702,438,455.5656095701552,1.7829214888958398
Novgorod Oblast,2020-06-06 02:33:00,1588,9,429,1150,261.8405344976553,0.5667506297229219
Novosibirsk Oblast,2020-06-06 02:33:00,3334,38,1306,1990,119.54752659609751,1.1397720455908815
Omsk Oblast,2020-06-06 02:33:00,1595,18,605,972,81.3741881075323,1.128526645768025
Orel Oblast,2020-06-06 02:33:00,2649,31,1409,1209,354.5012559434832,1.170252925632314
Orenburg Oblast,2020-06-06 02:33:00,2204,8,1587,609,111.44145784034141,0.3629764065335753
Penza Oblast,2020-06-06 02:33:00,2759,26,2260,473,207.1857951196068,0.9423704240666908
Perm Krai,2020-06-06 02:33:00,2011,27,1321,663,76.66437169144248,1.3426156141223273
Primorsky Krai,2020-06-06 02:33:00,2262,22,1356,884,118.24130949897987,0.9725906277630416
Pskov Oblast,2020-06-06 02:33:00,1131,11,420,700,177.6776540894138,0.9725906277630416
Rostov Oblast,2020-06-06 02:33:00,5753,43,2157,3553,136.3124139310197,0.7474361202850687
Ryazan Oblast,2020-06-06 02:33:00,3872,10,1330,2532,345.25989902574645,0.2582644628099173
Saint Petersburg,2020-06-06 02:33:00,17822,291,7076,10455,333.00105475869935,1.6328133767253956
Sakha (Yakutiya) Republic,2020-06-06 02:33:00,2380,14,1177,1189,246.8034801364678,0.5882352941176471
Sakhalin Oblast,2020-06-06 02:33:00,160,0,63,97,32.641004037284176,0.0
Samara Oblast,2020-06-06 02:33:00,2922,23,1282,1617,91.49795491737316,0.7871321013004792
Saratov Oblast,2020-06-06 02:33:00,3553,35,1404,2114,144.25790210925922,0.9850830284266816
Smolensk Oblast,2020-06-06 02:33:00,2828,41,978,1809,297.888656214581,1.4497878359264498
Stavropol Krai,2020-06-06 02:33:00,2903,56,1409,1438,103.65362052134591,1.9290389252497415
Sverdlovsk Oblast,2020-06-06 02:33:00,6930,37,2997,3896,160.2217302282223,0.5339105339105339
Tambov Oblast,2020-06-06 02:33:00,3307,8,1443,1856,319.96454943728037,0.2419110976716057
Tatarstan Republic,2020-06-06 02:33:00,3452,10,3235,207,88.64273894764739,0.28968713789107764
Tomsk Oblast,2020-06-06 02:33:00,832,11,386,435,77.15992135623402,1.3221153846153846
Tula Oblast,2020-06-06 02:33:00,4398,47,2273,2078,294.8007681711695,1.0686675761709867
Tver Oblast,2020-06-06 02:33:00,1875,39,1338,498,146.04248239506555,2.08
Tyumen Oblast,2020-06-06 02:33:00,1834,10,1003,821,49.669591593543494,0.5452562704471101
Tyva Republic,2020-06-06 02:33:00,1391,2,232,1157,432.3608581321763,0.14378145219266714
Udmurt Republic,2020-06-06 02:33:00,865,12,460,393,57.169520516257286,1.3872832369942196
Ulyanovsk Oblast,2020-06-06 02:33:00,2965,12,897,2056,237.84350939903,0.4047217537942665
Vladimir Oblast,2020-06-06 02:33:00,2966,30,1112,1824,215.18685198177224,1.0114632501685772
Volgograd Oblast,2020-06-06 02:33:00,3669,21,1321,2327,145.52155337218142,0.5723630417007359
Vologda Oblast,2020-06-06 02:33:00,1035,11,489,535,87.95867047282673,1.0628019323671498
Voronezh Oblast,2020-06-06 02:33:00,2592,16,1624,952,111.06502445830091,0.6172839506172839
Yamalo-Nenets Autonomous Okrug,2020-06-06 02:33:00,2579,11,1340,1228,478.88113757944984,0.42652190771616905
Yaroslavl Oblast,2020-06-06 02:33:00,3501,15,1007,2479,276.60932744666127,0.4284490145672665
Zabaykalsky Krai,2020-06-06 02:33:00,1321,26,750,545,123.13503093756,1.9682059046177136
