Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-03-11 05:25:48,13901,155,12454.0,1292.0,3066.108483907397,1.1150276958492196
Altai Krai,2021-03-11 05:25:48,44805,1573,40144.0,3088.0,1906.5308415032682,3.5107688874009595
Altai Republic,2021-03-11 05:25:48,16364,179,16135.0,50.0,7504.25335797453,1.0938645807870937
Amur Oblast,2021-03-11 05:25:48,21347,193,19951.0,1203.0,2673.6420748875285,0.9041083056167144
Arkhangelsk Oblast,2021-03-11 05:25:48,57840,718,52829.0,4293.0,5007.670809711974,1.2413554633471646
Astrakhan Oblast,2021-03-11 05:25:48,29192,590,23412.0,5190.0,2868.953154452912,2.0211016716908743
Bashkortostan Republic,2021-03-11 05:25:48,29922,305,24100.0,5517.0,736.3977936122252,1.0193168905821803
Belgorod Oblast,2021-03-11 05:25:48,32397,512,29732.0,2153.0,2090.2962559585408,1.5803932462882366
Bryansk Oblast,2021-03-11 05:25:48,33799,263,32952.0,584.0,2791.040659563891,0.7781295304594811
Buryatia Republic,2021-03-11 05:25:48,34631,732,32470.0,1429.0,3517.583856351021,2.113713147180272
Chechen Republic,2021-03-11 05:25:48,11413,113,10979.0,321.0,794.2345793020227,0.99009900990099
Chelyabinsk Oblast,2021-03-11 05:25:48,52505,1067,46447.0,4991.0,1503.133663666793,2.032187410722788
Chukotka Autonomous Okrug,2021-03-11 05:25:48,703,5,665.0,33.0,1424.5764772635162,0.7112375533428165
Chuvashia Republic,2021-03-11 05:25:48,21881,1089,20013.0,779.0,1777.3290434621567,4.976920616059595
Dagestan Republic,2021-03-11 05:25:48,30185,1361,27934.0,890.0,985.1871072184496,4.50886201755839
Ingushetia Republic,2021-03-11 05:25:48,14883,175,13159.0,1549.0,3049.526373700678,1.1758382046630385
Irkutsk Oblast,2021-03-11 05:25:48,57752,1854,55362.0,536.0,2402.1346022265247,3.2102784319157784
Ivanovo Oblast,2021-03-11 05:25:48,31207,964,29405.0,838.0,3075.653971927155,3.089050533534143
Jewish Autonomous Okrug,2021-03-11 05:25:48,4369,122,4161.0,86.0,2696.680533781031,2.7924010070954446
Kabardino-Balkarian Republic,2021-03-11 05:25:48,21664,383,20358.0,923.0,2502.113583760285,1.7679098966026587
Kaliningrad Oblast,2021-03-11 05:25:48,29035,282,26594.0,2159.0,2919.266960855581,0.9712416049595316
