Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-04-01 04:27:05,14101,163,13365.0,573.0,3110.221979107849,1.1559463867810793
Altai Krai,2021-04-01 04:27:05,47137,1832,42198.0,3107.0,2005.7615059912855,3.8865434796444407
Altai Republic,2021-04-01 04:27:05,16655,191,16268.0,196.0,7637.7010313533265,1.1468027619333534
Amur Oblast,2021-04-01 04:27:05,21887,243,20674.0,970.0,2741.27531236536,1.1102480924749851
Arkhangelsk Oblast,2021-04-01 04:27:05,59687,825,55265.0,3597.0,5167.580353030403,1.3822105316065474
Astrakhan Oblast,2021-04-01 04:27:05,30712,668,28814.0,1230.0,3018.3368484364837,2.1750455847877053
Bashkortostan Republic,2021-04-01 04:27:05,32358,361,27452.0,4545.0,796.3491680270165,1.1156437357067803
Belgorod Oblast,2021-04-01 04:27:05,34282,562,32032.0,1688.0,2211.9188889949905,1.639344262295082
Bryansk Oblast,2021-04-01 04:27:05,35646,284,34786.0,576.0,2943.561506281679,0.7967233350165517
Buryatia Republic,2021-04-01 04:27:05,36006,785,34392.0,829.0,3657.2471003371215,2.180192190190524
Chechen Republic,2021-04-01 04:27:05,11657,116,11328.0,213.0,811.2146228794952,0.9951102341940464
Chelyabinsk Oblast,2021-04-01 04:27:05,55396,1222,50488.0,3686.0,1585.898341729086,2.205935446602642
Chukotka Autonomous Okrug,2021-04-01 04:27:05,733,5,691.0,37.0,1485.3692145578339,0.6821282401091405
Chuvashia Republic,2021-04-01 04:27:05,22792,1219,20796.0,777.0,1851.326884447213,5.3483678483678485
Dagestan Republic,2021-04-01 04:27:05,31050,1410,28719.0,921.0,1013.4192373408272,4.541062801932367
Ingushetia Republic,2021-04-01 04:27:05,15120,181,13403.0,1536.0,3098.0876685046196,1.197089947089947
Irkutsk Oblast,2021-04-01 04:27:05,61581,2010,58655.0,916.0,2561.3978899382128,3.2639937643104204
Ivanovo Oblast,2021-04-01 04:27:05,32556,1039,31025.0,492.0,3208.606745603885,3.1914240078633735
Jewish Autonomous Okrug,2021-04-01 04:27:05,4431,125,4230.0,76.0,2734.948831582456,2.8210336267208307
Kabardino-Balkarian Republic,2021-04-01 04:27:05,22792,418,21680.0,694.0,2632.393500787685,1.833976833976834
Kaliningrad Oblast,2021-04-01 04:27:05,30240,334,27903.0,2003.0,3040.4213155251514,1.1044973544973544
Kalmykia Republic,2021-04-01 04:27:05,19952,315,19094.0,543.0,7244.392966199854,1.5787890938251803
Kaluga Oblast,2021-04-01 04:27:05,32345,281,30156.0,1908.0,3195.969392998016,0.8687586953161229
Kamchatka Krai,2021-04-01 04:27:05,14120,201,13212.0,707.0,4474.627404874555,1.4235127478753542
Karachay-Cherkess Republic,2021-04-01 04:27:05,19680,71,18785.0,824.0,4220.413677743108,0.3607723577235773
Karelia Republic,2021-04-01 04:27:05,43859,388,41342.0,2129.0,7045.803586919503,0.8846530928657744
Kemerovo Oblast,2021-04-01 04:27:05,33258,612,32372.0,274.0,1234.1194050785996,1.8401587587948764
Khabarovsk Krai,2021-04-01 04:27:05,50641,346,48230.0,2065.0,3812.461322801592,0.6832408522738492
Khakassia Republic,2021-04-01 04:27:05,21849,504,21082.0,263.0,4064.8319203442516,2.3067417273101745
