Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-06-06 04:24:03,14714,207,14192.0,315.0,3245.4298418972335,1.4068234334647274
Altai Krai,2021-06-06 04:24:03,51923,2337,46793.0,2793.0,2209.4141476034856,4.500895556882307
Altai Republic,2021-06-06 04:24:03,17171,247,16696.0,228.0,7874.329895488919,1.438471842059286
Amur Oblast,2021-06-06 04:24:03,22810,293,22188.0,329.0,2856.878049758024,1.2845243314335817
Arkhangelsk Oblast,2021-06-06 04:24:03,64125,997,61510.0,1618.0,5551.8134625307775,1.5547758284600393
Astrakhan Oblast,2021-06-06 04:24:03,34479,789,33004.0,686.0,3388.552884776033,2.28834943008788
Bashkortostan Republic,2021-06-06 04:24:03,38653,529,36747.0,1377.0,951.2727730931537,1.3685871730525443
Belgorod Oblast,2021-06-06 04:24:03,39092,702,36723.0,1667.0,2522.2662974328273,1.795763839148675
Bryansk Oblast,2021-06-06 04:24:03,40678,367,39781.0,530.0,3359.0920426562907,0.902207581493682
Buryatia Republic,2021-06-06 04:24:03,38952,909,37374.0,669.0,3956.4819489066144,2.333641404805915
Chechen Republic,2021-06-06 04:24:03,12345,136,12079.0,130.0,859.0927785405652,1.1016605913325233
Chelyabinsk Oblast,2021-06-06 04:24:03,62258,1670,58023.0,2565.0,1782.3463600146122,2.682386199363937
Chukotka Autonomous Okrug,2021-06-06 04:24:03,773,7,735.0,31.0,1566.4261976169248,0.9055627425614488
Chuvashia Republic,2021-06-06 04:24:03,26013,1443,23784.0,786.0,2112.959206964082,5.547226386806597
Dagestan Republic,2021-06-06 04:24:03,33868,1492,31363.0,1013.0,1105.39396876841,4.405338372505018
Ingushetia Republic,2021-06-06 04:24:03,15832,190,15414.0,228.0,3243.9764528945198,1.2001010611419909
Irkutsk Oblast,2021-06-06 04:24:03,70426,2491,67430.0,505.0,2929.2965004918487,3.5370459773379155
Ivanovo Oblast,2021-06-06 04:24:03,36574,1225,34600.0,749.0,3604.6069269479212,3.3493738721496147
Jewish Autonomous Okrug,2021-06-06 04:24:03,4506,144,4323.0,39.0,2781.2411273099847,3.195739014647137
Kabardino-Balkarian Republic,2021-06-06 04:24:03,24396,471,23683.0,242.0,2817.649694858563,1.9306443679291687
Kaliningrad Oblast,2021-06-06 04:24:03,33817,507,32694.0,616.0,3400.0637442828715,1.4992459413904249
Kalmykia Republic,2021-06-06 04:24:03,20902,382,20245.0,275.0,7589.329479726809,1.8275763084872259
Kaluga Oblast,2021-06-06 04:24:03,35923,343,34343.0,1237.0,3549.5071418972857,0.9548200317345432
Kamchatka Krai,2021-06-06 04:24:03,14738,236,14079.0,423.0,4670.47157882728,1.6013027547835528
Karachay-Cherkess Republic,2021-06-06 04:24:03,20509,145,20167.0,197.0,4398.194314879746,0.7070066799941489
Karelia Republic,2021-06-06 04:24:03,47550,560,45818.0,1172.0,7638.750554231115,1.177707676130389
Kemerovo Oblast,2021-06-06 04:24:03,37248,734,36006.0,508.0,1382.1781105408525,1.9705756013745703
Khabarovsk Krai,2021-06-06 04:24:03,52789,420,50757.0,1612.0,3974.171536292199,0.7956202996836462
Khakassia Republic,2021-06-06 04:24:03,23282,556,22274.0,452.0,4331.4301235505,2.3881109870286057
Khanty-Mansi Autonomous Okrug,2021-06-06 04:24:03,57757,800,56432.0,525.0,3769.44127008575,1.3851134927368112
Kirov Oblast,2021-06-06 04:24:03,44200,372,41739.0,2089.0,3444.411714740368,0.8416289592760181
Komi Republic,2021-06-06 04:24:03,44319,968,42891.0,460.0,5270.593775754483,2.1841648051625717
Kostroma Oblast,2021-06-06 04:24:03,21692,486,19003.0,2203.0,3371.8623897134253,2.2404573114512263
Krasnodar Krai,2021-06-06 04:24:03,48910,3084,43889.0,1937.0,872.8597892001669,6.3054590063381735
Krasnoyarsk Krai,2021-06-06 04:24:03,73981,3776,68069.0,2136.0,2571.91299000138,5.104013192576471
Kurgan Oblast,2021-06-06 04:24:03,21535,422,20541.0,572.0,2546.9021462100422,1.9596006501044807
Kursk Oblast,2021-06-06 04:24:03,38759,833,37161.0,765.0,3475.404779432533,2.149178255372945
