Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-03-27 05:25:04,14049,160,13034.0,855.0,3098.752470355731,1.1388710940280449
Altai Krai,2021-03-27 05:25:04,46620,1760,41670.0,3190.0,1983.7622549019607,3.7752037752037753
Altai Republic,2021-03-27 05:25:04,16619,187,16242.0,190.0,7621.192040832238,1.1252181238341656
Amur Oblast,2021-03-27 05:25:04,21786,231,20527.0,1028.0,2728.625392022284,1.0603139630955658
Arkhangelsk Oblast,2021-03-27 05:25:04,59285,813,54778.0,3694.0,5132.776001967052,1.3713418233954626
Astrakhan Oblast,2021-03-27 05:25:04,30363,653,27932.0,1778.0,2984.037566067887,2.1506438757698514
Bashkortostan Republic,2021-03-27 05:25:04,31817,345,26640.0,4832.0,783.0348439061618,1.0843259892510293
Belgorod Oblast,2021-03-27 05:25:04,33847,549,31579.0,1719.0,2183.8521275250405,1.622004904422844
Bryansk Oblast,2021-03-27 05:25:04,35180,282,34349.0,549.0,2905.0803397573213,0.801591813530415
Buryatia Republic,2021-03-27 05:25:04,35725,772,34046.0,907.0,3628.705011929781,2.1609517144856545
Chechen Republic,2021-03-27 05:25:04,11599,116,11257.0,226.0,807.178383012719,1.0000862143288214
Chelyabinsk Oblast,2021-03-27 05:25:04,54727,1189,49585.0,3953.0,1566.7459482238373,2.1726021890474536
Chukotka Autonomous Okrug,2021-03-27 05:25:04,725,5,686.0,34.0,1469.157817946016,0.6896551724137931
Chuvashia Republic,2021-03-27 05:25:04,22572,1185,20597.0,790.0,1833.456933825136,5.249867091972355
Dagestan Republic,2021-03-27 05:25:04,30817,1395,28502.0,920.0,1005.814513273181,4.526722263685628
Ingushetia Republic,2021-03-27 05:25:04,15068,180,13337.0,1551.0,3087.4328696446833,1.1945845500398196
Irkutsk Oblast,2021-03-27 05:25:04,60735,1971,57798.0,966.0,2526.209396492381,3.2452457396888117
Ivanovo Oblast,2021-03-27 05:25:04,32226,1026,30595.0,605.0,3176.083087106242,3.1837646620741022
Jewish Autonomous Okrug,2021-03-27 05:25:04,4414,124,4213.0,77.0,2724.4559112175493,2.8092433167195288
Kabardino-Balkarian Republic,2021-03-27 05:25:04,22550,409,21409.0,732.0,2604.443376744573,1.8137472283813747
Kaliningrad Oblast,2021-03-27 05:25:04,30030,326,27618.0,2086.0,3019.3072786117823,1.0855810855810857
Kalmykia Republic,2021-03-27 05:25:04,19837,311,18978.0,548.0,7202.637493509747,1.5677773856934012
Kaluga Oblast,2021-03-27 05:25:04,32035,281,29823.0,1931.0,3165.338676911159,0.8771656001248634
Kamchatka Krai,2021-03-27 05:25:04,14046,195,13068.0,783.0,4451.176807993485,1.3882956001708668
Karachay-Cherkess Republic,2021-03-27 05:25:04,19590,70,18455.0,1065.0,4201.113005436357,0.3573251659009699
Karelia Republic,2021-03-27 05:25:04,43419,374,40570.0,2475.0,6975.119039204221,0.8613740528340128
Kemerovo Oblast,2021-03-27 05:25:04,33011,604,32134.0,273.0,1224.953866169031,1.829693132592166
Khabarovsk Krai,2021-03-27 05:25:04,50396,339,47953.0,2104.0,3794.0167221008473,0.6726724343201841
Khakassia Republic,2021-03-27 05:25:04,21769,501,21026.0,242.0,4049.94855938368,2.301437824429234
Khanty-Mansi Autonomous Okrug,2021-03-27 05:25:04,53801,781,52285.0,735.0,3511.2576791018128,1.4516458801881007
Kirov Oblast,2021-03-27 05:25:04,39294,319,35570.0,3405.0,3062.097599977557,0.8118287779304728
Komi Republic,2021-03-27 05:25:04,41287,795,40121.0,371.0,4910.016137989923,1.925545571245186
Kostroma Oblast,2021-03-27 05:25:04,19439,385,16719.0,2335.0,3021.6500550267046,1.9805545552754769
Krasnodar Krai,2021-03-27 05:25:04,41815,2266,36673.0,2876.0,746.2406887222446,5.419107975606838
Krasnoyarsk Krai,2021-03-27 05:25:04,66165,3107,61238.0,1820.0,2300.193603539305,4.6958361671578634
Kurgan Oblast,2021-03-27 05:25:04,19014,346,17261.0,1407.0,2248.7484285134774,1.8197117913116647
Kursk Oblast,2021-03-27 05:25:04,33541,547,30296.0,2698.0,3007.5221679338115,1.6308398676246982
Leningrad Oblast,2021-03-27 05:25:04,39371,896,36880.0,1595.0,2170.617085746294,2.2757867465901302
Lipetsk Oblast,2021-03-27 05:25:04,27173,510,23787.0,2876.0,2362.456648881369,1.8768630625989036
Magadan Oblast,2021-03-27 05:25:04,8247,99,8012.0,136.0,5723.466420525918,1.2004365223717717
Mari El Republic,2021-03-27 05:25:04,12435,200,11567.0,668.0,1822.42394842401,1.6083634901487736
Mordovia Republic,2021-03-27 05:25:04,18868,197,16858.0,1813.0,2343.6878925192777,1.0440958236167055
Moscow,2021-03-27 05:25:04,1019122,16392,938673.0,64057.0,8148.759505881277,1.60844334633145
Moscow Oblast,2021-03-27 05:25:04,229330,5375,188368.0,35587.0,3056.3538989402778,2.343784066628876
Murmansk Oblast,2021-03-27 05:25:04,48698,1063,46836.0,799.0,6462.417574251184,2.1828411844428928
Nenets Autonomous Okrug,2021-03-27 05:25:04,1076,4,1012.0,60.0,2445.6212923608427,0.3717472118959108
Nizhny Novgorod Oblast,2021-03-27 05:25:04,105987,2792,99723.0,3472.0,3276.510842253131,2.634285336880938
North Ossetia - Alania Republic,2021-03-27 05:25:04,16256,159,15230.0,867.0,2316.444963769923,0.9781003937007874
Novgorod Oblast,2021-03-27 05:25:04,28473,118,25443.0,2912.0,4694.8271654607925,0.4144277034383451
Novosibirsk Oblast,2021-03-27 05:25:04,38343,1598,35474.0,1271.0,1374.8682700282445,4.1676446809065535
Omsk Oblast,2021-03-27 05:25:04,43318,1299,40044.0,1975.0,2210.0107087411184,2.998753405051018
Orel Oblast,2021-03-27 05:25:04,32122,499,29429.0,2194.0,4298.7124739209385,1.5534524624867692
Orenburg Oblast,2021-03-27 05:25:04,39600,720,36358.0,2522.0,2002.305685334628,1.818181818181818
Penza Oblast,2021-03-27 05:25:04,41505,512,38131.0,2862.0,3116.7982698221385,1.2335863149018191
Perm Krai,2021-03-27 05:25:04,50653,1918,44768.0,3967.0,1931.019601833236,3.786547687205101
Primorsky Krai,2021-03-27 05:25:04,42088,670,38061.0,3357.0,2200.061995664485,1.5919026800988405
Pskov Oblast,2021-03-27 05:25:04,33962,227,23202.0,10533.0,5335.356753478932,0.6683940875095695
Rostov Oblast,2021-03-27 05:25:04,79628,3484,71332.0,4812.0,1886.717346862374,4.375345355904958
Ryazan Oblast,2021-03-27 05:25:04,26044,352,24091.0,1601.0,2322.3008290874327,1.3515589003225308
Saint Petersburg,2021-03-27 05:25:04,391050,12102,342756.0,36192.0,7306.703089630199,3.094744917529728
Sakha (Yakutiya) Republic,2021-03-27 05:25:04,33436,542,32319.0,575.0,3467.277799093671,1.6210072975236272
Sakhalin Oblast,2021-03-27 05:25:04,21937,38,21579.0,320.0,4475.285659786895,0.17322332132926108
Samara Oblast,2021-03-27 05:25:04,54736,1055,51441.0,2240.0,1713.974011073695,1.9274334989769075
Saratov Oblast,2021-03-27 05:25:04,54011,787,48661.0,4563.0,2192.9393613349844,1.4571105885838067
Smolensk Oblast,2021-03-27 05:25:04,27920,745,26649.0,526.0,2940.9657996856786,2.668338108882521
Stavropol Krai,2021-03-27 05:25:04,50029,1210,46921.0,1898.0,1786.3200072553964,2.4185972136161027
Sverdlovsk Oblast,2021-03-27 05:25:04,81827,2684,75102.0,4041.0,1891.841777688997,3.2800909235337965
Tambov Oblast,2021-03-27 05:25:04,28953,398,26507.0,2048.0,2801.3104323730213,1.374641660622388
Tatarstan Republic,2021-03-27 05:25:04,19235,409,16001.0,2825.0,493.9290508858625,2.126332206914479
