Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-09-03 04:28:22,3420,27,2913,480.0,754.3407679277243,0.7894736842105263
Altai Krai,2020-09-03 04:28:22,11844,119,10588,1137.0,503.98284313725486,1.0047281323877069
Altai Republic,2020-09-03 04:28:22,2181,8,1888,285.0,1000.1696757359113,0.36680421824850973
Amur Oblast,2020-09-03 04:28:22,3449,47,3068,334.0,431.9759927056301,1.3627138300956798
Arkhangelsk Oblast,2020-09-03 04:28:22,10937,252,9120,1565.0,946.9034516912144,2.304105330529396
Astrakhan Oblast,2020-09-03 04:28:22,5771,75,5445,251.0,567.1666434073634,1.2996014555536302
Bashkortostan Republic,2020-09-03 04:28:22,7856,29,6918,909.0,193.34072142963848,0.36914460285132383
Belgorod Oblast,2020-09-03 04:28:22,7449,53,6776,620.0,480.6190946888655,0.7115048999865754
Bryansk Oblast,2020-09-03 04:28:22,8278,35,6768,1475.0,683.5774602760405,0.4228074414109688
Buryatia Republic,2020-09-03 04:28:22,5331,53,4502,776.0,541.4870935926566,0.9941849559182142
Chechen Republic,2020-09-03 04:28:22,2280,38,1628,614.0,158.66598096982494,1.6666666666666667
Chelyabinsk Oblast,2020-09-03 04:28:22,13826,105,9553,4168.0,395.8161324418071,0.7594387386084189
Chukotka Autonomous Okrug,2020-09-03 04:28:22,172,2,164,6.0,348.54502715408927,1.162790697674419
Chuvashia Republic,2020-09-03 04:28:22,7836,71,6477,1288.0,636.4951503390822,0.9060745278203164
Dagestan Republic,2020-09-03 04:28:22,11145,502,9745,898.0,363.7538615189538,4.5042620008972625
Ingushetia Republic,2020-09-03 04:28:22,4454,76,3947,431.0,912.6245023491783,1.7063313875168389
Irkutsk Oblast,2020-09-03 04:28:22,16958,251,13080,3627.0,705.3504395442134,1.4801273735110272
Ivanovo Oblast,2020-09-03 04:28:22,7471,119,6184,1168.0,736.3159170784688,1.5928255922901888
Jewish Autonomous Okrug,2020-09-03 04:28:22,639,9,563,67.0,394.41035959855316,1.4084507042253518
Kabardino-Balkarian Republic,2020-09-03 04:28:22,6570,79,6124,367.0,758.8112188564011,1.2024353120243532
Kaliningrad Oblast,2020-09-03 04:28:22,3463,58,2844,561.0,348.18052300474864,1.6748483973433441
Kalmykia Republic,2020-09-03 04:28:22,4411,56,2744,1611.0,1601.5946959656949,1.2695533892541373
Kaluga Oblast,2020-09-03 04:28:22,8108,69,6951,1088.0,801.1414388136626,0.8510113468179575
Kamchatka Krai,2020-09-03 04:28:22,3877,42,3173,662.0,1228.6211365933889,1.0833118390508123
Karachay-Cherkess Republic,2020-09-03 04:28:22,5216,26,4420,770.0,1118.5811861335392,0.4984662576687117
Karelia Republic,2020-09-03 04:28:22,3179,16,2284,879.0,510.6958572429171,0.5033029254482542
Kemerovo Oblast,2020-09-03 04:28:22,6615,45,4657,1913.0,245.46574852952472,0.6802721088435374
Khabarovsk Krai,2020-09-03 04:28:22,10236,92,8092,2052.0,770.6078888686459,0.8987885892926925
Khakassia Republic,2020-09-03 04:28:22,3455,45,3153,257.0,642.7751514847082,1.3024602026049203
