Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Novosibirsk Oblast,2021-03-10 05:24:35,36703,1503,33590.0,1610.0,1316.0626480673568,4.095033103561017
Omsk Oblast,2021-03-10 05:24:35,41785,1246,38546.0,1993.0,2131.7996552183304,2.9819313150652147
Orel Oblast,2021-03-10 05:24:35,31012,461,28257.0,2294.0,4150.167213786071,1.4865213465755192
Orenburg Oblast,2021-03-10 05:24:35,38285,644,35421.0,2220.0,1935.814978864551,1.6821209350920727
Penza Oblast,2021-03-10 05:24:35,39581,456,35755.0,3370.0,2972.3164032726195,1.1520679113716177
Perm Krai,2021-03-10 05:24:35,48366,1796,40977.0,5593.0,1843.8334168216347,3.7133523549600964
Primorsky Krai,2021-03-10 05:24:35,41078,648,36199.0,4231.0,2147.266362333818,1.5774867325575734
Pskov Oblast,2021-03-10 05:24:35,32744,186,21775.0,10783.0,5144.011587536486,0.5680430002443195
Rostov Oblast,2021-03-10 05:24:35,75490,3229,66189.0,6072.0,1788.6709764736102,4.277387733474632
Ryazan Oblast,2021-03-10 05:24:35,25042,314,23157.0,1571.0,2232.954130011039,1.2538934589888986
Saint Petersburg,2021-03-10 05:24:35,375828,11435,317686.0,46707.0,7022.282594986674,3.0426152388858734
Sakha (Yakutiya) Republic,2021-03-10 05:24:35,32900,526,31522.0,852.0,3411.6951665923493,1.5987841945288754
Sakhalin Oblast,2021-03-10 05:24:35,21752,34,20728.0,990.0,4437.544498868785,0.15630746598013975
Samara Oblast,2021-03-10 05:24:35,50960,937,47331.0,2692.0,1595.7343540689035,1.8386970172684456
Saratov Oblast,2021-03-10 05:24:35,51182,687,46103.0,4392.0,2078.0771026614425,1.3422687663631745
Smolensk Oblast,2021-03-10 05:24:35,26847,661,25582.0,604.0,2827.9408604642344,2.4621000484225424
Stavropol Krai,2021-03-10 05:24:35,48232,1126,44441.0,2665.0,1722.156880807977,2.3345496765632774
Sverdlovsk Oblast,2021-03-10 05:24:35,79197,2475,72267.0,4455.0,1831.036128266165,3.1251183756960486
Tambov Oblast,2021-03-10 05:24:35,27272,363,25117.0,1792.0,2638.6674303760237,1.3310354942798477
Tatarstan Republic,2021-03-10 05:24:35,18435,364,15029.0,3042.0,473.38612181340653,1.9745050176295087
Tomsk Oblast,2021-03-10 05:24:35,30620,326,28930.0,1364.0,2839.707682605632,1.0646636185499674
