Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-09-11 04:46:23,3587,30,3064,493.0,791.1755364201016,0.8363534987454697
Altai Krai,2020-09-11 04:46:23,12342,139,11038,1165.0,525.1736111111112,1.126235618214228
Altai Republic,2020-09-11 04:46:23,2391,8,2048,335.0,1096.4721204422576,0.3345880384776244
Amur Oblast,2020-09-11 04:46:23,3700,50,3260,390.0,463.41292345921465,1.351351351351351
Arkhangelsk Oblast,2020-09-11 04:46:23,11491,256,9493,1742.0,994.8676568879716,2.2278304760247147
Astrakhan Oblast,2020-09-11 04:46:23,6115,84,5964,67.0,600.9745320457507,1.3736713000817662
Bashkortostan Republic,2020-09-11 04:46:23,8101,30,7523,548.0,199.37031368399963,0.37032465127762
Belgorod Oblast,2020-09-11 04:46:23,7786,55,7120,611.0,502.3627696667346,0.7063960955561264
Bryansk Oblast,2020-09-11 04:46:23,8533,35,6992,1506.0,704.6347509706998,0.4101722723543889
Buryatia Republic,2020-09-11 04:46:23,5705,60,4795,850.0,579.4754959568761,1.0517090271691498
Chechen Republic,2020-09-11 04:46:23,2327,40,1739,548.0,161.9367270687643,1.7189514396218306
Chelyabinsk Oblast,2020-09-11 04:46:23,14318,109,10157,4052.0,409.90130075956847,0.7612795083112166
Chukotka Autonomous Okrug,2020-09-11 04:46:23,175,2,168,5.0,354.6243008835212,1.1428571428571428
Chuvashia Republic,2020-09-11 04:46:23,8070,76,6703,1291.0,655.5022796371102,0.9417596034696406
Dagestan Republic,2020-09-11 04:46:23,11760,515,10138,1107.0,383.82641646145316,4.379251700680272
Ingushetia Republic,2020-09-11 04:46:23,4736,77,4075,584.0,970.4062961665263,1.6258445945945943
Irkutsk Oblast,2020-09-11 04:46:23,17542,260,13862,3420.0,729.6413144524466,1.4821571086535172
Ivanovo Oblast,2020-09-11 04:46:23,7800,123,6459,1218.0,768.7410190352102,1.5769230769230769
Jewish Autonomous Okrug,2020-09-11 04:46:23,700,9,611,80.0,432.0614267902774,1.2857142857142858
Kabardino-Balkarian Republic,2020-09-11 04:46:23,6827,80,6240,507.0,788.4937886046653,1.1718177823348468
Kaliningrad Oblast,2020-09-11 04:46:23,3655,58,2970,627.0,367.4847853255432,1.5868673050615596
Kalmykia Republic,2020-09-11 04:46:23,5056,62,3044,1950.0,1835.7884340971561,1.2262658227848102
Kaluga Oblast,2020-09-11 04:46:23,8329,71,7162,1096.0,822.9781751207444,0.8524432705006604
Kamchatka Krai,2020-09-11 04:46:23,3996,43,3205,748.0,1266.3322315778132,1.076076076076076
Karachay-Cherkess Republic,2020-09-11 04:46:23,5715,28,4530,1157.0,1225.592691478753,0.4899387576552931
Karelia Republic,2020-09-11 04:46:23,3385,16,2417,952.0,543.7890773096176,0.4726735598227474
Kemerovo Oblast,2020-09-11 04:46:23,7304,49,5501,1754.0,271.03277811937244,0.6708652792990142
Khabarovsk Krai,2020-09-11 04:46:23,10705,95,8591,2019.0,805.9161244957849,0.8874357776739841
Khakassia Republic,2020-09-11 04:46:23,3674,47,3235,392.0,683.5183521142744,1.2792596624931951
Khanty-Mansi Autonomous Okrug,2020-09-11 04:46:23,20350,176,19476,698.0,1328.1183206580158,0.8648648648648649
Kirov Oblast,2020-09-11 04:46:23,7190,102,5281,1807.0,560.3013626466799,1.4186369958275382
Komi Republic,2020-09-11 04:46:23,6898,89,6014,795.0,820.3379107189792,1.2902290518991009
Kostroma Oblast,2020-09-11 04:46:23,3911,47,2845,1019.0,607.9362809408633,1.2017386857581178
Krasnodar Krai,2020-09-11 04:46:23,12107,205,9743,2159.0,216.0644749099657,1.6932353184108366
Krasnoyarsk Krai,2020-09-11 04:46:23,17936,516,14107,3313.0,623.5361969784776,2.8768956289027647
Kurgan Oblast,2020-09-11 04:46:23,3224,21,2814,389.0,381.29614670913287,0.6513647642679901
Kursk Oblast,2020-09-11 04:46:23,7405,54,6279,1072.0,663.9844266286,0.7292370020256583
Leningrad Oblast,2020-09-11 04:46:23,7156,86,5177,1893.0,394.5273390465185,1.2017887087758523
Lipetsk Oblast,2020-09-11 04:46:23,5423,31,4848,544.0,471.48281039574823,0.5716393140328232
Magadan Oblast,2020-09-11 04:46:23,2210,19,1748,443.0,1533.7529755501732,0.8597285067873304
Mari El Republic,2020-09-11 04:46:23,4427,44,3944,439.0,648.8034434799432,0.9939010616670432
Mordovia Republic,2020-09-11 04:46:23,5776,38,4600,1138.0,717.4656172986722,0.6578947368421053
Moscow,2020-09-11 04:46:23,269079,4947,226274,37858.0,2151.518718154478,1.8384935279230263
Moscow Oblast,2020-09-11 04:46:23,69833,1232,52953,15648.0,930.6866167736296,1.76420889837183
Murmansk Oblast,2020-09-11 04:46:23,13493,176,11029,2288.0,1790.5745683471853,1.304380048914252
Nenets Autonomous Okrug,2020-09-11 04:46:23,320,0,114,206.0,727.322317430734,0.0
Nizhny Novgorod Oblast,2020-09-11 04:46:23,29181,506,25935,2740.0,902.1093425400154,1.7340050032555432
North Ossetia - Alania Republic,2020-09-11 04:46:23,5163,68,4516,579.0,735.7163722898691,1.3170637226418749
Novgorod Oblast,2020-09-11 04:46:23,4580,86,3374,1120.0,755.1823979844215,1.8777292576419211
Novosibirsk Oblast,2020-09-11 04:46:23,11941,387,10712,842.0,428.169470631074,3.240934595092538
Omsk Oblast,2020-09-11 04:46:23,9779,232,8298,1249.0,498.90795329376687,2.3724307188874123
Orel Oblast,2020-09-11 04:46:23,7525,113,5988,1424.0,1007.0298040674637,1.5016611295681064
Orenburg Oblast,2020-09-11 04:46:23,10843,81,9777,985.0,548.2575895475599,0.7470257308862861
Penza Oblast,2020-09-11 04:46:23,9029,115,8148,766.0,678.0284683345161,1.2736737180197142
Perm Krai,2020-09-11 04:46:23,8454,230,5899,2325.0,322.287716697889,2.720605630470783
Primorsky Krai,2020-09-11 04:46:23,10354,109,8685,1560.0,541.2336509957727,1.0527332431910372
Pskov Oblast,2020-09-11 04:46:23,4859,65,3619,1175.0,763.3383918836972,1.3377238114838443
Rostov Oblast,2020-09-11 04:46:23,18391,389,15305,2697.0,435.7590134895504,2.115165026371595
Ryazan Oblast,2020-09-11 04:46:23,7459,47,6414,998.0,665.1068147812609,0.6301112749698351
Saint Petersburg,2020-09-11 04:46:23,38651,2590,26776,9285.0,722.1873957736781,6.7009909187343135
Sakha (Yakutiya) Republic,2020-09-11 04:46:23,7925,90,6296,1539.0,821.8141092779442,1.135646687697161
Sakhalin Oblast,2020-09-11 04:46:23,4892,0,3171,1721.0,997.998698439964,0.0
Samara Oblast,2020-09-11 04:46:23,9500,138,7509,1853.0,297.4779506211653,1.4526315789473685
Saratov Oblast,2020-09-11 04:46:23,13371,84,8648,4639.0,542.8855640593597,0.6282252636302446
Smolensk Oblast,2020-09-11 04:46:23,6300,134,5494,672.0,663.6133430522842,2.126984126984127
Stavropol Krai,2020-09-11 04:46:23,13258,260,9131,3867.0,473.3860492152961,1.9610801025795743
Sverdlovsk Oblast,2020-09-11 04:46:23,26527,509,20539,5479.0,613.3047384940915,1.9187997134994532
Tambov Oblast,2020-09-11 04:46:23,7012,46,6175,791.0,678.4370791213214,0.6560182544209926
Tatarstan Republic,2020-09-11 04:46:23,6761,36,5592,1133.0,173.6134293235933,0.5324656115959178
Tomsk Oblast,2020-09-11 04:46:23,6203,74,5084,1045.0,575.2680194383647,1.192971142995325
Tula Oblast,2020-09-11 04:46:23,9542,341,8470,731.0,639.6063960639607,3.5736742821211487
Tver Oblast,2020-09-11 04:46:23,5635,214,4313,1108.0,438.906340424637,3.7976929902395735
Tyumen Oblast,2020-09-11 04:46:23,8257,31,7204,1022.0,223.62149279601346,0.37543902143635705
Tyva Republic,2020-09-11 04:46:23,7049,67,6422,560.0,2191.022062526032,0.9504894311249824
Udmurt Republic,2020-09-11 04:46:23,3648,54,2855,739.0,241.10336513677063,1.4802631578947367
Ulyanovsk Oblast,2020-09-11 04:46:23,13057,125,11139,1793.0,1047.3938287430472,0.9573408899440912
Vladimir Oblast,2020-09-11 04:46:23,6614,198,5634,782.0,479.8536207037902,2.9936498336861197
Volgograd Oblast,2020-09-11 04:46:23,13087,121,11281,1685.0,519.0625699050798,0.9245816459081532
Vologda Oblast,2020-09-11 04:46:23,3744,44,3259,441.0,318.18092971039925,1.1752136752136753
Voronezh Oblast,2020-09-11 04:46:23,15192,135,14283,774.0,650.9644489083748,0.8886255924170616
Yamalo-Nenets Autonomous Okrug,2020-09-11 04:46:23,13894,95,13114,685.0,2579.904817963892,0.6837483805959407
Yaroslavl Oblast,2020-09-11 04:46:23,7629,42,7134,453.0,602.7570862869405,0.5505308690523004
Zabaykalsky Krai,2020-09-11 04:46:23,4967,61,4418,488.0,462.991444865148,1.2281054962754177
