Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Adygea Republic,2020-09-05 04:28:19,3461,28,2947,486.0,763.3840344438171,0.8090147356255417
Altai Krai,2020-09-05 04:28:19,11970,122,10734,1114.0,509.344362745098,1.0192147034252297
Altai Republic,2020-09-05 04:28:19,2228,8,1933,287.0,1021.7230800273317,0.3590664272890485
Amur Oblast,2020-09-05 04:28:19,3508,47,3101,360.0,439.3655501337635,1.339794754846066
Arkhangelsk Oblast,2020-09-05 04:28:19,11059,252,9209,1598.0,957.4659661930274,2.2786870422280496
Astrakhan Oblast,2020-09-05 04:28:19,5844,77,5582,185.0,574.3409918684166,1.3175906913073236
Bashkortostan Republic,2020-09-05 04:28:19,7918,29,6991,898.0,194.86657742870133,0.3662541045718616
Belgorod Oblast,2020-09-05 04:28:19,7531,54,6918,559.0,485.90984052917776,0.7170362501659806
Bryansk Oblast,2020-09-05 04:28:19,8337,35,6806,1496.0,688.4495392995108,0.4198152812762385
Buryatia Republic,2020-09-05 04:28:19,5427,55,4571,801.0,551.2381273545953,1.0134512622074812
Chechen Republic,2020-09-05 04:28:19,2290,39,1651,600.0,159.36188439513114,1.703056768558952
Chelyabinsk Oblast,2020-09-05 04:28:19,13934,108,9707,4119.0,398.90799865790086,0.7750825319362711
Chukotka Autonomous Okrug,2020-09-05 04:28:19,172,2,167,3.0,348.54502715408927,1.162790697674419
Chuvashia Republic,2020-09-05 04:28:19,7895,72,6532,1291.0,641.2875461877303,0.9119696010132996
Dagestan Republic,2020-09-05 04:28:19,11292,506,9829,957.0,368.55169172472205,4.481048529932695
Ingushetia Republic,2020-09-05 04:28:19,4510,76,3978,456.0,924.0989011214177,1.6851441241685143
Irkutsk Oblast,2020-09-05 04:28:19,17103,254,13331,3518.0,711.3815643073877,1.4851195696661403
Ivanovo Oblast,2020-09-05 04:28:19,7549,120,6293,1136.0,744.0033272688208,1.5896145184792687
Jewish Autonomous Okrug,2020-09-05 04:28:19,655,9,577,69.0,404.2860493537596,1.3740458015267176
Kabardino-Balkarian Republic,2020-09-05 04:28:19,6629,79,6155,395.0,765.625505296664,1.1917332931060491
Kaliningrad Oblast,2020-09-05 04:28:19,3502,58,2879,565.0,352.10170128866014,1.6561964591661908
Kalmykia Republic,2020-09-05 04:28:19,4573,56,2802,1715.0,1660.4154487987134,1.2245790509512355
Kaluga Oblast,2020-09-05 04:28:19,8166,69,7017,1080.0,806.8723469847519,0.8449669360764144
Kamchatka Krai,2020-09-05 04:28:19,3915,42,3189,684.0,1240.6633349917765,1.0727969348659003
Karachay-Cherkess Republic,2020-09-05 04:28:19,5335,28,4468,839.0,1144.1009639613558,0.5248359887535146
Karelia Republic,2020-09-05 04:28:19,3229,16,2340,873.0,518.7281922105628,0.4955094456488077
Kemerovo Oblast,2020-09-05 04:28:19,6791,47,4975,1769.0,251.9966588456541,0.6920924753350022
Khabarovsk Krai,2020-09-05 04:28:19,10369,93,8229,2047.0,780.6206721061927,0.8969042337737487
Khakassia Republic,2020-09-05 04:28:19,3503,45,3180,278.0,651.7051680610515,1.284613188695404
