Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-01-03 05:22:52,11184,93,9147,1944.0,2466.8266516092604,0.8315450643776824
Altai Krai,2021-01-03 05:22:52,33334,898,30810,1626.0,1418.4197984749453,2.6939461210775786
Altai Republic,2021-01-03 05:22:52,13972,103,13136,733.0,6407.322654462242,0.7371886630403665
Amur Oblast,2021-01-03 05:22:52,16140,105,14500,1535.0,2021.4823201707363,0.6505576208178439
Arkhangelsk Oblast,2021-01-03 05:22:52,44020,443,34849,8728.0,3811.163019424637,1.0063607451158565
Astrakhan Oblast,2021-01-03 05:22:52,19361,393,12815,6153.0,1902.774802115745,2.02985382986416
Bashkortostan Republic,2021-01-03 05:22:52,19403,145,15187,4071.0,477.5190959647754,0.7473071174560635
Belgorod Oblast,2021-01-03 05:22:52,22201,266,20161,1774.0,1432.4371756192108,1.1981442277374894
Bryansk Oblast,2021-01-03 05:22:52,23544,216,21648,1680.0,1944.2072631963156,0.9174311926605504
Buryatia Republic,2021-01-03 05:22:52,26091,599,23508,1984.0,2650.1481446118937,2.295810815990188
Chechen Republic,2021-01-03 05:22:52,8895,93,4701,4101.0,619.0060968099091,1.0455311973018548
Chelyabinsk Oblast,2021-01-03 05:22:52,35309,547,23276,11486.0,1010.8398539264984,1.5491800957263018
Chukotka Autonomous Okrug,2021-01-03 05:22:52,539,4,480,55.0,1092.2428467212449,0.7421150278293135
Chuvashia Republic,2021-01-03 05:22:52,16598,549,14960,1089.0,1348.2065473874538,3.307627424990963
Dagestan Republic,2021-01-03 05:22:52,23781,1129,20449,2203.0,776.1714294106991,4.747487490013036
Ingushetia Republic,2021-01-03 05:22:52,12302,141,10234,1927.0,2520.6795302872893,1.1461550967322387
Irkutsk Oblast,2021-01-03 05:22:52,41056,1245,36305,3506.0,1707.6817812199095,3.0324434918160565
Ivanovo Oblast,2021-01-03 05:22:52,21633,523,16521,4589.0,2132.073649331885,2.4176027365598856
Jewish Autonomous Okrug,2021-01-03 05:22:52,3779,72,2983,724.0,2332.514474057797,1.9052659433712624
Kabardino-Balkarian Republic,2021-01-03 05:22:52,16026,263,14248,1515.0,1850.94499138397,1.6410832397354298
Kaliningrad Oblast,2021-01-03 05:22:52,18221,178,16360,1683.0,1831.9946028499926,0.9768947917238352
Kalmykia Republic,2021-01-03 05:22:52,14982,200,12519,2263.0,5439.830363853558,1.3349352556401015
Kaluga Oblast,2021-01-03 05:22:52,21392,172,19969,1251.0,2113.717027516264,0.8040388930441287
Kamchatka Krai,2021-01-03 05:22:52,10252,82,9040,1130.0,3248.858367901837,0.7998439328911432
Karachay-Cherkess Republic,2021-01-03 05:22:52,15302,41,13746,1515.0,3281.5431959768816,0.2679388315252908
Karelia Republic,2021-01-03 05:22:52,28271,166,21985,6120.0,4541.6428374062625,0.5871741360404655
Kemerovo Oblast,2021-01-03 05:22:52,26024,472,23128,2424.0,965.6841481076872,1.813710421149708
Khabarovsk Krai,2021-01-03 05:22:52,35756,204,31491,4061.0,2691.857725125762,0.5705336167356527
Khakassia Republic,2021-01-03 05:22:52,17795,269,14830,2696.0,3310.61760366726,1.5116605788142736
Khanty-Mansi Autonomous Okrug,2021-01-03 05:22:52,41740,546,38135,3059.0,2724.110992838603,1.308097747963584
Kirov Oblast,2021-01-03 05:22:52,26105,231,19689,6185.0,2034.306964101749,0.8848879524995211
Komi Republic,2021-01-03 05:22:52,30856,579,28796,1481.0,3669.5196539786625,1.8764583873476797
Kostroma Oblast,2021-01-03 05:22:52,15201,236,11410,3555.0,2362.8840211153324,1.5525294388527069
Krasnodar Krai,2021-01-03 05:22:52,28108,961,18889,8258.0,501.6222235706051,3.4189554575209904
Krasnoyarsk Krai,2021-01-03 05:22:52,47156,1740,41890,3526.0,1639.3550905841375,3.6898803969802363
Kurgan Oblast,2021-01-03 05:22:52,12208,170,10753,1285.0,1443.816178357659,1.392529488859764
Kursk Oblast,2021-01-03 05:22:52,21154,306,19144,1704.0,1896.816551100797,1.446534934291387
Leningrad Oblast,2021-01-03 05:22:52,24279,271,21876,2132.0,1338.5591482267218,1.1161909469088511
Lipetsk Oblast,2021-01-03 05:22:52,16357,260,12401,3696.0,1422.0992678670943,1.5895335330439566
Magadan Oblast,2021-01-03 05:22:52,7085,65,6580,440.0,4917.03159808732,0.9174311926605504
Mari El Republic,2021-01-03 05:22:52,9284,121,8264,899.0,1360.6259700175722,1.3033175355450235
Mordovia Republic,2021-01-03 05:22:52,13666,95,11294,2277.0,1697.5216630892758,0.695155861261525
Moscow,2021-01-03 05:22:52,821128,11356,639809,169963.0,6565.626682129599,1.3829756140333784
Moscow Oblast,2021-01-03 05:22:52,158462,2928,114899,40635.0,2111.873507756833,1.8477616084613344
Murmansk Oblast,2021-01-03 05:22:52,36618,659,33358,2601.0,4859.35370516099,1.7996613687257632
Nenets Autonomous Okrug,2021-01-03 05:22:52,803,0,697,106.0,1825.124440302748,0.0
Nizhny Novgorod Oblast,2021-01-03 05:22:52,70820,1678,63055,6087.0,2189.348673406802,2.3693871787630614
North Ossetia - Alania Republic,2021-01-03 05:22:52,12185,101,10786,1298.0,1736.3362379144016,0.8288879770209274
Novgorod Oblast,2021-01-03 05:22:52,18730,99,13895,4736.0,3088.333256386073,0.5285638013881474
Novosibirsk Oblast,2021-01-03 05:22:52,28191,983,24367,2841.0,1010.8471272557243,3.4869284523429465
Omsk Oblast,2021-01-03 05:22:52,30623,886,27869,1868.0,1562.333393364866,2.893250171439768
Orel Oblast,2021-01-03 05:22:52,21716,273,19640,1803.0,2906.134116296218,1.257137594400442
Orenburg Oblast,2021-01-03 05:22:52,29104,349,25535,3220.0,1471.5935521711872,1.1991478834524465
Penza Oblast,2021-01-03 05:22:52,26445,323,21302,4820.0,1985.8747198035528,1.2214029117035357
Perm Krai,2021-01-03 05:22:52,31279,1154,25215,4910.0,1192.4340537725654,3.6893762588318038
Primorsky Krai,2021-01-03 05:22:52,29758,383,21339,8036.0,1555.5370857960406,1.2870488608105384
Pskov Oblast,2021-01-03 05:22:52,23868,100,12236,11532.0,3749.611182852457,0.4189710072063013
Rostov Oblast,2021-01-03 05:22:52,52437,2086,42760,7591.0,1242.4498608205945,3.9781070618075023
Ryazan Oblast,2021-01-03 05:22:52,18431,165,16843,1423.0,1643.4620865040115,0.895230861049319
Saint Petersburg,2021-01-03 05:22:52,249612,7845,152450,89317.0,4663.9579890263985,3.1428777462621986
Sakha (Yakutiya) Republic,2021-01-03 05:22:52,26722,396,24174,2152.0,2771.043107649871,1.4819250056133524
Sakhalin Oblast,2021-01-03 05:22:52,16028,17,13541,2470.0,3269.812579434943,0.10606438732218618
Samara Oblast,2021-01-03 05:22:52,32004,629,29579,1796.0,1002.156245439976,1.9653793275840519
Saratov Oblast,2021-01-03 05:22:52,35861,423,30736,4702.0,1456.0181895694186,1.1795543905635648
Smolensk Oblast,2021-01-03 05:22:52,17376,341,13877,3158.0,1830.308801408967,1.962476979742173
Stavropol Krai,2021-01-03 05:22:52,35570,747,31974,2849.0,1270.051423335954,2.100084340736576
Sverdlovsk Oblast,2021-01-03 05:22:52,59389,1544,51737,6108.0,1373.074796035194,2.599808045260907
Tambov Oblast,2021-01-03 05:22:52,17971,190,16059,1722.0,1738.761087976222,1.0572589171442879
Tatarstan Republic,2021-01-03 05:22:52,13460,189,10758,2513.0,345.6347816440712,1.4041604754829122
Tomsk Oblast,2021-01-03 05:22:52,24763,218,20486,4059.0,2296.5278035389692,0.8803456770181319
Tula Oblast,2021-01-03 05:22:52,23257,767,20416,2074.0,1558.931665610934,3.2979318054779205
Tver Oblast,2021-01-03 05:22:52,22733,456,17977,4300.0,1770.6580012197473,2.0058945145823253
Tyumen Oblast,2021-01-03 05:22:52,23678,204,22280,1194.0,641.2631350882895,0.8615592533153138
Tyva Republic,2021-01-03 05:22:52,14804,157,13642,1005.0,4601.488241400962,1.060524182653337
Udmurt Republic,2021-01-03 05:22:52,20073,392,16413,3268.0,1326.6633356333325,1.9528720171374483
Ulyanovsk Oblast,2021-01-03 05:22:52,36862,474,33806,2582.0,2956.960351928177,1.2858770549617493
Vladimir Oblast,2021-01-03 05:22:52,18913,518,17010,1385.0,1372.160799572238,2.738856870935336
Volgograd Oblast,2021-01-03 05:22:52,35967,470,34173,1324.0,1426.5395775789718,1.3067534128506686
Vologda Oblast,2021-01-03 05:22:52,24078,438,19384,4256.0,2046.2501136663975,1.8190879641166209
Voronezh Oblast,2021-01-03 05:22:52,46980,1183,44056,1741.0,2013.0535683067042,2.518092805449127
Yamalo-Nenets Autonomous Okrug,2021-01-03 05:22:52,32441,337,25271,6833.0,6023.801079571514,1.038808914645048
Yaroslavl Oblast,2021-01-03 05:22:52,22676,199,21281,1196.0,1791.6004310712626,0.8775798200740872
Zabaykalsky Krai,2021-01-03 05:22:52,27720,386,25487,1847.0,2583.8781662294955,1.3924963924963925
