Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Adygea Republic,2021-03-03 05:23:28,13803,151,12249,1403.0,3044.4928712591754,1.0939650800550604
Altai Krai,2021-03-03 05:23:28,43797,1522,39102,3173.0,1863.6386846405228,3.4751238669315248
Altai Republic,2021-03-03 05:23:28,16226,163,15937,126.0,7440.968894310359,1.0045605817823249
Amur Oblast,2021-03-03 05:23:28,21089,178,19521,1390.0,2641.328416981453,0.8440419175873678
Arkhangelsk Oblast,2021-03-03 05:23:28,56900,662,51159,5079.0,4926.28750125538,1.163444639718805
Astrakhan Oblast,2021-03-03 05:23:28,28487,571,21068,6848.0,2799.666638493426,2.004423070172359
Bashkortostan Republic,2021-03-03 05:23:28,28856,280,23047,5529.0,710.1629146605968,0.9703354588300528
Belgorod Oblast,2021-03-03 05:23:28,31635,490,28912,2233.0,2041.1310324180768,1.5489173383910226
Bryansk Oblast,2021-03-03 05:23:28,33092,257,32203,632.0,2732.658288892816,0.7766227487005923
Buryatia Republic,2021-03-03 05:23:28,33839,717,31587,1535.0,3437.137827815027,2.1188569402169093
Chechen Republic,2021-03-03 05:23:28,11320,111,10796,413.0,787.7626774466746,0.980565371024735
Chelyabinsk Oblast,2021-03-03 05:23:28,51220,1014,45074,5132.0,1466.3461813734527,1.9796954314720807
Chukotka Autonomous Okrug,2021-03-03 05:23:28,695,5,648,42.0,1408.3650806516982,0.7194244604316546
Chuvashia Republic,2021-03-03 05:23:28,21502,1045,19679,778.0,1746.5439921632144,4.860013022044461
Dagestan Republic,2021-03-03 05:23:28,29861,1345,27597,919.0,974.6122977853281,4.504202806336023
Ingushetia Republic,2021-03-03 05:23:28,14772,173,12998,1601.0,3026.782476134275,1.171134578933117
Irkutsk Oblast,2021-03-03 05:23:28,56115,1798,52916,1401.0,2334.045283348481,3.204134366925065
Ivanovo Oblast,2021-03-03 05:23:28,30698,933,28603,1162.0,3025.488692608062,3.0392859469672286
Jewish Autonomous Okrug,2021-03-03 05:23:28,4330,119,4118,93.0,2672.608540002716,2.748267898383372
Kabardino-Balkarian Republic,2021-03-03 05:23:28,21128,371,19785,972.0,2440.2075238962007,1.7559636501325255
Kaliningrad Oblast,2021-03-03 05:23:28,28410,260,25745,2405.0,2856.427565280077,0.9151707145371348
Kalmykia Republic,2021-03-03 05:23:28,19074,297,18082,695.0,6925.599009487571,1.5570934256055364
Kaluga Oblast,2021-03-03 05:23:28,30021,260,27682,2079.0,2966.337831108161,0.8660604243696078
Kamchatka Krai,2021-03-03 05:23:28,13578,118,12261,1199.0,4302.867627718606,0.8690528796582707
Karachay-Cherkess Republic,2021-03-03 05:23:28,19123,63,17374,1686.0,4100.963961355765,0.3294462165978141
Karelia Republic,2021-03-03 05:23:28,41021,311,36987,3723.0,6589.8882541559315,0.7581482655225372
Kemerovo Oblast,2021-03-03 05:23:28,31778,558,30950,270.0,1179.200386511147,1.7559317767008622
Khabarovsk Krai,2021-03-03 05:23:28,49059,288,46234,2537.0,3693.3619011339288,0.5870482480278848
Khakassia Republic,2021-03-03 05:23:28,21341,453,20215,673.0,3970.3225782446193,2.1226746637926994
Khanty-Mansi Autonomous Okrug,2021-03-03 05:23:28,51673,752,49584,1337.0,3372.3763136787047,1.4553054786832582
Kirov Oblast,2021-03-03 05:23:28,36746,295,31653,4798.0,2863.537395245465,0.8028084689490013
Komi Republic,2021-03-03 05:23:28,39596,753,38442,401.0,4708.915615080993,1.9017072431558744
Kostroma Oblast,2021-03-03 05:23:28,18481,355,15588,2538.0,2872.7359775167724,1.9208917266381689
Krasnodar Krai,2021-03-03 05:23:28,38722,1958,33461,3303.0,691.0422563363089,5.056556996022934
