,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,21:40 31 мая,Махачкала,,"FV 6070, SU 6070Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 02:06 1 июня,Совершил посадку в 02:06 1 июня,,"FV 6070, SU 6070Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
2,23:45 31 мая,Нижний Новгород,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
3,Совершил посадку в 01:03 1 июня,Совершил посадку в 01:03 1 июня,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
4,00:05,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
5,Совершил посадку в 23:49 31 мая,Совершил посадку в 23:49 31 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 5
6,00:05,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 5
7,Совершил посадку в 23:49 31 мая,Совершил посадку в 23:49 31 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 5
8,00:05,Париж,,AF 1654Air France,D,Нет актуальной информации о статусе
9,,,,AF 1654Air France,D,Нет актуальной информации о статусе
10,00:15,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
11,Совершил посадку в 23:39 31 мая,Совершил посадку в 23:39 31 мая,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
12,00:15,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
13,Совершил посадку в 23:39 31 мая,Совершил посадку в 23:39 31 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 4
14,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
15,Совершил посадку в 00:03,Совершил посадку в 00:03,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
16,00:25,Санкт-Петербург,,AZ 4361Alitalia,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 00:12,Совершил посадку в 00:12,,AZ 4361Alitalia,B,ПрилетелВыдача багажа: лента 4
18,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
19,Совершил посадку в 00:12,Совершил посадку в 00:12,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
20,00:25,Санкт-Петербург,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 4
21,Совершил посадку в 00:12,Совершил посадку в 00:12,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 4
22,00:30,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
23,Совершил посадку в 00:56 2 июня,Совершил посадку в 00:56 2 июня,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
24,00:55,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
25,Совершил посадку в 00:39,Совершил посадку в 00:39,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
26,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
27,Совершил посадку в 00:39,Совершил посадку в 00:39,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
28,00:55,Сочи,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 2
29,Совершил посадку в 00:39,Совершил посадку в 00:39,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 2
30,01:10,Санкт-Петербург,,JU 7032Air Serbia,B,ПрилетелВыдача багажа: лента 1
31,Совершил посадку в 00:56,Совершил посадку в 00:56,,JU 7032Air Serbia,B,ПрилетелВыдача багажа: лента 1
32,01:10,Санкт-Петербург,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 1
33,Совершил посадку в 00:56,Совершил посадку в 00:56,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 1
34,01:10,Санкт-Петербург,,AZ 5561Alitalia,B,ПрилетелВыдача багажа: лента 1
35,Совершил посадку в 00:56,Совершил посадку в 00:56,,AZ 5561Alitalia,B,ПрилетелВыдача багажа: лента 1
36,02:40,Симферополь,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
37,Совершил посадку в 02:19,Совершил посадку в 02:19,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
38,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
39,Совершил посадку в 04:04,Совершил посадку в 04:04,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
40,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
41,Совершил посадку в 04:17,Совершил посадку в 04:17,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
42,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 2
43,Совершил посадку в 04:21,Совершил посадку в 04:21,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 2
44,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
45,Совершил посадку в 04:21,Совершил посадку в 04:21,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
46,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 1
47,Совершил посадку в 04:26,Совершил посадку в 04:26,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 1
48,05:10,Санкт-Петербург,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 2
49,Совершил посадку в 04:46,Совершил посадку в 04:46,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 2
50,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
51,Совершил посадку в 04:55,Совершил посадку в 04:55,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
52,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
53,Совершил посадку в 04:55,Совершил посадку в 04:55,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
54,05:15,Анапа,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 4
55,Совершил посадку в 04:38,Совершил посадку в 04:38,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 4
56,05:30,Баку,,SU 1853Аэрофлот,D,ПрилетелВыдача багажа: лента 9
57,Совершил посадку в 04:44,Совершил посадку в 04:44,,SU 1853Аэрофлот,D,ПрилетелВыдача багажа: лента 9
58,05:30,Анапа,,FV 5516Россия,D,
59,Отменен,Отменен,,FV 5516Россия,D,
60,05:45,Челябинск,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 3
61,Совершил посадку в 05:45,Совершил посадку в 05:45,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 3
62,05:50,Екатеринбург,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
63,Совершил посадку в 05:27,Совершил посадку в 05:27,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
64,05:50,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
