,Время,Направление,Unnamed: 2,Рейс,Статус
0,22:05 31 мая,Симферополь,,U6 522Уральские авиалинии,Прилетел
1,Совершил посадку в 00:31 1 июня,Совершил посадку в 00:31 1 июня,,U6 522Уральские авиалинии,Прилетел
2,23:25 31 мая,Франкфурт-на-Майне,,LH 1452Lufthansa,Прилетел
3,Совершил посадку в 00:11 1 июня,Совершил посадку в 00:11 1 июня,,LH 1452Lufthansa,Прилетел
4,23:40 31 мая,Симферополь,,U6 2842Уральские авиалинии,Прилетел
5,Совершил посадку в 02:35 1 июня,Совершил посадку в 02:35 1 июня,,U6 2842Уральские авиалинии,Прилетел
6,23:55 31 мая,Санкт-Петербург,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
7,Совершил посадку в 00:01 1 июня,Совершил посадку в 00:01 1 июня,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
8,23:55 31 мая,Калининград,,U6 74Уральские авиалинии,Прилетел
9,Совершил посадку в 03:25 1 июня,Совершил посадку в 03:25 1 июня,,U6 74Уральские авиалинии,Прилетел
10,00:20,Краснодар,,LY 8910El Al,Прилетел
11,Совершил посадку в 00:02,Совершил посадку в 00:02,,LY 8910El Al,Прилетел
12,00:20,Краснодар,,S7 2078S7 Airlines,Прилетел
13,Совершил посадку в 00:02,Совершил посадку в 00:02,,S7 2078S7 Airlines,Прилетел
14,00:20,Анапа,,EK 7912Emirates,Прилетел
15,Совершил посадку в 00:14,Совершил посадку в 00:14,,EK 7912Emirates,Прилетел
16,00:20,Анапа,,S7 2108S7 Airlines,Прилетел
17,Совершил посадку в 00:14,Совершил посадку в 00:14,,S7 2108S7 Airlines,Прилетел
18,00:20,Анапа,,KC 1508Air Astana,Прилетел
19,Совершил посадку в 00:14,Совершил посадку в 00:14,,KC 1508Air Astana,Прилетел
20,00:20,Ростов-на-Дону,,5N 272Smartavia,Прилетел
21,Совершил посадку в 00:15,Совершил посадку в 00:15,,5N 272Smartavia,Прилетел
22,00:30,Ростов-на-Дону,,U6 142Уральские авиалинии,Прилетел
23,Совершил посадку в 00:15,Совершил посадку в 00:15,,U6 142Уральские авиалинии,Прилетел
24,00:35,Калининград,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
25,Совершил посадку в 00:34,Совершил посадку в 00:34,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
26,01:35,Симферополь,,U6 48Уральские авиалинии,Прилетел
27,Совершил посадку в 04:08,Совершил посадку в 04:08,,U6 48Уральские авиалинии,Прилетел
28,01:50,Сочи,,S7 2050S7 Airlines,Прилетел
29,Совершил посадку в 01:34,Совершил посадку в 01:34,,S7 2050S7 Airlines,Прилетел
30,01:50,Сочи,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
31,Совершил посадку в 01:34,Совершил посадку в 01:34,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
32,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
33,Совершил посадку в 01:37,Совершил посадку в 01:37,,S7 2014S7 Airlines,Прилетел
34,03:40,Ереван,,U6 8704Уральские авиалинии,Прилетел
35,Совершил посадку в 03:40,Совершил посадку в 03:40,,U6 8704Уральские авиалинии,Прилетел
36,04:25,Тюмень,,S7 2624S7 Airlines,Прилетел
37,Совершил посадку в 07:12,Совершил посадку в 07:12,,S7 2624S7 Airlines,Прилетел
38,05:30,Уфа,,S7 1132S7 Airlines,Прилетел
39,Совершил посадку в 05:17,Совершил посадку в 05:17,,S7 1132S7 Airlines,Прилетел
40,05:30,Уфа,,"SQ 1924, EY 8728, LY 8914, EK 7864Singapore Airlines, Etihad Airways, El Al, Emirates",Прилетел
41,Совершил посадку в 05:17,Совершил посадку в 05:17,,"SQ 1924, EY 8728, LY 8914, EK 7864Singapore Airlines, Etihad Airways, El Al, Emirates",Прилетел
42,05:45,Новосибирск,,U6 104Уральские авиалинии,Прилетел
43,Совершил посадку в 06:11,Совершил посадку в 06:11,,U6 104Уральские авиалинии,Прилетел
44,06:05,Бишкек,,U6 8264Уральские авиалинии,Прилетел
45,Совершил посадку в 09:02,Совершил посадку в 09:02,,U6 8264Уральские авиалинии,Прилетел
46,06:10,Екатеринбург,,WZ 422Red Wings,Прилетел
47,Совершил посадку в 06:14,Совершил посадку в 06:14,,WZ 422Red Wings,Прилетел
48,06:15,Нижний Новгород,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
49,Совершил посадку в 05:58,Совершил посадку в 05:58,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
50,06:20,Самара,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
51,Совершил посадку в 06:03,Совершил посадку в 06:03,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
52,06:20,Симферополь,,U6 8Уральские авиалинии,Прилетел
53,Совершил посадку в 10:50,Совершил посадку в 10:50,,U6 8Уральские авиалинии,Прилетел
54,06:30,Ростов-на-Дону,,Y7 1092Нордстар,Прилетел
55,Совершил посадку в 06:07,Совершил посадку в 06:07,,Y7 1092Нордстар,Прилетел
56,06:35,Казань,,"KC 1440, LY 8968, EY 8657Air Astana, El Al, Etihad Airways",Прилетел
57,Совершил посадку в 06:16,Совершил посадку в 06:16,,"KC 1440, LY 8968, EY 8657Air Astana, El Al, Etihad Airways",Прилетел
58,06:35,Казань,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
59,Совершил посадку в 06:16,Совершил посадку в 06:16,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
60,06:40,Ульяновск,,S7 1184S7 Airlines,Прилетел
61,Совершил посадку в 06:23,Совершил посадку в 06:23,,S7 1184S7 Airlines,Прилетел
62,06:40,Санкт-Петербург,,EK 7894Emirates,Прилетел
63,Совершил посадку в 06:23,Совершил посадку в 06:23,,EK 7894Emirates,Прилетел
64,06:45,Екатеринбург,,"S7 1172, B2 172S7 Airlines, Белавиа",Прилетел
65,Совершил посадку в 06:35,Совершил посадку в 06:35,,"S7 1172, B2 172S7 Airlines, Белавиа",Прилетел
66,06:45,Екатеринбург,,LY 8942El Al,Прилетел
67,Совершил посадку в 06:35,Совершил посадку в 06:35,,LY 8942El Al,Прилетел
68,06:45,Екатеринбург,,"SQ 1914, EK 7862, EY 8721Singapore Airlines, Emirates, Etihad Airways",Прилетел
69,Совершил посадку в 06:35,Совершил посадку в 06:35,,"SQ 1914, EK 7862, EY 8721Singapore Airlines, Emirates, Etihad Airways",Прилетел
70,06:45,Новосибирск,,"S7 2502, B2 152, EY 8693S7 Airlines, Белавиа, Etihad Airways",Прилетел
71,Совершил посадку в 06:53,Совершил посадку в 06:53,,"S7 2502, B2 152, EY 8693S7 Airlines, Белавиа, Etihad Airways",Прилетел
72,06:50,Пенза,,S7 1194S7 Airlines,Прилетел
