,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:05 9 мая,Сочи,,U6 422Уральские авиалинии,Прилетел
1,Совершил посадку в 01:15 10 мая,Совершил посадку в 01:15 10 мая,,U6 422Уральские авиалинии,Прилетел
2,20:55 9 мая,Сабетта,,Y7 9234Нордстар,Прилетел
3,Совершил посадку в 14:52 10 мая,Совершил посадку в 14:52 10 мая,,Y7 9234Нордстар,Прилетел
4,23:25 9 мая,Франкфурт-на-Майне,,LH 1452Lufthansa,Прилетел
5,Совершил посадку в 00:07 10 мая,Совершил посадку в 00:07 10 мая,,LH 1452Lufthansa,Прилетел
6,23:45 9 мая,Калининград,,U6 74Уральские авиалинии,Прилетел
7,Совершил посадку в 01:09 10 мая,Совершил посадку в 01:09 10 мая,,U6 74Уральские авиалинии,Прилетел
8,23:55 9 мая,Санкт-Петербург,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
9,Совершил посадку в 00:19 10 мая,Совершил посадку в 00:19 10 мая,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
10,00:20,Анапа,,EK 7912Emirates,Прилетел
11,Совершил посадку в 00:04,Совершил посадку в 00:04,,EK 7912Emirates,Прилетел
12,00:20,Анапа,,S7 2108S7 Airlines,Прилетел
13,Совершил посадку в 00:04,Совершил посадку в 00:04,,S7 2108S7 Airlines,Прилетел
14,00:20,Анапа,,KC 1508Air Astana,Прилетел
15,Совершил посадку в 00:04,Совершил посадку в 00:04,,KC 1508Air Astana,Прилетел
16,00:20,Краснодар,,LY 8910El Al,Прилетел
17,Совершил посадку в 00:07,Совершил посадку в 00:07,,LY 8910El Al,Прилетел
18,00:20,Краснодар,,S7 2078S7 Airlines,Прилетел
19,Совершил посадку в 00:07,Совершил посадку в 00:07,,S7 2078S7 Airlines,Прилетел
20,00:40,Калининград,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
21,Совершил посадку в 00:42,Совершил посадку в 00:42,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
22,00:55,Минеральные Воды,,S7 2172S7 Airlines,Прилетел
23,Совершил посадку в 00:33,Совершил посадку в 00:33,,S7 2172S7 Airlines,Прилетел
24,00:55,Нур-Султан (Астана),,KC 8730Air Astana,Нет актуальной информации о статусе
