,Время,Направление,Unnamed: 2,Рейс,Статус
0,01:05 1 июля,Анталья,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 01:20 2 июля,Совершил посадку в 01:20 2 июля,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
2,00:05,Анапа,,SU 2973Аэрофлот,ПрилетелВыдача багажа: лента 9
3,Совершил посадку в 23:52 1 июля,Совершил посадку в 23:52 1 июля,,SU 2973Аэрофлот,ПрилетелВыдача багажа: лента 9
4,00:30,Анталья,,N4 5884Nordwind,ПрилетелВыдача багажа: лента 3
5,Совершил посадку в 12:49,Совершил посадку в 12:49,,N4 5884Nordwind,ПрилетелВыдача багажа: лента 3
6,00:35,Москва,,"U6 263, B2 463Уральские авиалинии, Белавиа",Нет актуальной информации о статусе
7,,,,"U6 263, B2 463Уральские авиалинии, Белавиа",Нет актуальной информации о статусе
8,00:45,Самара,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
9,,,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
10,00:50,Ульяновск,,WZ 1080Red Wings,ПрилетелВыдача багажа: лента 10
11,Совершил посадку в 00:16,Совершил посадку в 00:16,,WZ 1080Red Wings,ПрилетелВыдача багажа: лента 10
12,01:05,Анталья,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 02:18 3 июля,Совершил посадку в 02:18 3 июля,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
14,01:25,Ираклион,,U6 7006Уральские авиалинии,
15,Отменен,Отменен,,U6 7006Уральские авиалинии,
16,01:45,Анталья,,YC 9345Ямал,ПрилетелВыдача багажа: лента 1
17,Совершил посадку в 01:44,Совершил посадку в 01:44,,YC 9345Ямал,ПрилетелВыдача багажа: лента 1
18,01:55,Москва,,"SU 1406, KL 3214Аэрофлот, KLM",ПрилетелВыдача багажа: лента 8
19,Совершил посадку в 01:36,Совершил посадку в 01:36,,"SU 1406, KL 3214Аэрофлот, KLM",ПрилетелВыдача багажа: лента 8
20,02:00,Анталья,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 3
21,Совершил посадку в 02:03,Совершил посадку в 02:03,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 3
22,02:10,Казань,,WZ 1070Red Wings,ПрилетелВыдача багажа: лента 7
23,Совершил посадку в 01:39,Совершил посадку в 01:39,,WZ 1070Red Wings,ПрилетелВыдача багажа: лента 7
24,02:15,Москва,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
25,Совершил посадку в 02:15,Совершил посадку в 02:15,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
26,02:25,Анталья,,XC 8187Corendon Airlines,ПрилетелВыдача багажа: лента 2
27,Совершил посадку в 02:11,Совершил посадку в 02:11,,XC 8187Corendon Airlines,ПрилетелВыдача багажа: лента 2
28,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 7
29,Совершил посадку в 03:05,Совершил посадку в 03:05,,DP 403Победа,ПрилетелВыдача багажа: лента 7
30,03:25,Москва,,DP 6541Победа,ПрилетелВыдача багажа: лента 10
31,Совершил посадку в 03:18,Совершил посадку в 03:18,,DP 6541Победа,ПрилетелВыдача багажа: лента 10
32,03:50,Москва,,N4 173Nordwind,Нет актуальной информации о статусе
33,,,,N4 173Nordwind,Нет актуальной информации о статусе
34,04:00,Красноярск,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
35,Совершил посадку в 05:31,Совершил посадку в 05:31,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
36,04:10,Москва,,"SU 1408, JU 7067, LO 4453Аэрофлот, Air Serbia, Lot",ПрилетелВыдача багажа: лента 8
37,Совершил посадку в 06:03,Совершил посадку в 06:03,,"SU 1408, JU 7067, LO 4453Аэрофлот, Air Serbia, Lot",ПрилетелВыдача багажа: лента 8
38,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 9
39,Совершил посадку в 04:14,Совершил посадку в 04:14,,DP 405Победа,ПрилетелВыдача багажа: лента 9
40,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 10
41,Совершил посадку в 04:40,Совершил посадку в 04:40,,DP 515Победа,ПрилетелВыдача багажа: лента 10
42,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
43,Совершил посадку в 04:52,Совершил посадку в 04:52,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
44,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 7
45,Совершил посадку в 05:02,Совершил посадку в 05:02,,DP 339Победа,ПрилетелВыдача багажа: лента 7
46,05:20,Москва,,"S7 1171, B2 171, EK 7863, EY 8718, LY 8921S7 Airlines, Белавиа, Emirates, Etihad Airways, El Al",ПрилетелВыдача багажа: лента 7
47,Совершил посадку в 05:22,Совершил посадку в 05:22,,"S7 1171, B2 171, EK 7863, EY 8718, LY 8921S7 Airlines, Белавиа, Emirates, Etihad Airways, El Al",ПрилетелВыдача багажа: лента 7
48,05:25,Ростов-на-Дону,,A4 213Азимут,ПрилетелВыдача багажа: лента 9
49,Совершил посадку в 05:06,Совершил посадку в 05:06,,A4 213Азимут,ПрилетелВыдача багажа: лента 9
50,05:30,Санкт-Петербург,,"U6 226, B2 426Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
51,Совершил посадку в 05:41,Совершил посадку в 05:41,,"U6 226, B2 426Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
52,05:40,Анапа,,DP 304Победа,ПрилетелВыдача багажа: лента 9
53,Совершил посадку в 05:34,Совершил посадку в 05:34,,DP 304Победа,ПрилетелВыдача багажа: лента 9
54,06:20,Краснодар,,DP 564Победа,ПрилетелВыдача багажа: лента 8
55,Совершил посадку в 06:32,Совершил посадку в 06:32,,DP 564Победа,ПрилетелВыдача багажа: лента 8
56,06:25,Санкт-Петербург,,WZ 793Red Wings,ПрилетелВыдача багажа: лента 10
57,Совершил посадку в 06:07,Совершил посадку в 06:07,,WZ 793Red Wings,ПрилетелВыдача багажа: лента 10
58,06:25,Москва,,"SU 1436, KL 2855, LO 4475Аэрофлот, KLM, Lot",ПрилетелВыдача багажа: лента 7
59,Совершил посадку в 06:10,Совершил посадку в 06:10,,"SU 1436, KL 2855, LO 4475Аэрофлот, KLM, Lot",ПрилетелВыдача багажа: лента 7
60,06:30,Сочи,,N4 142Nordwind,ПрилетелВыдача багажа: лента 7
61,Совершил посадку в 06:41,Совершил посадку в 06:41,,N4 142Nordwind,ПрилетелВыдача багажа: лента 7
62,06:30,Бишкек,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
63,Совершил посадку в 07:20,Совершил посадку в 07:20,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
64,06:40,Симферополь,,SU 2898Аэрофлот,ПрилетелВыдача багажа: лента 9
65,Совершил посадку в 06:15,Совершил посадку в 06:15,,SU 2898Аэрофлот,ПрилетелВыдача багажа: лента 9
66,06:50,Симферополь,,U6 78Уральские авиалинии,ПрилетелВыдача багажа: лента 10
67,Совершил посадку в 06:47,Совершил посадку в 06:47,,U6 78Уральские авиалинии,ПрилетелВыдача багажа: лента 10
68,08:20,Анапа,,FV 5592Россия,ПрилетелВыдача багажа: лента 8
69,Совершил посадку в 10:31,Совершил посадку в 10:31,,FV 5592Россия,ПрилетелВыдача багажа: лента 8
70,08:40,Новокузнецк,,WZ 1092Red Wings,ПрилетелВыдача багажа: лента 9
71,Совершил посадку в 08:01,Совершил посадку в 08:01,,WZ 1092Red Wings,ПрилетелВыдача багажа: лента 9
72,09:15,Барнаул,,WZ 1076Red Wings,ПрилетелВыдача багажа: лента 10
73,Совершил посадку в 08:36,Совершил посадку в 08:36,,WZ 1076Red Wings,ПрилетелВыдача багажа: лента 10
74,09:35,Ереван,,SU 2993Аэрофлот,ПрилетелВыдача багажа: лента 7
75,Совершил посадку в 09:19,Совершил посадку в 09:19,,SU 2993Аэрофлот,ПрилетелВыдача багажа: лента 7
76,09:45,Сургут,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
77,Совершил посадку в 09:29,Совершил посадку в 09:29,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
78,10:30,Ханты-Мансийск,,UT 301ЮТэйр,ПрилетелВыдача багажа: лента 7
79,Совершил посадку в 10:08,Совершил посадку в 10:08,,UT 301ЮТэйр,ПрилетелВыдача багажа: лента 7
80,10:30,Худжанд,,7J 4917Таджик Эйр,
81,Отменен,Отменен,,7J 4917Таджик Эйр,
82,10:45,Уфа,,UT 1106ЮТэйр,ПрилетелВыдача багажа: лента 7
83,Совершил посадку в 10:24,Совершил посадку в 10:24,,UT 1106ЮТэйр,ПрилетелВыдача багажа: лента 7
84,11:05,Новый Уренгой,,YC 222Ямал,ПрилетелВыдача багажа: лента 8
85,Совершил посадку в 11:01,Совершил посадку в 11:01,,YC 222Ямал,ПрилетелВыдача багажа: лента 8
86,11:10,Москва,,"SU 1410, JU 7068, AZ 3021, KL 3200Аэрофлот, Air Serbia, Alitalia, KLM",ПрилетелВыдача багажа: лента 9
87,Совершил посадку в 11:06,Совершил посадку в 11:06,,"SU 1410, JU 7068, AZ 3021, KL 3200Аэрофлот, Air Serbia, Alitalia, KLM",ПрилетелВыдача багажа: лента 9
88,12:10,Чита,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 8
89,Совершил посадку в 12:26,Совершил посадку в 12:26,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 8
90,12:30,Ноябрьск,,YC 250Ямал,ПрилетелВыдача багажа: лента 10
91,Совершил посадку в 12:08,Совершил посадку в 12:08,,YC 250Ямал,ПрилетелВыдача багажа: лента 10
92,12:40,Москва,,"U6 273, B2 473Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 7
93,Совершил посадку в 12:59,Совершил посадку в 12:59,,"U6 273, B2 473Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 7
94,12:50,Анталья,,N4 1842Nordwind,Нет актуальной информации о статусе
95,,,,N4 1842Nordwind,Нет актуальной информации о статусе
96,12:55,Москва,,"SU 1400, AZ 5347, KL 2863Аэрофлот, Alitalia, KLM",ПрилетелВыдача багажа: лента 9
97,Совершил посадку в 12:37,Совершил посадку в 12:37,,"SU 1400, AZ 5347, KL 2863Аэрофлот, Alitalia, KLM",ПрилетелВыдача багажа: лента 9
98,13:00,Владивосток,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 7
99,Совершил посадку в 13:09,Совершил посадку в 13:09,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 7
100,13:00,Анапа,,RL 326Royal Flight,ПрилетелВыдача багажа: лента 10
101,Совершил посадку в 13:31,Совершил посадку в 13:31,,RL 326Royal Flight,ПрилетелВыдача багажа: лента 10
102,13:05,Норильск,,Y7 917Нордстар,ПрилетелВыдача багажа: лента 8
103,Совершил посадку в 12:54,Совершил посадку в 12:54,,Y7 917Нордстар,ПрилетелВыдача багажа: лента 8
104,13:10,Якутск,,U6 256Уральские авиалинии,ПрилетелВыдача багажа: лента 9
105,Совершил посадку в 12:44,Совершил посадку в 12:44,,U6 256Уральские авиалинии,ПрилетелВыдача багажа: лента 9
106,13:25,Новосибирск,,WZ 436Red Wings,Нет актуальной информации о статусе
107,,,,WZ 436Red Wings,Нет актуальной информации о статусе
108,13:35,Симферополь,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
109,Совершил посадку в 14:54,Совершил посадку в 14:54,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
110,13:40,Сочи,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
111,Совершил посадку в 14:10,Совершил посадку в 14:10,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
112,13:40,Куляб,,U6 8900Уральские авиалинии,ПрилетелВыдача багажа: лента 3
113,Совершил посадку в 15:16,Совершил посадку в 15:16,,U6 8900Уральские авиалинии,ПрилетелВыдача багажа: лента 3
114,13:55,Москва,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
115,Совершил посадку в 13:37,Совершил посадку в 13:37,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
116,13:55,Минеральные Воды,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 9
117,Совершил посадку в 15:35,Совершил посадку в 15:35,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 9
118,14:00,Благовещенск,,U6 300Уральские авиалинии,ПрилетелВыдача багажа: лента 10
119,Совершил посадку в 13:52,Совершил посадку в 13:52,,U6 300Уральские авиалинии,ПрилетелВыдача багажа: лента 10
120,14:05,Анапа,,U6 202Уральские авиалинии,ПрилетелВыдача багажа: лента 7
121,Совершил посадку в 14:06,Совершил посадку в 14:06,,U6 202Уральские авиалинии,ПрилетелВыдача багажа: лента 7
122,14:10,Хабаровск,,U6 174Уральские авиалинии,Нет актуальной информации о статусе
123,,,,U6 174Уральские авиалинии,Нет актуальной информации о статусе
124,14:15,Москва,,"U6 261, B2 461Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 8
125,Совершил посадку в 14:30,Совершил посадку в 14:30,,"U6 261, B2 461Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 8
126,14:45,Новосибирск,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 9
127,Совершил посадку в 14:25,Совершил посадку в 14:25,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 9
128,15:30,Симферополь,,SU 2931Аэрофлот,ПрилетелВыдача багажа: лента 7
129,Совершил посадку в 15:02,Совершил посадку в 15:02,,SU 2931Аэрофлот,ПрилетелВыдача багажа: лента 7
130,15:30,Мирный,,6R 549Алроса,ПрилетелВыдача багажа: лента 10
131,Совершил посадку в 15:28,Совершил посадку в 15:28,,6R 549Алроса,ПрилетелВыдача багажа: лента 10
132,15:35,Саратов,,WZ 1048Red Wings,ПрилетелВыдача багажа: лента 8
133,Совершил посадку в 15:06,Совершил посадку в 15:06,,WZ 1048Red Wings,ПрилетелВыдача багажа: лента 8
134,15:50,Москва,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
135,Совершил посадку в 15:20,Совершил посадку в 15:20,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
136,16:05,Анталья,,FV 5866Россия,
137,Отменен,Отменен,,FV 5866Россия,
138,16:50,Архангельск,,7R 842РусЛайн,Нет актуальной информации о статусе
139,,,,7R 842РусЛайн,Нет актуальной информации о статусе
140,16:50,Сочи,,FV 5604Россия,ПрилетелВыдача багажа: лента 10
141,Совершил посадку в 19:07,Совершил посадку в 19:07,,FV 5604Россия,ПрилетелВыдача багажа: лента 10
142,17:30,Ижевск,,WZ 1084Red Wings,ПрилетелВыдача багажа: лента 8
143,Совершил посадку в 17:11,Совершил посадку в 17:11,,WZ 1084Red Wings,ПрилетелВыдача багажа: лента 8
144,17:30,Санкт-Петербург,,DP 581Победа,
145,Отменен,Отменен,,DP 581Победа,
146,17:35,Москва,,"U6 269, B2 469Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
147,Совершил посадку в 18:42,Совершил посадку в 18:42,,"U6 269, B2 469Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
148,17:40,Самара,,WZ 1034Red Wings,ПрилетелВыдача багажа: лента 10
149,Совершил посадку в 17:00,Совершил посадку в 17:00,,WZ 1034Red Wings,ПрилетелВыдача багажа: лента 10
150,17:50,Самарканд,,WZ 4468Red Wings,ПрилетелВыдача багажа: лента 1
151,Совершил посадку в 17:16,Совершил посадку в 17:16,,WZ 4468Red Wings,ПрилетелВыдача багажа: лента 1
152,17:50,Москва,,"SU 1412, JU 7064Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 7
153,Совершил посадку в 20:15,Совершил посадку в 20:15,,"SU 1412, JU 7064Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 7
154,18:00,Салехард,,YC 122Ямал,ПрилетелВыдача багажа: лента 8
155,Совершил посадку в 20:25,Совершил посадку в 20:25,,YC 122Ямал,ПрилетелВыдача багажа: лента 8
156,18:50,Сургут,,UT 1111ЮТэйр,ПрилетелВыдача багажа: лента 7
157,Совершил посадку в 19:13,Совершил посадку в 19:13,,UT 1111ЮТэйр,ПрилетелВыдача багажа: лента 7
158,19:00,Череповец,,D2 181Северсталь,ПрилетелВыдача багажа: лента 7
159,Совершил посадку в 19:35,Совершил посадку в 19:35,,D2 181Северсталь,ПрилетелВыдача багажа: лента 7
160,19:10,Тюмень,,UT 279ЮТэйр,ПрилетелВыдача багажа: лента 7
161,Совершил посадку в 19:23,Совершил посадку в 19:23,,UT 279ЮТэйр,ПрилетелВыдача багажа: лента 7
162,19:35,Красноярск,,7R 806РусЛайн,Нет актуальной информации о статусе
163,,,,7R 806РусЛайн,Нет актуальной информации о статусе
164,19:50,Москва,,SU 1404Аэрофлот,ПрилетелВыдача багажа: лента 8
165,Совершил посадку в 19:28,Совершил посадку в 19:28,,SU 1404Аэрофлот,ПрилетелВыдача багажа: лента 8
166,20:00,Уфа,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
167,Совершил посадку в 19:57,Совершил посадку в 19:57,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
168,20:05,Анапа,,SU 2873Аэрофлот,ПрилетелВыдача багажа: лента 9
169,Совершил посадку в 19:46,Совершил посадку в 19:46,,SU 2873Аэрофлот,ПрилетелВыдача багажа: лента 9
170,20:25,Новосибирск,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 10
171,Совершил посадку в 04:08 3 июля,Совершил посадку в 04:08 3 июля,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 10
172,21:20,Санкт-Петербург,,"FV 6403, SU 6403Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
173,Совершил посадку в 21:18,Совершил посадку в 21:18,,"FV 6403, SU 6403Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
174,21:30,Самара,,UT 282ЮТэйр,ПрилетелВыдача багажа: лента 7
175,Совершил посадку в 21:30,Совершил посадку в 21:30,,UT 282ЮТэйр,ПрилетелВыдача багажа: лента 7
176,21:40,Каир,,ZF 610Azur Air,ПрилетелВыдача багажа: лента 3
177,Совершил посадку в 21:36,Совершил посадку в 21:36,,ZF 610Azur Air,ПрилетелВыдача багажа: лента 3
178,21:55,Анапа,,U6 302Уральские авиалинии,ПрилетелВыдача багажа: лента 8
179,Совершил посадку в 22:20,Совершил посадку в 22:20,,U6 302Уральские авиалинии,ПрилетелВыдача багажа: лента 8
180,22:00,Москва,,"SU 1414, KL 2852, JU 7106, LO 4451, JL 8457, AZ 5098Аэрофлот, KLM, Air Serbia, Lot, Japan Airlines, Alitalia",ПрилетелВыдача багажа: лента 10
181,Совершил посадку в 22:01,Совершил посадку в 22:01,,"SU 1414, KL 2852, JU 7106, LO 4451, JL 8457, AZ 5098Аэрофлот, KLM, Air Serbia, Lot, Japan Airlines, Alitalia",ПрилетелВыдача багажа: лента 10
182,22:00,Москва,,U6 299Уральские авиалинии,ПрилетелВыдача багажа: лента 9
183,Совершил посадку в 22:23,Совершил посадку в 22:23,,U6 299Уральские авиалинии,ПрилетелВыдача багажа: лента 9
184,22:00,Санкт-Петербург,,U6 173Уральские авиалинии,ПрилетелВыдача багажа: лента 7
185,Совершил посадку в 22:27,Совершил посадку в 22:27,,U6 173Уральские авиалинии,ПрилетелВыдача багажа: лента 7
186,22:05,Геленджик,,U6 150Уральские авиалинии,ПрилетелВыдача багажа: лента 9
187,Совершил посадку в 22:15,Совершил посадку в 22:15,,U6 150Уральские авиалинии,ПрилетелВыдача багажа: лента 9
188,22:10,Калининград,,U6 404Уральские авиалинии,ПрилетелВыдача багажа: лента 10
189,Совершил посадку в 22:17,Совершил посадку в 22:17,,U6 404Уральские авиалинии,ПрилетелВыдача багажа: лента 10
190,22:25,Сочи,,U6 322Уральские авиалинии,ПрилетелВыдача багажа: лента 9
191,Совершил посадку в 23:17,Совершил посадку в 23:17,,U6 322Уральские авиалинии,ПрилетелВыдача багажа: лента 9
192,22:25,Краснодар,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 7
193,Совершил посадку в 02:02 3 июля,Совершил посадку в 02:02 3 июля,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 7
194,22:40,Симферополь,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 8
195,Совершил посадку в 23:41,Совершил посадку в 23:41,,U6 528Уральские авиалинии,ПрилетелВыдача багажа: лента 8
196,22:40,Омск,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
197,Совершил посадку в 00:33 3 июля,Совершил посадку в 00:33 3 июля,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
198,22:55,Южно-Сахалинск,,U6 1301Уральские авиалинии,ПрилетелВыдача багажа: лента 7
199,Совершил посадку в 22:12,Совершил посадку в 22:12,,U6 1301Уральские авиалинии,ПрилетелВыдача багажа: лента 7
