,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:20,Краснодар,,LY 8910El Al,Прилетел
1,Совершил посадку в 00:08,Совершил посадку в 00:08,,LY 8910El Al,Прилетел
2,00:20,Краснодар,,S7 2078S7 Airlines,Прилетел
3,Совершил посадку в 00:08,Совершил посадку в 00:08,,S7 2078S7 Airlines,Прилетел
4,00:20,Анапа,,S7 2108S7 Airlines,Прилетел
5,Совершил посадку в 00:15,Совершил посадку в 00:15,,S7 2108S7 Airlines,Прилетел
6,00:20,Анапа,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
7,Совершил посадку в 00:15,Совершил посадку в 00:15,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
8,00:40,Калининград,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
9,Совершил посадку в 00:40,Совершил посадку в 00:40,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
10,00:50,Владивосток,,U6 9368Уральские авиалинии,Прилетел
11,Совершил посадку в 00:38,Совершил посадку в 00:38,,U6 9368Уральские авиалинии,Прилетел
12,01:40,Санкт-Петербург,,Y7 9885Нордстар,Прилетел
13,Совершил посадку в 01:31,Совершил посадку в 01:31,,Y7 9885Нордстар,Прилетел
14,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
15,Совершил посадку в 01:19,Совершил посадку в 01:19,,S7 2014S7 Airlines,Прилетел
16,01:50,Сочи,,S7 2050S7 Airlines,Прилетел
17,Совершил посадку в 02:18,Совершил посадку в 02:18,,S7 2050S7 Airlines,Прилетел
18,01:50,Сочи,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
19,Совершил посадку в 02:18,Совершил посадку в 02:18,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
20,04:40,Екатеринбург,,WZ 9464Red Wings,Нет актуальной информации о статусе
21,,,,WZ 9464Red Wings,Нет актуальной информации о статусе
22,05:30,Уфа,,"SQ 1924, LY 8914, EY 8728Singapore Airlines, El Al, Etihad Airways",Прилетел
23,Совершил посадку в 04:58,Совершил посадку в 04:58,,"SQ 1924, LY 8914, EY 8728Singapore Airlines, El Al, Etihad Airways",Прилетел
24,05:30,Уфа,,S7 1132S7 Airlines,Прилетел
25,Совершил посадку в 04:58,Совершил посадку в 04:58,,S7 1132S7 Airlines,Прилетел
26,05:30,Уфа,,EK 7864Emirates,Прилетел
27,Совершил посадку в 04:58,Совершил посадку в 04:58,,EK 7864Emirates,Прилетел
28,05:35,Новосибирск,,6R 543Алроса,Прилетел
29,Совершил посадку в 05:35,Совершил посадку в 05:35,,6R 543Алроса,Прилетел
30,06:00,Сингапур,,SQ 362Singapore Airlines,Прилетел
31,Совершил посадку в 05:52,Совершил посадку в 05:52,,SQ 362Singapore Airlines,Прилетел
32,06:00,Сингапур,,S7 4408S7 Airlines,Прилетел
33,Совершил посадку в 05:52,Совершил посадку в 05:52,,S7 4408S7 Airlines,Прилетел
34,06:10,Екатеринбург,,WZ 422Red Wings,Прилетел
35,Совершил посадку в 05:51,Совершил посадку в 05:51,,WZ 422Red Wings,Прилетел
36,06:15,Нижний Новгород,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
37,Совершил посадку в 05:52,Совершил посадку в 05:52,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
38,06:20,Самара,,"S7 1080, B2 180, EY 8652, KC 1438S7 Airlines, Белавиа, Etihad Airways, Air Astana",Прилетел
39,Совершил посадку в 06:00,Совершил посадку в 06:00,,"S7 1080, B2 180, EY 8652, KC 1438S7 Airlines, Белавиа, Etihad Airways, Air Astana",Прилетел
40,06:35,Казань,,"KC 1440, LY 8968Air Astana, El Al",Прилетел
41,Совершил посадку в 06:10,Совершил посадку в 06:10,,"KC 1440, LY 8968Air Astana, El Al",Прилетел
