,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05 16 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 4
1,Совершил посадку в 23:51 15 апр,Совершил посадку в 23:51 15 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 4
2,00:15 16 апр,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
3,Совершил посадку в 23:50 15 апр,Совершил посадку в 23:50 15 апр,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
4,00:15 16 апр,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:50 15 апр,Совершил посадку в 23:50 15 апр,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
6,00:20 16 апр,Дар-эс-Салам,,N4 888Nordwind,D,ПрилетелВыдача багажа: лента 8-9
7,Совершил посадку в 23:47 15 апр,Совершил посадку в 23:47 15 апр,,N4 888Nordwind,D,ПрилетелВыдача багажа: лента 8-9
8,00:20 16 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
9,Совершил посадку в 23:55 15 апр,Совершил посадку в 23:55 15 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
10,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 00:04,Совершил посадку в 00:04,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
12,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
13,Совершил посадку в 00:04,Совершил посадку в 00:04,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
14,00:55,Анталья,,SU 2147Аэрофлот,D,Нет актуальной информации о статусе
15,,,,SU 2147Аэрофлот,D,Нет актуальной информации о статусе
16,01:30,Амстердам,,KL 905KLM,D,ПрилетелВыдача багажа: лента 9
17,Совершил посадку в 01:32,Совершил посадку в 01:32,,KL 905KLM,D,ПрилетелВыдача багажа: лента 9
18,01:50,Сочи,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 02:59,Совершил посадку в 02:59,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 1
20,04:05,Стамбул,,SU 2139Аэрофлот,D,Нет актуальной информации о статусе
21,,,,SU 2139Аэрофлот,D,Нет актуальной информации о статусе
22,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
23,Совершил посадку в 04:11,Совершил посадку в 04:11,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
24,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 4
25,Совершил посадку в 04:22,Совершил посадку в 04:22,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 4
26,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
27,Совершил посадку в 04:56,Совершил посадку в 04:56,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
28,05:20,Архангельск,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
29,Совершил посадку в 04:59,Совершил посадку в 04:59,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
30,05:25,Магнитогорск,,N4 340Nordwind,D,ПрилетелВыдача багажа: лента 3
31,Совершил посадку в 05:03,Совершил посадку в 05:03,,N4 340Nordwind,D,ПрилетелВыдача багажа: лента 3
32,05:25,Магнитогорск,,EO 340Pegas Fly,D,ПрилетелВыдача багажа: лента 3
33,Совершил посадку в 05:03,Совершил посадку в 05:03,,EO 340Pegas Fly,D,ПрилетелВыдача багажа: лента 3
34,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 4
35,Совершил посадку в 05:28,Совершил посадку в 05:28,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 4
36,05:50,Уфа,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
37,Совершил посадку в 05:39,Совершил посадку в 05:39,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
38,05:55,Кишинёв,,SU 1845Аэрофлот,D,ПрилетелВыдача багажа: лента 6
39,Совершил посадку в 05:33,Совершил посадку в 05:33,,SU 1845Аэрофлот,D,ПрилетелВыдача багажа: лента 6
40,06:00,Сочи,,ФВ 5508Россия,D,ПрилетелВыдача багажа: лента 1
41,Совершил посадку в 05:36,Совершил посадку в 05:36,,ФВ 5508Россия,D,ПрилетелВыдача багажа: лента 1
42,06:00,Стамбул,,SU 2135Аэрофлот,D,Нет актуальной информации о статусе
43,,,,SU 2135Аэрофлот,D,Нет актуальной информации о статусе
44,06:05,Калининград,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 4
45,Совершил посадку в 05:31,Совершил посадку в 05:31,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 4
46,06:05,Челябинск,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
47,Совершил посадку в 05:49,Совершил посадку в 05:49,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
48,06:05,Оренбург,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 3
49,Совершил посадку в 05:54,Совершил посадку в 05:54,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 3
50,06:10,Новосибирск,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 2
51,Совершил посадку в 05:47,Совершил посадку в 05:47,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 2
52,06:15,Нижний Новгород,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 1
53,Совершил посадку в 05:56,Совершил посадку в 05:56,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 1
54,06:15,Сургут,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
55,Совершил посадку в 06:12,Совершил посадку в 06:12,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
56,06:15,Сургут,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
57,Совершил посадку в 06:12,Совершил посадку в 06:12,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
58,06:20,Тюмень,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
59,Совершил посадку в 05:56,Совершил посадку в 05:56,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
60,06:25,Санкт-Петербург,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 4
61,Совершил посадку в 06:09,Совершил посадку в 06:09,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 4
62,06:30,Омск,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
63,Совершил посадку в 06:05,Совершил посадку в 06:05,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
64,06:30,Омск,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 2
65,Совершил посадку в 06:05,Совершил посадку в 06:05,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 2
66,06:30,Магнитогорск,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
67,Совершил посадку в 06:15,Совершил посадку в 06:15,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
68,06:35,Майами,,SU 111Аэрофлот,D,ПрилетелВыдача багажа: лента 8
69,Совершил посадку в 07:08,Совершил посадку в 07:08,,SU 111Аэрофлот,D,ПрилетелВыдача багажа: лента 8
70,06:40,Иркутск,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 5
71,Совершил посадку в 06:35,Совершил посадку в 06:35,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 5
72,06:40,Пермь,,SU 1219Аэрофлот,B,
73,Отменен,Отменен,,SU 1219Аэрофлот,B,
74,06:45,Нижнекамск,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
75,Совершил посадку в 06:28,Совершил посадку в 06:28,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
76,07:00,Оренбург,,"EO 730, N4 730Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
77,Совершил посадку в 06:32,Совершил посадку в 06:32,,"EO 730, N4 730Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
78,07:05,Нур-Султан (Астана),,SU 1957Аэрофлот,D,ПрилетелВыдача багажа: лента 7
79,Совершил посадку в 06:44,Совершил посадку в 06:44,,SU 1957Аэрофлот,D,ПрилетелВыдача багажа: лента 7
80,07:05,Ташкент,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 6
81,Совершил посадку в 06:49,Совершил посадку в 06:49,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 6
82,07:10,Нижневартовск,,SU 1647Аэрофлот,B,ПрилетелВыдача багажа: лента 6
