,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,22:30 1 июля,Сочи,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 4
1,Совершил посадку в 01:30 2 июля,Совершил посадку в 01:30 2 июля,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 4
2,22:50 1 июля,Дакка,,SU 7197Аэрофлот,D,
3,Отменен,Отменен,,SU 7197Аэрофлот,D,
4,23:00 1 июля,Сочи,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
5,Совершил посадку в 05:06 2 июля,Совершил посадку в 05:06 2 июля,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
6,23:55 1 июля,Пафос,,FV 5716Россия,D,ПрилетелВыдача багажа: лента 8-9
7,Совершил посадку в 00:18 2 июля,Совершил посадку в 00:18 2 июля,,FV 5716Россия,D,ПрилетелВыдача багажа: лента 8-9
8,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
9,Совершил посадку в 23:33 1 июля,Совершил посадку в 23:33 1 июля,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
10,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
11,Совершил посадку в 23:37 1 июля,Совершил посадку в 23:37 1 июля,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
12,00:05,Мурманск,,SU 1317Аэрофлот,B,
13,Отменен,Отменен,,SU 1317Аэрофлот,B,
14,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 6
15,Совершил посадку в 00:24,Совершил посадку в 00:24,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 6
16,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 1
17,Совершил посадку в 23:35 1 июля,Совершил посадку в 23:35 1 июля,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 1
18,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 2
