,Время,Направление,Unnamed: 2,Рейс,Статус
0,23:15 3 июля,Краснодар,,5N 282Smartavia,Прилетел
1,Совершил посадку в 02:57 4 июля,Совершил посадку в 02:57 4 июля,,5N 282Smartavia,Прилетел
2,23:25 3 июля,Анапа,,U6 1394Уральские авиалинии,Прилетел
3,Совершил посадку в 01:08 4 июля,Совершил посадку в 01:08 4 июля,,U6 1394Уральские авиалинии,Прилетел
4,23:30 3 июля,Воронеж,,"S7 1118, AT 9048, KC 1448, EK 7847S7 Airlines, Royal Air Maroc, Air Astana, Emirates",Прилетел
5,Совершил посадку в 00:22 4 июля,Совершил посадку в 00:22 4 июля,,"S7 1118, AT 9048, KC 1448, EK 7847S7 Airlines, Royal Air Maroc, Air Astana, Emirates",Прилетел
6,23:40 3 июля,Ростов-на-Дону,,"S7 2126, AT 9024S7 Airlines, Royal Air Maroc",Прилетел
7,Совершил посадку в 00:11 4 июля,Совершил посадку в 00:11 4 июля,,"S7 2126, AT 9024S7 Airlines, Royal Air Maroc",Прилетел
8,23:40 3 июля,Симферополь,,U6 2842Уральские авиалинии,Прилетел
9,Совершил посадку в 02:02 4 июля,Совершил посадку в 02:02 4 июля,,U6 2842Уральские авиалинии,Прилетел
10,23:45 3 июля,Калининград,,U6 74Уральские авиалинии,Прилетел
11,Совершил посадку в 00:10 4 июля,Совершил посадку в 00:10 4 июля,,U6 74Уральские авиалинии,Прилетел
12,23:50 3 июля,Санкт-Петербург,,"S7 1020, EK 7816, A3 3522, AT 9010S7 Airlines, Emirates, Aegean Airlines, Royal Air Maroc",Прилетел
13,Совершил посадку в 00:18 4 июля,Совершил посадку в 00:18 4 июля,,"S7 1020, EK 7816, A3 3522, AT 9010S7 Airlines, Emirates, Aegean Airlines, Royal Air Maroc",Прилетел
14,00:20,Анапа,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
15,Совершил посадку в 00:18,Совершил посадку в 00:18,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
16,00:20,Краснодар,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
17,Совершил посадку в 01:09,Совершил посадку в 01:09,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
18,00:35,Калининград,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
19,Совершил посадку в 00:21,Совершил посадку в 00:21,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
20,00:35,Тиват,,YM 612Montenegro Airlines,Нет актуальной информации о статусе
21,,,,YM 612Montenegro Airlines,Нет актуальной информации о статусе
22,01:05,Анапа,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
23,Совершил посадку в 00:56,Совершил посадку в 00:56,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
24,01:40,Карши,,RL 2604Royal Flight,Прилетел
25,Совершил посадку в 02:20,Совершил посадку в 02:20,,RL 2604Royal Flight,Прилетел
26,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
