,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,23:45 24 мая,Нижний Новгород,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 00:14 25 мая,Совершил посадку в 00:14 25 мая,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
2,00:05,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 3
3,Совершил посадку в 23:31 24 мая,Совершил посадку в 23:31 24 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 3
4,00:05,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
5,Совершил посадку в 23:31 24 мая,Совершил посадку в 23:31 24 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
6,00:15,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:40 24 мая,Совершил посадку в 23:40 24 мая,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
8,00:15,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 23:40 24 мая,Совершил посадку в 23:40 24 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
10,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 23:52 24 мая,Совершил посадку в 23:52 24 мая,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
12,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 3
13,Совершил посадку в 23:57 24 мая,Совершил посадку в 23:57 24 мая,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 3
14,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 3
15,Совершил посадку в 23:57 24 мая,Совершил посадку в 23:57 24 мая,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 3
16,00:55,Оренбург,,"EO 530, N4 530Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
17,Совершил посадку в 00:37,Совершил посадку в 00:37,,"EO 530, N4 530Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
18,00:55,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 02:37,Совершил посадку в 02:37,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 1
20,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 1
21,Совершил посадку в 02:37,Совершил посадку в 02:37,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 1
22,00:55,Сочи,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 1
23,Совершил посадку в 02:37,Совершил посадку в 02:37,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 1
24,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
25,Совершил посадку в 04:08,Совершил посадку в 04:08,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
26,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 2
