,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,20:00 30 июня,Минеральные Воды,,N4 164Nordwind,D,ПрилетелВыдача багажа: лента 3
1,Совершил посадку в 02:10 1 июля,Совершил посадку в 02:10 1 июля,,N4 164Nordwind,D,ПрилетелВыдача багажа: лента 3
2,21:15 30 июня,Геленджик,,SU 1149Аэрофлот,B,ПрилетелВыдача багажа: лента 5
3,Совершил посадку в 01:07 1 июля,Совершил посадку в 01:07 1 июля,,SU 1149Аэрофлот,B,ПрилетелВыдача багажа: лента 5
4,23:00 30 июня,Симферополь,,SU 1661Аэрофлот,B,ПрилетелВыдача багажа: лента 4
5,Совершил посадку в 00:20 1 июля,Совершил посадку в 00:20 1 июля,,SU 1661Аэрофлот,B,ПрилетелВыдача багажа: лента 4
6,23:25 30 июня,Анапа,,FV 5516Россия,D,ПрилетелВыдача багажа: лента 4
7,Совершил посадку в 00:45 1 июля,Совершил посадку в 00:45 1 июля,,FV 5516Россия,D,ПрилетелВыдача багажа: лента 4
8,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
9,Совершил посадку в 23:45 30 июня,Совершил посадку в 23:45 30 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
10,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
11,Совершил посадку в 23:59 30 июня,Совершил посадку в 23:59 30 июня,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
12,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
13,Совершил посадку в 00:16,Совершил посадку в 00:16,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
14,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 3
15,Совершил посадку в 00:11,Совершил посадку в 00:11,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 3
16,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 2
17,Совершил посадку в 00:22,Совершил посадку в 00:22,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 2
18,00:10,Сочи,,FV 5608Россия,D,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 08:39,Совершил посадку в 08:39,,FV 5608Россия,D,ПрилетелВыдача багажа: лента 1
20,00:15,Сочи,,DP 6946Победа,D,ПрилетелВыдача багажа: лента 2
21,Совершил посадку в 00:34,Совершил посадку в 00:34,,DP 6946Победа,D,ПрилетелВыдача багажа: лента 2
22,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 6
23,Совершил посадку в 00:39,Совершил посадку в 00:39,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 6
24,00:20,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
25,Совершил посадку в 23:37 30 июня,Совершил посадку в 23:37 30 июня,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
26,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
27,Совершил посадку в 23:47 30 июня,Совершил посадку в 23:47 30 июня,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
28,00:25,Санкт-Петербург,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 1
29,Совершил посадку в 00:00,Совершил посадку в 00:00,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 1
30,00:25,Салоники,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
31,Совершил посадку в 00:06,Совершил посадку в 00:06,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
32,00:35,Анталья,,ZF 9010Azur Air,D,
33,Отменен,Отменен,,ZF 9010Azur Air,D,
34,00:40,Сочи,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 1
35,Совершил посадку в 00:22,Совершил посадку в 00:22,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 1
36,00:50,Самарканд,,SU 7109Аэрофлот,D,ПрилетелВыдача багажа: лента 6
37,Совершил посадку в 00:18,Совершил посадку в 00:18,,SU 7109Аэрофлот,D,ПрилетелВыдача багажа: лента 6
38,00:50,Сочи,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 4
39,Совершил посадку в 00:53,Совершил посадку в 00:53,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 4
40,01:10,Санкт-Петербург,,"SU 45, AZ 5561, JU 7032Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
41,Совершил посадку в 00:58,Совершил посадку в 00:58,,"SU 45, AZ 5561, JU 7032Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 2
42,01:20,Екатеринбург,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
43,Совершил посадку в 01:02,Совершил посадку в 01:02,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
44,01:30,Амстердам,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 6
45,Совершил посадку в 01:23,Совершил посадку в 01:23,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 6
46,01:30,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
47,Совершил посадку в 01:42,Совершил посадку в 01:42,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
48,01:55,Минеральные Воды,,EO 164Pegas Fly,D,ПрилетелВыдача багажа: лента 3
49,Совершил посадку в 02:10,Совершил посадку в 02:10,,EO 164Pegas Fly,D,ПрилетелВыдача багажа: лента 3
50,02:25,Симферополь,,FV 5514Россия,D,ПрилетелВыдача багажа: лента 1
51,Совершил посадку в 02:38,Совершил посадку в 02:38,,FV 5514Россия,D,ПрилетелВыдача багажа: лента 1
52,02:40,Симферополь,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
53,Совершил посадку в 02:26,Совершил посадку в 02:26,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
54,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
55,Совершил посадку в 04:17,Совершил посадку в 04:17,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
56,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
57,Совершил посадку в 05:25,Совершил посадку в 05:25,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
58,04:55,Минеральные Воды,,"SU 1315, KL 3243Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 1
59,Совершил посадку в 04:29,Совершил посадку в 04:29,,"SU 1315, KL 3243Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 1
60,05:00,Екатеринбург,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
61,Совершил посадку в 04:32,Совершил посадку в 04:32,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
62,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 5
63,Совершил посадку в 04:41,Совершил посадку в 04:41,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 5
64,05:10,Санкт-Петербург,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 6
65,Совершил посадку в 04:45,Совершил посадку в 04:45,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 6
66,05:10,Мурманск,,"SU 1323, KL 2850Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
67,Совершил посадку в 07:09,Совершил посадку в 07:09,,"SU 1323, KL 2850Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
68,05:15,Краснодар,,"SU 1113, AZ 3941Аэрофлот, Alitalia",B,ПрилетелВыдача багажа: лента 6
69,Совершил посадку в 04:49,Совершил посадку в 04:49,,"SU 1113, AZ 3941Аэрофлот, Alitalia",B,ПрилетелВыдача багажа: лента 6
70,05:15,Краснодар,,KL 2902KLM,B,ПрилетелВыдача багажа: лента 6
71,Совершил посадку в 04:49,Совершил посадку в 04:49,,KL 2902KLM,B,ПрилетелВыдача багажа: лента 6
72,05:15,Анапа,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 5
73,Совершил посадку в 04:52,Совершил посадку в 04:52,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 5
74,05:20,Симферополь,,SU 1587Аэрофлот,B,ПрилетелВыдача багажа: лента 6
