,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:10,Самара,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
1,,,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
2,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 8
3,Совершил посадку в 01:06,Совершил посадку в 01:06,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 8
4,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 9
5,Совершил посадку в 01:23,Совершил посадку в 01:23,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 9
6,02:15,Сочи,,FV 5604Россия,ПрилетелВыдача багажа: лента 10
7,Совершил посадку в 02:15,Совершил посадку в 02:15,,FV 5604Россия,ПрилетелВыдача багажа: лента 10
8,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 7
9,Совершил посадку в 03:06,Совершил посадку в 03:06,,DP 403Победа,ПрилетелВыдача багажа: лента 7
10,03:30,Санкт-Петербург,,U6 224Уральские авиалинии,ПрилетелВыдача багажа: лента 8
11,Совершил посадку в 03:16,Совершил посадку в 03:16,,U6 224Уральские авиалинии,ПрилетелВыдача багажа: лента 8
12,03:50,Москва,,N4 173Nordwind,ПрилетелВыдача багажа: лента 9
13,Совершил посадку в 03:37,Совершил посадку в 03:37,,N4 173Nordwind,ПрилетелВыдача багажа: лента 9
14,04:00,Москва,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 10
15,Совершил посадку в 04:52,Совершил посадку в 04:52,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 10
16,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 7
17,Совершил посадку в 03:57,Совершил посадку в 03:57,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 7
18,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 7
19,Совершил посадку в 03:57,Совершил посадку в 03:57,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 7
20,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 8
21,Совершил посадку в 04:12,Совершил посадку в 04:12,,DP 405Победа,ПрилетелВыдача багажа: лента 8
22,04:35,Москва,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
23,Совершил посадку в 04:31,Совершил посадку в 04:31,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
24,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 10
25,Совершил посадку в 04:27,Совершил посадку в 04:27,,DP 515Победа,ПрилетелВыдача багажа: лента 10
