,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05 30 апр,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 3
1,Совершил посадку в 23:42 29 апр,Совершил посадку в 23:42 29 апр,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 3
2,00:05 30 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
3,Совершил посадку в 23:42 29 апр,Совершил посадку в 23:42 29 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
4,00:15 30 апр,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:47 29 апр,Совершил посадку в 23:47 29 апр,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
6,00:15 30 апр,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:47 29 апр,Совершил посадку в 23:47 29 апр,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
8,00:20 30 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
9,Совершил посадку в 23:58 29 апр,Совершил посадку в 23:58 29 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
10,00:25 30 апр,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 23:55 29 апр,Совершил посадку в 23:55 29 апр,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
12,00:25 30 апр,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
13,Совершил посадку в 23:55 29 апр,Совершил посадку в 23:55 29 апр,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
14,00:35,Анталья,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
15,,,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
16,00:55,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
17,Совершил посадку в 00:18,Совершил посадку в 00:18,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
18,00:55,Сочи,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 2
19,Совершил посадку в 00:44,Совершил посадку в 00:44,,KL 3197KLM,B,ПрилетелВыдача багажа: лента 2
20,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
21,Совершил посадку в 00:44,Совершил посадку в 00:44,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
22,00:55,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 00:44,Совершил посадку в 00:44,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
24,01:15,Варадеро,,RL 574Royal Flight,D,ПрилетелВыдача багажа: лента 6-7
25,Совершил посадку в 06:28,Совершил посадку в 06:28,,RL 574Royal Flight,D,ПрилетелВыдача багажа: лента 6-7
26,01:30,Амстердам,,SU 3206Аэрофлот,D,ПрилетелВыдача багажа: лента 9
27,Совершил посадку в 01:12,Совершил посадку в 01:12,,SU 3206Аэрофлот,D,ПрилетелВыдача багажа: лента 9
28,01:30,Амстердам,,KL 905KLM,D,ПрилетелВыдача багажа: лента 9
29,Совершил посадку в 01:12,Совершил посадку в 01:12,,KL 905KLM,D,ПрилетелВыдача багажа: лента 9
30,01:40,Ташкент,,N4 6702Nordwind,D,Прилетел
31,Совершил посадку в 01:40,Совершил посадку в 01:40,,N4 6702Nordwind,D,Прилетел
32,01:55,Сочи,,FV 5512Россия,D,ПрилетелВыдача багажа: лента 1
33,Совершил посадку в 01:46,Совершил посадку в 01:46,,FV 5512Россия,D,ПрилетелВыдача багажа: лента 1
34,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
35,Совершил посадку в 04:04,Совершил посадку в 04:04,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
36,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 1
37,Совершил посадку в 04:29,Совершил посадку в 04:29,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 1
38,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 1
39,Совершил посадку в 04:29,Совершил посадку в 04:29,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 1
40,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
41,Совершил посадку в 05:23,Совершил посадку в 05:23,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
42,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
43,Совершил посадку в 05:23,Совершил посадку в 05:23,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
44,05:20,Архангельск,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
45,Совершил посадку в 04:55,Совершил посадку в 04:55,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
46,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
47,Совершил посадку в 05:33,Совершил посадку в 05:33,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
48,05:45,Екатеринбург,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
49,Совершил посадку в 05:33,Совершил посадку в 05:33,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
50,05:50,Уфа,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 4
51,Совершил посадку в 05:41,Совершил посадку в 05:41,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 4
52,05:50,Уфа,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 4
53,Совершил посадку в 05:41,Совершил посадку в 05:41,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 4
54,05:55,Кишинёв,,SU 1845Аэрофлот,D,ПрилетелВыдача багажа: лента 8
55,Совершил посадку в 05:39,Совершил посадку в 05:39,,SU 1845Аэрофлот,D,ПрилетелВыдача багажа: лента 8
56,06:05,Калининград,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 5
57,Совершил посадку в 05:26,Совершил посадку в 05:26,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 5
58,06:05,Калининград,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 5
59,Совершил посадку в 05:26,Совершил посадку в 05:26,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 5
60,06:05,Челябинск,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
61,Совершил посадку в 05:48,Совершил посадку в 05:48,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
62,06:05,Оренбург,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 4
63,Совершил посадку в 05:52,Совершил посадку в 05:52,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 4
64,06:05,Оренбург,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 4
65,Совершил посадку в 05:52,Совершил посадку в 05:52,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 4
66,06:10,Новосибирск,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 5
67,Совершил посадку в 05:55,Совершил посадку в 05:55,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 5
68,06:10,Новосибирск,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 5
69,Совершил посадку в 05:55,Совершил посадку в 05:55,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 5
70,06:15,Нижний Новгород,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 6
71,Совершил посадку в 05:43,Совершил посадку в 05:43,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 6
72,06:15,Сургут,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
73,Совершил посадку в 05:57,Совершил посадку в 05:57,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
74,06:15,Сургут,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
75,Совершил посадку в 05:57,Совершил посадку в 05:57,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
76,06:20,Тюмень,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
77,Совершил посадку в 06:02,Совершил посадку в 06:02,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
78,06:20,Сочи,,ФВ 5504Россия,D,ПрилетелВыдача багажа: лента 1
79,Совершил посадку в 07:51,Совершил посадку в 07:51,,ФВ 5504Россия,D,ПрилетелВыдача багажа: лента 1
80,06:25,Санкт-Петербург,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 1
81,Совершил посадку в 06:06,Совершил посадку в 06:06,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 1
82,06:30,Омск,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
83,Совершил посадку в 06:16,Совершил посадку в 06:16,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 2
84,06:30,Омск,,"KL 2947, JU 7012KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
85,Совершил посадку в 06:16,Совершил посадку в 06:16,,"KL 2947, JU 7012KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
86,06:30,Магнитогорск,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
