,Время,Направление,Unnamed: 2,Рейс,Статус
0,20:40 1 июля,Калининград,,U6 168Уральские авиалинии,Прилетел
1,Совершил посадку в 01:01 2 июля,Совершил посадку в 01:01 2 июля,,U6 168Уральские авиалинии,Прилетел
2,20:50 1 июля,Анапа,,U6 158Уральские авиалинии,Прилетел
3,Совершил посадку в 00:22 2 июля,Совершил посадку в 00:22 2 июля,,U6 158Уральские авиалинии,Прилетел
4,21:30 1 июля,Сочи,,U6 172Уральские авиалинии,Прилетел
5,Совершил посадку в 00:06 2 июля,Совершил посадку в 00:06 2 июля,,U6 172Уральские авиалинии,Прилетел
6,22:25 1 июля,Душанбе,,SZ 8233Сомон Эйр,Прилетел
7,Совершил посадку в 00:33 2 июля,Совершил посадку в 00:33 2 июля,,SZ 8233Сомон Эйр,Прилетел
8,22:35 1 июля,Сочи,,U6 278Уральские авиалинии,Прилетел
9,Совершил посадку в 02:42 2 июля,Совершил посадку в 02:42 2 июля,,U6 278Уральские авиалинии,Прилетел
10,23:40 1 июля,Ростов-на-Дону,,"S7 2126, AT 9024S7 Airlines, Royal Air Maroc",Прилетел
11,Совершил посадку в 00:12 2 июля,Совершил посадку в 00:12 2 июля,,"S7 2126, AT 9024S7 Airlines, Royal Air Maroc",Прилетел
12,23:40 1 июля,Симферополь,,U6 2842Уральские авиалинии,Прилетел
13,Совершил посадку в 00:41 2 июля,Совершил посадку в 00:41 2 июля,,U6 2842Уральские авиалинии,Прилетел
14,23:45 1 июля,Калининград,,U6 74Уральские авиалинии,Прилетел
15,Совершил посадку в 01:08 2 июля,Совершил посадку в 01:08 2 июля,,U6 74Уральские авиалинии,Прилетел
16,23:50 1 июля,Уфа,,6R 9822Алроса,Прилетел
17,Совершил посадку в 00:01 2 июля,Совершил посадку в 00:01 2 июля,,6R 9822Алроса,Прилетел
18,00:05,Ростов-на-Дону,,5N 1272Smartavia,Прилетел
19,Совершил посадку в 00:11,Совершил посадку в 00:11,,5N 1272Smartavia,Прилетел
20,00:15,Липецк,,U6 9662Уральские авиалинии,Прилетел
21,Совершил посадку в 03:22,Совершил посадку в 03:22,,U6 9662Уральские авиалинии,Прилетел
22,00:20,Краснодар,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
23,Совершил посадку в 00:09,Совершил посадку в 00:09,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
24,00:20,Анапа,,"S7 2108, EK 7912, KC 1508S7 Airlines, Emirates, Air Astana",Прилетел
25,Совершил посадку в 00:22,Совершил посадку в 00:22,,"S7 2108, EK 7912, KC 1508S7 Airlines, Emirates, Air Astana",Прилетел
26,00:30,Анталья,,ZF 8878Azur Air,Нет актуальной информации о статусе
27,,,,ZF 8878Azur Air,Нет актуальной информации о статусе
28,00:30,Анталья,,YC 9302Ямал,Прилетел
29,Совершил посадку в 00:35,Совершил посадку в 00:35,,YC 9302Ямал,Прилетел
30,00:35,Тиват,,YM 612Montenegro Airlines,Нет актуальной информации о статусе
31,,,,YM 612Montenegro Airlines,Нет актуальной информации о статусе
32,00:40,Калининград,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
33,Совершил посадку в 01:17,Совершил посадку в 01:17,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
34,01:05,Анапа,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
35,Совершил посадку в 01:00,Совершил посадку в 01:00,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
36,01:15,Вена,,OS 605Austrian,Прилетел
37,Совершил посадку в 01:25,Совершил посадку в 01:25,,OS 605Austrian,Прилетел
38,01:50,Сочи,,"S7 2050, AT 9004, KC 1560, LY 8874S7 Airlines, Royal Air Maroc, Air Astana, El Al",Прилетел
39,Совершил посадку в 01:31,Совершил посадку в 01:31,,"S7 2050, AT 9004, KC 1560, LY 8874S7 Airlines, Royal Air Maroc, Air Astana, El Al",Прилетел
40,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
41,Совершил посадку в 01:43,Совершил посадку в 01:43,,S7 2014S7 Airlines,Прилетел
42,01:50,Анталья,,PC 1580Pegasus,Прилетел
43,Совершил посадку в 01:58,Совершил посадку в 01:58,,PC 1580Pegasus,Прилетел
44,01:55,Симферополь,,U6 48Уральские авиалинии,Прилетел
45,Совершил посадку в 01:53,Совершил посадку в 01:53,,U6 48Уральские авиалинии,Прилетел
46,02:00,Карши,,IO 7704ИрАэро,
47,Отменен,Отменен,,IO 7704ИрАэро,
48,02:50,Афины,,"A3 882, S7 4314Aegean Airlines, S7 Airlines",Прилетел
49,Совершил посадку в 02:57,Совершил посадку в 02:57,,"A3 882, S7 4314Aegean Airlines, S7 Airlines",Прилетел
50,03:10,Краснодар,,U6 112Уральские авиалинии,Прилетел
51,Совершил посадку в 07:11,Совершил посадку в 07:11,,U6 112Уральские авиалинии,Прилетел
52,05:30,Уфа,,"S7 1132, EK 7864, SQ 1924, LY 8914, EY 8728, AT 9022S7 Airlines, Emirates, Singapore Airlines, El Al, Etihad Airways, Royal Air Maroc",Прилетел
53,Совершил посадку в 05:08,Совершил посадку в 05:08,,"S7 1132, EK 7864, SQ 1924, LY 8914, EY 8728, AT 9022S7 Airlines, Emirates, Singapore Airlines, El Al, Etihad Airways, Royal Air Maroc",Прилетел
54,06:00,Ош,,U6 2910Уральские авиалинии,
55,Отменен,Отменен,,U6 2910Уральские авиалинии,
56,06:00,Ош,,U6 8910Уральские авиалинии,Прилетел
57,Совершил посадку в 06:41,Совершил посадку в 06:41,,U6 8910Уральские авиалинии,Прилетел
58,06:15,Нижний Новгород,,"S7 1100, AT 9030, EY 8630, A3 3556S7 Airlines, Royal Air Maroc, Etihad Airways, Aegean Airlines",Прилетел
59,Совершил посадку в 06:03,Совершил посадку в 06:03,,"S7 1100, AT 9030, EY 8630, A3 3556S7 Airlines, Royal Air Maroc, Etihad Airways, Aegean Airlines",Прилетел
60,06:20,Симферополь,,"U6 8, 5N 260, WZ 5260Уральские авиалинии, Smartavia, Red Wings",Прилетел
61,Совершил посадку в 06:03,Совершил посадку в 06:03,,"U6 8, 5N 260, WZ 5260Уральские авиалинии, Smartavia, Red Wings",Прилетел
62,06:20,Самара,,"S7 1080, B2 180, KC 1438, EY 8652, A3 3540, AT 9014, LY 8930S7 Airlines, Белавиа, Air Astana, Etihad Airways, Aegean Airlines, Royal Air Maroc, El Al",Прилетел
63,Совершил посадку в 06:09,Совершил посадку в 06:09,,"S7 1080, B2 180, KC 1438, EY 8652, A3 3540, AT 9014, LY 8930S7 Airlines, Белавиа, Air Astana, Etihad Airways, Aegean Airlines, Royal Air Maroc, El Al",Прилетел
64,06:25,Новосибирск,,6R 543Алроса,Прилетел
65,Совершил посадку в 06:00,Совершил посадку в 06:00,,6R 543Алроса,Прилетел
66,06:35,Казань,,"S7 1060, LY 8968, B2 160, EY 8657, AT 9046, A3 3512, KC 1440S7 Airlines, El Al, Белавиа, Etihad Airways, Royal Air Maroc, Aegean Airlines, Air Astana",Прилетел
67,Совершил посадку в 06:11,Совершил посадку в 06:11,,"S7 1060, LY 8968, B2 160, EY 8657, AT 9046, A3 3512, KC 1440S7 Airlines, El Al, Белавиа, Etihad Airways, Royal Air Maroc, Aegean Airlines, Air Astana",Прилетел
68,06:40,Ульяновск,,"S7 1184, EK 7894S7 Airlines, Emirates",Прилетел
69,Совершил посадку в 06:22,Совершил посадку в 06:22,,"S7 1184, EK 7894S7 Airlines, Emirates",Прилетел
70,06:45,Новосибирск,,"S7 2502, EY 8693, B2 152, AT 9006, LY 8978S7 Airlines, Etihad Airways, Белавиа, Royal Air Maroc, El Al",Прилетел
71,Совершил посадку в 06:16,Совершил посадку в 06:16,,"S7 2502, EY 8693, B2 152, AT 9006, LY 8978S7 Airlines, Etihad Airways, Белавиа, Royal Air Maroc, El Al",Прилетел
72,06:45,Екатеринбург,,"S7 1172, EK 7862, SQ 1914, EY 8721, A3 3513, B2 172, AT 9040, LY 8942S7 Airlines, Emirates, Singapore Airlines, Etihad Airways, Aegean Airlines, Белавиа, Royal Air Maroc, El Al",Прилетел
73,Совершил посадку в 06:44,Совершил посадку в 06:44,,"S7 1172, EK 7862, SQ 1914, EY 8721, A3 3513, B2 172, AT 9040, LY 8942S7 Airlines, Emirates, Singapore Airlines, Etihad Airways, Aegean Airlines, Белавиа, Royal Air Maroc, El Al",Прилетел
74,06:50,Пенза,,S7 1194S7 Airlines,Прилетел
75,Совершил посадку в 06:35,Совершил посадку в 06:35,,S7 1194S7 Airlines,Прилетел
76,06:50,Санкт-Петербург,,"S7 1026, AT 9018, EY 8664S7 Airlines, Royal Air Maroc, Etihad Airways",Прилетел
77,Совершил посадку в 06:40,Совершил посадку в 06:40,,"S7 1026, AT 9018, EY 8664S7 Airlines, Royal Air Maroc, Etihad Airways",Прилетел
78,06:55,Барнаул,,WZ 440Red Wings,Прилетел
79,Совершил посадку в 06:34,Совершил посадку в 06:34,,WZ 440Red Wings,Прилетел
80,07:00,Екатеринбург,,"U6 264, B2 464Уральские авиалинии, Белавиа",Нет актуальной информации о статусе
81,,,,"U6 264, B2 464Уральские авиалинии, Белавиа",Нет актуальной информации о статусе
82,07:00,Мурманск,,"S7 1228, EK 7882, KC 1458, EY 8672S7 Airlines, Emirates, Air Astana, Etihad Airways",Прилетел
83,Совершил посадку в 07:16,Совершил посадку в 07:16,,"S7 1228, EK 7882, KC 1458, EY 8672S7 Airlines, Emirates, Air Astana, Etihad Airways",Прилетел
84,07:05,Омск,,"U6 388, B2 488Уральские авиалинии, Белавиа",Прилетел
85,Совершил посадку в 10:12,Совершил посадку в 10:12,,"U6 388, B2 488Уральские авиалинии, Белавиа",Прилетел
86,07:10,Челябинск,,"U6 609, B2 409Уральские авиалинии, Белавиа",Прилетел
87,Совершил посадку в 07:10,Совершил посадку в 07:10,,"U6 609, B2 409Уральские авиалинии, Белавиа",Прилетел
88,07:15,Волгоград,,"S7 2146, EY 8734S7 Airlines, Etihad Airways",Прилетел
89,Совершил посадку в 07:03,Совершил посадку в 07:03,,"S7 2146, EY 8734S7 Airlines, Etihad Airways",Прилетел
90,07:15,Волгоград,,B2 146Белавиа,Прилетел
91,Совершил посадку в 07:03,Совершил посадку в 07:03,,B2 146Белавиа,Прилетел
92,07:20,Краснодар,,"S7 2080, KC 1468, LY 8900, EY 8647, AT 9036S7 Airlines, Air Astana, El Al, Etihad Airways, Royal Air Maroc",Прилетел
93,Совершил посадку в 06:50,Совершил посадку в 06:50,,"S7 2080, KC 1468, LY 8900, EY 8647, AT 9036S7 Airlines, Air Astana, El Al, Etihad Airways, Royal Air Maroc",Прилетел
94,07:20,Новокузнецк,,QR 5731Qatar Airways,Прилетел
95,Совершил посадку в 07:03,Совершил посадку в 07:03,,QR 5731Qatar Airways,Прилетел
