,Время,Направление,Unnamed: 2,Рейс,Статус
0,01:05 2 июля,Анталья,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 02:18 3 июля,Совершил посадку в 02:18 3 июля,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 2
2,20:25 2 июля,Новосибирск,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 10
3,Совершил посадку в 04:08 3 июля,Совершил посадку в 04:08 3 июля,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 10
4,22:25 2 июля,Краснодар,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 7
5,Совершил посадку в 02:02 3 июля,Совершил посадку в 02:02 3 июля,,U6 210Уральские авиалинии,ПрилетелВыдача багажа: лента 7
6,22:40 2 июля,Омск,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
7,Совершил посадку в 00:33 3 июля,Совершил посадку в 00:33 3 июля,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
8,23:00 2 июля,Нижний Новгород,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 10
9,Совершил посадку в 00:29 3 июля,Совершил посадку в 00:29 3 июля,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 10
10,00:00,Сочи,,ZF 8408Azur Air,ПрилетелВыдача багажа: лента 9
11,Совершил посадку в 00:04,Совершил посадку в 00:04,,ZF 8408Azur Air,ПрилетелВыдача багажа: лента 9
12,00:10,Махачкала,,WZ 1046Red Wings,ПрилетелВыдача багажа: лента 8
13,Совершил посадку в 00:15,Совершил посадку в 00:15,,WZ 1046Red Wings,ПрилетелВыдача багажа: лента 8
14,00:15,Сочи,,SU 2872Аэрофлот,ПрилетелВыдача багажа: лента 9
15,Совершил посадку в 00:01,Совершил посадку в 00:01,,SU 2872Аэрофлот,ПрилетелВыдача багажа: лента 9
16,00:35,Москва,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
17,Совершил посадку в 00:41,Совершил посадку в 00:41,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
18,00:55,Самара,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
19,,,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
20,01:05,Анталья,,ZF 9696Azur Air,Прилетел
21,Совершил посадку в 22:40,Совершил посадку в 22:40,,ZF 9696Azur Air,Прилетел
22,01:25,Анталья,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 01:24,Совершил посадку в 01:24,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
24,01:55,Москва,,"SU 1406, KL 3214Аэрофлот, KLM",ПрилетелВыдача багажа: лента 8
25,Совершил посадку в 01:40,Совершил посадку в 01:40,,"SU 1406, KL 3214Аэрофлот, KLM",ПрилетелВыдача багажа: лента 8
26,01:55,Сочи,,ZF 348Azur Air,ПрилетелВыдача багажа: лента 9
27,Совершил посадку в 02:40,Совершил посадку в 02:40,,ZF 348Azur Air,ПрилетелВыдача багажа: лента 9
28,02:10,Даламан,,N4 9002Nordwind,ПрилетелВыдача багажа: лента 1
29,Совершил посадку в 01:38,Совершил посадку в 01:38,,N4 9002Nordwind,ПрилетелВыдача багажа: лента 1
30,02:15,Москва,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
