,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 23:48 6 июня,Совершил посадку в 23:48 6 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 1
2,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 23:50 6 июня,Совершил посадку в 23:50 6 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
4,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
5,Совершил посадку в 00:03,Совершил посадку в 00:03,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
6,00:20,Челябинск,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:44 6 июня,Совершил посадку в 23:44 6 июня,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 2
8,00:25,Санкт-Петербург,,AZ 4361Alitalia,B,ПрилетелВыдача багажа: лента 5
9,Совершил посадку в 23:58 6 июня,Совершил посадку в 23:58 6 июня,,AZ 4361Alitalia,B,ПрилетелВыдача багажа: лента 5
10,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 5
11,Совершил посадку в 23:58 6 июня,Совершил посадку в 23:58 6 июня,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 5
12,00:25,Санкт-Петербург,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 5
13,Совершил посадку в 23:58 6 июня,Совершил посадку в 23:58 6 июня,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 5
14,00:25,Сплит,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 6
15,Совершил посадку в 00:08,Совершил посадку в 00:08,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 6
16,00:35,Оренбург,,N4 530Nordwind,D,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 00:27,Совершил посадку в 00:27,,N4 530Nordwind,D,ПрилетелВыдача багажа: лента 4
18,00:40,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 6
19,Совершил посадку в 00:00,Совершил посадку в 00:00,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 6
20,00:40,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 6
21,Совершил посадку в 00:00,Совершил посадку в 00:00,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 6
22,00:45,Ларнака,,FV 5702Россия,D,ПрилетелВыдача багажа: лента 6-7
23,Совершил посадку в 03:49,Совершил посадку в 03:49,,FV 5702Россия,D,ПрилетелВыдача багажа: лента 6-7
24,00:50,Симферополь,,"EO 534, N4 534Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
25,Совершил посадку в 00:33,Совершил посадку в 00:33,,"EO 534, N4 534Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
26,00:50,Сочи,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
27,Совершил посадку в 00:36,Совершил посадку в 00:36,,AZ 5552Alitalia,B,ПрилетелВыдача багажа: лента 2
28,00:50,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
