,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,18:15 15 мая,Аликанте,,SU 2523Аэрофлот,D,
1,Отменен,Отменен,,SU 2523Аэрофлот,D,
2,00:05 16 мая,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 23:48 15 мая,Совершил посадку в 23:48 15 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 4
4,00:05 16 мая,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 4
5,Совершил посадку в 23:48 15 мая,Совершил посадку в 23:48 15 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 4
6,00:10 16 мая,Белград,,SU 2097Аэрофлот,D,ПрилетелВыдача багажа: лента 8
7,Совершил посадку в 23:57 15 мая,Совершил посадку в 23:57 15 мая,,SU 2097Аэрофлот,D,ПрилетелВыдача багажа: лента 8
8,00:10 16 мая,Белград,,JU 7075Air Serbia,D,ПрилетелВыдача багажа: лента 8
9,Совершил посадку в 23:57 15 мая,Совершил посадку в 23:57 15 мая,,JU 7075Air Serbia,D,ПрилетелВыдача багажа: лента 8
10,00:15 16 мая,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 3
11,Совершил посадку в 23:36 15 мая,Совершил посадку в 23:36 15 мая,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 3
12,00:15 16 мая,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 3
13,Совершил посадку в 23:36 15 мая,Совершил посадку в 23:36 15 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 3
14,00:20 16 мая,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
15,Совершил посадку в 23:44 15 мая,Совершил посадку в 23:44 15 мая,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
16,00:25,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
17,Совершил посадку в 00:12,Совершил посадку в 00:12,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 1
