,Время,Направление,Unnamed: 2,Рейс,Статус
0,21:05 26 мая,Бохтар,,N4 2018Nordwind,
1,Отменен,Отменен,,N4 2018Nordwind,
2,00:05,Франкфурт-на-Майне,,OM 1372Mongolian Airlines,Нет актуальной информации о статусе
3,,,,OM 1372Mongolian Airlines,Нет актуальной информации о статусе
4,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
5,Совершил посадку в 01:10,Совершил посадку в 01:10,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 9
6,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
7,Совершил посадку в 10:51,Совершил посадку в 10:51,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
8,01:00,Ларнака,,ZF 9674Azur Air,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 00:50,Совершил посадку в 00:50,,ZF 9674Azur Air,ПрилетелВыдача багажа: лента 2
10,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 7
11,Совершил посадку в 01:30,Совершил посадку в 01:30,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 7
12,02:15,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
13,Совершил посадку в 02:12,Совершил посадку в 02:12,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
14,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 9
15,Совершил посадку в 03:16,Совершил посадку в 03:16,,DP 403Победа,ПрилетелВыдача багажа: лента 9
16,03:50,Москва,,N4 173Nordwind,ПрилетелВыдача багажа: лента 10
17,Совершил посадку в 03:56,Совершил посадку в 03:56,,N4 173Nordwind,ПрилетелВыдача багажа: лента 10
18,04:00,Москва,,U6 271Уральские авиалинии,
19,Отменен,Отменен,,U6 271Уральские авиалинии,
20,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 7
21,Совершил посадку в 03:53,Совершил посадку в 03:53,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 7
22,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 7
23,Совершил посадку в 03:53,Совершил посадку в 03:53,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 7
24,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 8
25,Совершил посадку в 04:04,Совершил посадку в 04:04,,DP 405Победа,ПрилетелВыдача багажа: лента 8
26,04:35,Москва,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
27,Совершил посадку в 04:11,Совершил посадку в 04:11,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 9
28,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 10
29,Совершил посадку в 04:48,Совершил посадку в 04:48,,DP 515Победа,ПрилетелВыдача багажа: лента 10
30,04:50,Симферополь,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 7
31,Совершил посадку в 04:34,Совершил посадку в 04:34,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 7
32,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
33,Совершил посадку в 04:38,Совершил посадку в 04:38,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
34,05:05,Сочи,,N4 142Nordwind,ПрилетелВыдача багажа: лента 9
35,Совершил посадку в 05:05,Совершил посадку в 05:05,,N4 142Nordwind,ПрилетелВыдача багажа: лента 9
36,05:05,Сочи,,EO 142Pegas Fly,ПрилетелВыдача багажа: лента 9
37,Совершил посадку в 05:05,Совершил посадку в 05:05,,EO 142Pegas Fly,ПрилетелВыдача багажа: лента 9
38,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 10
39,Совершил посадку в 05:23,Совершил посадку в 05:23,,DP 339Победа,ПрилетелВыдача багажа: лента 10
40,05:20,Москва,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
41,Совершил посадку в 04:59,Совершил посадку в 04:59,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
42,06:20,Краснодар,,DP 564Победа,ПрилетелВыдача багажа: лента 8
43,Совершил посадку в 06:25,Совершил посадку в 06:25,,DP 564Победа,ПрилетелВыдача багажа: лента 8
44,06:25,Москва,,SU 1436Аэрофлот,ПрилетелВыдача багажа: лента 9
45,Совершил посадку в 06:09,Совершил посадку в 06:09,,SU 1436Аэрофлот,ПрилетелВыдача багажа: лента 9
46,07:25,Ереван,,U6 8250Уральские авиалинии,ПрилетелВыдача багажа: лента 8
47,Совершил посадку в 08:04,Совершил посадку в 08:04,,U6 8250Уральские авиалинии,ПрилетелВыдача багажа: лента 8
48,09:00,Ташкент,,HY 3761Узбекистон Хаво Йуллари,"ПрилетелВыдача багажа: лента 1,2"
49,Совершил посадку в 08:58,Совершил посадку в 08:58,,HY 3761Узбекистон Хаво Йуллари,"ПрилетелВыдача багажа: лента 1,2"
50,09:05,Симферополь,,WZ 727Red Wings,ПрилетелВыдача багажа: лента 9
51,Совершил посадку в 08:31,Совершил посадку в 08:31,,WZ 727Red Wings,ПрилетелВыдача багажа: лента 9
52,09:45,Сургут,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
53,Совершил посадку в 09:26,Совершил посадку в 09:26,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
54,10:15,Худжанд,,U6 8956Уральские авиалинии,"ПрилетелВыдача багажа: лента 2,3"
55,Совершил посадку в 12:24,Совершил посадку в 12:24,,U6 8956Уральские авиалинии,"ПрилетелВыдача багажа: лента 2,3"
56,10:45,Бишкек,,U6 8420Уральские авиалинии,"ПрилетелВыдача багажа: лента 1,2"
57,Совершил посадку в 11:09,Совершил посадку в 11:09,,U6 8420Уральские авиалинии,"ПрилетелВыдача багажа: лента 1,2"
58,11:10,Москва,,"SU 1410, JU 7068Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
59,Совершил посадку в 11:05,Совершил посадку в 11:05,,"SU 1410, JU 7068Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
60,12:10,Надым,,YC 212Ямал,ПрилетелВыдача багажа: лента 7
61,Совершил посадку в 11:55,Совершил посадку в 11:55,,YC 212Ямал,ПрилетелВыдача багажа: лента 7
62,12:10,Чита,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 10
63,Совершил посадку в 12:04,Совершил посадку в 12:04,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 10
64,12:20,Москва,,DP 407Победа,ПрилетелВыдача багажа: лента 8
65,Совершил посадку в 12:18,Совершил посадку в 12:18,,DP 407Победа,ПрилетелВыдача багажа: лента 8
66,12:40,Белоярский,,7R 826РусЛайн,ПрилетелВыдача багажа: лента 7
67,Совершил посадку в 12:14,Совершил посадку в 12:14,,7R 826РусЛайн,ПрилетелВыдача багажа: лента 7
68,13:05,Норильск,,Y7 917Нордстар,ПрилетелВыдача багажа: лента 9
69,Совершил посадку в 12:48,Совершил посадку в 12:48,,Y7 917Нордстар,ПрилетелВыдача багажа: лента 9
70,13:35,Симферополь,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
71,Совершил посадку в 13:29,Совершил посадку в 13:29,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
72,13:40,Сочи,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
73,Совершил посадку в 13:35,Совершил посадку в 13:35,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
74,13:55,Москва,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
75,Совершил посадку в 13:42,Совершил посадку в 13:42,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
76,14:00,Благовещенск,,U6 300Уральские авиалинии,ПрилетелВыдача багажа: лента 9
77,Совершил посадку в 13:32,Совершил посадку в 13:32,,U6 300Уральские авиалинии,ПрилетелВыдача багажа: лента 9
78,14:00,Баку,,U6 8952Уральские авиалинии,ПрилетелВыдача багажа: лента 2
79,Совершил посадку в 13:47,Совершил посадку в 13:47,,U6 8952Уральские авиалинии,ПрилетелВыдача багажа: лента 2
80,14:10,Хабаровск,,U6 174Уральские авиалинии,ПрилетелВыдача багажа: лента 10
81,Совершил посадку в 13:37,Совершил посадку в 13:37,,U6 174Уральские авиалинии,ПрилетелВыдача багажа: лента 10
82,14:15,Москва,,U6 261Уральские авиалинии,ПрилетелВыдача багажа: лента 7
83,Совершил посадку в 14:21,Совершил посадку в 14:21,,U6 261Уральские авиалинии,ПрилетелВыдача багажа: лента 7
84,14:40,Самара,,UT 282ЮТэйр,ПрилетелВыдача багажа: лента 7
85,Совершил посадку в 14:37,Совершил посадку в 14:37,,UT 282ЮТэйр,ПрилетелВыдача багажа: лента 7
86,14:45,Новосибирск,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 8
87,Совершил посадку в 14:27,Совершил посадку в 14:27,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 8
88,15:50,Москва,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
89,Совершил посадку в 15:14,Совершил посадку в 15:14,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
90,15:55,Санкт-Петербург,,U6 365Уральские авиалинии,ПрилетелВыдача багажа: лента 10
91,Совершил посадку в 17:06,Совершил посадку в 17:06,,U6 365Уральские авиалинии,ПрилетелВыдача багажа: лента 10
92,16:00,Бохтар,,N4 2018Nordwind,"ПрилетелВыдача багажа: лента 1,2"
93,Совершил посадку в 17:23,Совершил посадку в 17:23,,N4 2018Nordwind,"ПрилетелВыдача багажа: лента 1,2"
94,16:00,Советский,,4G 9804Газпромавиа,Прилетел
95,Совершил посадку в 18:02,Совершил посадку в 18:02,,4G 9804Газпромавиа,Прилетел
96,16:15,Самарканд,,WZ 4468Red Wings,"ПрилетелВыдача багажа: лента 2,3"
