,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,20:45 29 июня,Ростов-на-Дону,,"EO 188, N4 188Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
1,Совершил посадку в 04:36 30 июня,Совершил посадку в 04:36 30 июня,,"EO 188, N4 188Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
2,22:25 29 июня,Симферополь,,"EO 134, N4 134Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
3,Совершил посадку в 02:07 30 июня,Совершил посадку в 02:07 30 июня,,"EO 134, N4 134Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 2
4,22:30 29 июня,Сочи,,"EO 226, N4 226Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
5,Совершил посадку в 00:54 30 июня,Совершил посадку в 00:54 30 июня,,"EO 226, N4 226Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
6,23:20 29 июня,Сочи,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
7,Совершил посадку в 02:25 30 июня,Совершил посадку в 02:25 30 июня,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
8,23:35 29 июня,Сочи,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 3
9,Совершил посадку в 00:02 30 июня,Совершил посадку в 00:02 30 июня,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 3
10,23:35 29 июня,Оренбург,,"FV 6074, SU 6074Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 00:05 30 июня,Совершил посадку в 00:05 30 июня,,"FV 6074, SU 6074Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
12,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
13,Совершил посадку в 23:39 29 июня,Совершил посадку в 23:39 29 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
14,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
15,Совершил посадку в 23:57 29 июня,Совершил посадку в 23:57 29 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
16,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
17,Совершил посадку в 00:24,Совершил посадку в 00:24,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
18,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
19,Совершил посадку в 23:43 29 июня,Совершил посадку в 23:43 29 июня,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
20,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 3
21,Совершил посадку в 23:48 29 июня,Совершил посадку в 23:48 29 июня,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 3
