,Время,Направление,Unnamed: 2,Рейс,Статус
0,20:20 3 мая,Геленджик,,S7 2100S7 Airlines,Прилетел
1,Совершил посадку в 18:31 4 мая,Совершил посадку в 18:31 4 мая,,S7 2100S7 Airlines,Прилетел
2,23:40 3 мая,Симферополь,,U6 2842Уральские авиалинии,Прилетел
3,Совершил посадку в 00:15 4 мая,Совершил посадку в 00:15 4 мая,,U6 2842Уральские авиалинии,Прилетел
4,23:40 3 мая,Сочи,,U6 278Уральские авиалинии,Прилетел
5,Совершил посадку в 00:33 4 мая,Совершил посадку в 00:33 4 мая,,U6 278Уральские авиалинии,Прилетел
6,23:55 3 мая,Санкт-Петербург,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
7,Совершил посадку в 00:05 4 мая,Совершил посадку в 00:05 4 мая,,"S7 1020, EK 7816S7 Airlines, Emirates",Прилетел
8,23:55 3 мая,Сочи,,U6 378Уральские авиалинии,Прилетел
9,Совершил посадку в 00:07 4 мая,Совершил посадку в 00:07 4 мая,,U6 378Уральские авиалинии,Прилетел
10,23:55 3 мая,Калининград,,U6 74Уральские авиалинии,Прилетел
11,Совершил посадку в 01:10 4 мая,Совершил посадку в 01:10 4 мая,,U6 74Уральские авиалинии,Прилетел
12,00:20 4 мая,Анапа,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
13,Совершил посадку в 23:56 3 мая,Совершил посадку в 23:56 3 мая,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
14,00:20 4 мая,Анапа,,S7 2108S7 Airlines,Прилетел
15,Совершил посадку в 23:56 3 мая,Совершил посадку в 23:56 3 мая,,S7 2108S7 Airlines,Прилетел
16,00:20,Краснодар,,LY 8910El Al,Прилетел
17,Совершил посадку в 00:04,Совершил посадку в 00:04,,LY 8910El Al,Прилетел
18,00:20,Краснодар,,S7 2078S7 Airlines,Прилетел
19,Совершил посадку в 00:04,Совершил посадку в 00:04,,S7 2078S7 Airlines,Прилетел
20,00:20,Ростов-на-Дону,,5N 272Smartavia,Прилетел
21,Совершил посадку в 00:14,Совершил посадку в 00:14,,5N 272Smartavia,Прилетел
22,00:35,Калининград,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
23,Совершил посадку в 00:34,Совершил посадку в 00:34,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
24,01:10,Санкт-Петербург,,U6 192Уральские авиалинии,Прилетел
25,Совершил посадку в 01:36,Совершил посадку в 01:36,,U6 192Уральские авиалинии,Прилетел
26,01:35,Симферополь,,U6 48Уральские авиалинии,Прилетел
27,Совершил посадку в 01:45,Совершил посадку в 01:45,,U6 48Уральские авиалинии,Прилетел
28,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
29,Совершил посадку в 01:19,Совершил посадку в 01:19,,S7 2014S7 Airlines,Прилетел
30,01:50,Сочи,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
31,Совершил посадку в 01:40,Совершил посадку в 01:40,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
32,01:50,Сочи,,S7 2050S7 Airlines,Прилетел
33,Совершил посадку в 01:40,Совершил посадку в 01:40,,S7 2050S7 Airlines,Прилетел
34,03:40,Ереван,,U6 8704Уральские авиалинии,Прилетел
35,Совершил посадку в 03:40,Совершил посадку в 03:40,,U6 8704Уральские авиалинии,Прилетел
36,05:30,Уфа,,EK 7864Emirates,Прилетел
37,Совершил посадку в 05:06,Совершил посадку в 05:06,,EK 7864Emirates,Прилетел
38,05:30,Уфа,,S7 1132S7 Airlines,Прилетел
39,Совершил посадку в 05:06,Совершил посадку в 05:06,,S7 1132S7 Airlines,Прилетел
40,05:30,Уфа,,"SQ 1924, EY 8728, LY 8914Singapore Airlines, Etihad Airways, El Al",Прилетел
41,Совершил посадку в 05:06,Совершил посадку в 05:06,,"SQ 1924, EY 8728, LY 8914Singapore Airlines, Etihad Airways, El Al",Прилетел
42,05:35,Новосибирск,,6R 543Алроса,Прилетел
43,Совершил посадку в 05:46,Совершил посадку в 05:46,,6R 543Алроса,Прилетел
44,06:10,Екатеринбург,,WZ 422Red Wings,Прилетел
45,Совершил посадку в 06:17,Совершил посадку в 06:17,,WZ 422Red Wings,Прилетел
46,06:15,Нижний Новгород,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
47,Совершил посадку в 05:58,Совершил посадку в 05:58,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
48,06:20,Самара,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
49,Совершил посадку в 06:06,Совершил посадку в 06:06,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
50,06:30,Сочи,,5N 276Smartavia,Прилетел
51,Совершил посадку в 06:11,Совершил посадку в 06:11,,5N 276Smartavia,Прилетел
52,06:35,Казань,,"KC 1440, EY 8657Air Astana, Etihad Airways",Прилетел
53,Совершил посадку в 06:17,Совершил посадку в 06:17,,"KC 1440, EY 8657Air Astana, Etihad Airways",Прилетел
54,06:35,Казань,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
55,Совершил посадку в 06:17,Совершил посадку в 06:17,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
56,06:35,Казань,,LY 8968El Al,Прилетел
57,Совершил посадку в 06:17,Совершил посадку в 06:17,,LY 8968El Al,Прилетел
