,Время,Направление,Unnamed: 2,Рейс,Статус
0,20:35 27 мая,Липецк,,U6 9662Уральские авиалинии,Прилетел
1,Совершил посадку в 04:43 28 мая,Совершил посадку в 04:43 28 мая,,U6 9662Уральские авиалинии,Прилетел
2,22:15 27 мая,Белгород,,U6 9659Уральские авиалинии,Прилетел
3,Совершил посадку в 04:26 28 мая,Совершил посадку в 04:26 28 мая,,U6 9659Уральские авиалинии,Прилетел
4,23:30 27 мая,Воронеж,,S7 1118S7 Airlines,Прилетел
5,Совершил посадку в 00:43 28 мая,Совершил посадку в 00:43 28 мая,,S7 1118S7 Airlines,Прилетел
6,23:30 27 мая,Воронеж,,"KC 1448, EK 7847Air Astana, Emirates",Прилетел
7,Совершил посадку в 00:43 28 мая,Совершил посадку в 00:43 28 мая,,"KC 1448, EK 7847Air Astana, Emirates",Прилетел
8,23:40 27 мая,Ростов-на-Дону,,S7 2126S7 Airlines,Прилетел
9,Совершил посадку в 00:21 28 мая,Совершил посадку в 00:21 28 мая,,S7 2126S7 Airlines,Прилетел
10,23:40 27 мая,Симферополь,,U6 2842Уральские авиалинии,Прилетел
11,Совершил посадку в 00:26 28 мая,Совершил посадку в 00:26 28 мая,,U6 2842Уральские авиалинии,Прилетел
12,00:05,Нижний Новгород,,S7 8992S7 Airlines,Прилетел
13,Совершил посадку в 00:05,Совершил посадку в 00:05,,S7 8992S7 Airlines,Прилетел
14,00:20,Краснодар,,S7 2078S7 Airlines,Прилетел
15,Совершил посадку в 00:10,Совершил посадку в 00:10,,S7 2078S7 Airlines,Прилетел
16,00:20,Краснодар,,LY 8910El Al,Прилетел
17,Совершил посадку в 00:10,Совершил посадку в 00:10,,LY 8910El Al,Прилетел
18,00:20,Анапа,,S7 2108S7 Airlines,Прилетел
19,Совершил посадку в 00:11,Совершил посадку в 00:11,,S7 2108S7 Airlines,Прилетел
20,00:20,Анапа,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
21,Совершил посадку в 00:11,Совершил посадку в 00:11,,"KC 1508, EK 7912Air Astana, Emirates",Прилетел
22,00:25,Самара,,YC 9750Ямал,Прилетел
23,Совершил посадку в 00:41,Совершил посадку в 00:41,,YC 9750Ямал,Прилетел
24,00:40,Калининград,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
25,Совершил посадку в 00:42,Совершил посадку в 00:42,,"5N 252, WZ 5252Smartavia, Red Wings",Прилетел
26,01:15,Воронеж,,S7 1124S7 Airlines,Прилетел
27,Совершил посадку в 04:04,Совершил посадку в 04:04,,S7 1124S7 Airlines,Прилетел
28,01:20,Самарканд,,WZ 4480Red Wings,Прилетел
29,Совершил посадку в 01:11,Совершил посадку в 01:11,,WZ 4480Red Wings,Прилетел
30,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
31,Совершил посадку в 01:25,Совершил посадку в 01:25,,S7 2014S7 Airlines,Прилетел
32,01:50,Сочи,,S7 2050S7 Airlines,Прилетел
33,Совершил посадку в 01:44,Совершил посадку в 01:44,,S7 2050S7 Airlines,Прилетел
34,01:50,Сочи,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
35,Совершил посадку в 01:44,Совершил посадку в 01:44,,"KC 1560, LY 8874Air Astana, El Al",Прилетел
36,01:55,Симферополь,,U6 48Уральские авиалинии,Прилетел
37,Совершил посадку в 02:10,Совершил посадку в 02:10,,U6 48Уральские авиалинии,Прилетел
38,02:55,Краснодар,,U6 112Уральские авиалинии,Прилетел
39,Совершил посадку в 09:14,Совершил посадку в 09:14,,U6 112Уральские авиалинии,Прилетел
40,03:10,Ларнака,,CY 1486Cyprus Airways,Прилетел
41,Совершил посадку в 03:04,Совершил посадку в 03:04,,CY 1486Cyprus Airways,Прилетел
42,05:30,Уфа,,S7 1132S7 Airlines,Прилетел
43,Совершил посадку в 05:58,Совершил посадку в 05:58,,S7 1132S7 Airlines,Прилетел
44,05:30,Уфа,,"SQ 1924, EK 7864, EY 8728, LY 8914Singapore Airlines, Emirates, Etihad Airways, El Al",Прилетел
45,Совершил посадку в 05:58,Совершил посадку в 05:58,,"SQ 1924, EK 7864, EY 8728, LY 8914Singapore Airlines, Emirates, Etihad Airways, El Al",Прилетел
46,05:35,Новосибирск,,6R 543Алроса,Прилетел
47,Совершил посадку в 05:46,Совершил посадку в 05:46,,6R 543Алроса,Прилетел
48,06:00,Ош,,U6 8910Уральские авиалинии,Прилетел
49,Совершил посадку в 05:44,Совершил посадку в 05:44,,U6 8910Уральские авиалинии,Прилетел
50,06:10,Екатеринбург,,WZ 422Red Wings,Прилетел
51,Совершил посадку в 06:08,Совершил посадку в 06:08,,WZ 422Red Wings,Прилетел
52,06:15,Нижний Новгород,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
53,Совершил посадку в 05:54,Совершил посадку в 05:54,,"S7 1100, EY 8630S7 Airlines, Etihad Airways",Прилетел
54,06:15,Самарканд,,U6 8464Уральские авиалинии,Прилетел
55,Совершил посадку в 06:51,Совершил посадку в 06:51,,U6 8464Уральские авиалинии,Прилетел
56,06:20,Самара,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
57,Совершил посадку в 06:10,Совершил посадку в 06:10,,"S7 1080, B2 180, KC 1438, EY 8652S7 Airlines, Белавиа, Air Astana, Etihad Airways",Прилетел
58,06:20,Симферополь,,U6 8Уральские авиалинии,
59,Отменен,Отменен,,U6 8Уральские авиалинии,
60,06:35,Казань,,"EY 8657, LY 8968Etihad Airways, El Al",Прилетел
61,Совершил посадку в 06:19,Совершил посадку в 06:19,,"EY 8657, LY 8968Etihad Airways, El Al",Прилетел
62,06:35,Казань,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
63,Совершил посадку в 06:19,Совершил посадку в 06:19,,"S7 1060, B2 160S7 Airlines, Белавиа",Прилетел
64,06:35,Казань,,KC 1440Air Astana,Прилетел
65,Совершил посадку в 06:19,Совершил посадку в 06:19,,KC 1440Air Astana,Прилетел
66,06:40,Ульяновск,,S7 1184S7 Airlines,Прилетел
67,Совершил посадку в 06:34,Совершил посадку в 06:34,,S7 1184S7 Airlines,Прилетел
68,06:40,Санкт-Петербург,,EK 7894Emirates,Прилетел
69,Совершил посадку в 06:34,Совершил посадку в 06:34,,EK 7894Emirates,Прилетел
70,06:45,Екатеринбург,,LY 8942El Al,Прилетел
71,Совершил посадку в 06:37,Совершил посадку в 06:37,,LY 8942El Al,Прилетел
72,06:45,Екатеринбург,,"S7 1172, B2 172, SQ 1914, EK 7862, EY 8721S7 Airlines, Белавиа, Singapore Airlines, Emirates, Etihad Airways",Прилетел
73,Совершил посадку в 06:37,Совершил посадку в 06:37,,"S7 1172, B2 172, SQ 1914, EK 7862, EY 8721S7 Airlines, Белавиа, Singapore Airlines, Emirates, Etihad Airways",Прилетел
74,06:45,Новосибирск,,"S7 2502, B2 152, EY 8693S7 Airlines, Белавиа, Etihad Airways",Прилетел
75,Совершил посадку в 06:41,Совершил посадку в 06:41,,"S7 2502, B2 152, EY 8693S7 Airlines, Белавиа, Etihad Airways",Прилетел
76,06:50,Санкт-Петербург,,"S7 1026, EY 8664S7 Airlines, Etihad Airways",Прилетел
77,Совершил посадку в 06:53,Совершил посадку в 06:53,,"S7 1026, EY 8664S7 Airlines, Etihad Airways",Прилетел
78,07:00,Калининград,,S7 1216S7 Airlines,Прилетел
79,Совершил посадку в 06:46,Совершил посадку в 06:46,,S7 1216S7 Airlines,Прилетел
80,07:00,Мурманск,,EY 8672Etihad Airways,Прилетел
81,Совершил посадку в 06:57,Совершил посадку в 06:57,,EY 8672Etihad Airways,Прилетел
82,07:00,Мурманск,,S7 1228S7 Airlines,Прилетел
83,Совершил посадку в 06:57,Совершил посадку в 06:57,,S7 1228S7 Airlines,Прилетел
84,07:00,Мурманск,,"KC 1458, EK 7882Air Astana, Emirates",Прилетел
85,Совершил посадку в 06:57,Совершил посадку в 06:57,,"KC 1458, EK 7882Air Astana, Emirates",Прилетел
86,07:05,Омск,,U6 388Уральские авиалинии,Прилетел
87,Совершил посадку в 08:32,Совершил посадку в 08:32,,U6 388Уральские авиалинии,Прилетел
88,07:10,Челябинск,,U6 609Уральские авиалинии,Прилетел
89,Совершил посадку в 07:02,Совершил посадку в 07:02,,U6 609Уральские авиалинии,Прилетел
90,07:15,Волгоград,,S7 2146S7 Airlines,Прилетел
91,Совершил посадку в 07:00,Совершил посадку в 07:00,,S7 2146S7 Airlines,Прилетел
92,07:15,Волгоград,,"B2 146, EY 8734Белавиа, Etihad Airways",Прилетел
93,Совершил посадку в 07:00,Совершил посадку в 07:00,,"B2 146, EY 8734Белавиа, Etihad Airways",Прилетел
94,07:20,Краснодар,,"KC 1468, LY 8900Air Astana, El Al",Прилетел
95,Совершил посадку в 07:08,Совершил посадку в 07:08,,"KC 1468, LY 8900Air Astana, El Al",Прилетел
96,07:20,Краснодар,,S7 2080S7 Airlines,Прилетел
97,Совершил посадку в 07:08,Совершил посадку в 07:08,,S7 2080S7 Airlines,Прилетел
98,07:20,Краснодар,,EY 8647Etihad Airways,Прилетел
99,Совершил посадку в 07:08,Совершил посадку в 07:08,,EY 8647Etihad Airways,Прилетел
100,07:20,Ростов-на-Дону,,"KC 1498, S7 2128, EK 7834Air Astana, S7 Airlines, Emirates",Прилетел
101,Совершил посадку в 07:18,Совершил посадку в 07:18,,"KC 1498, S7 2128, EK 7834Air Astana, S7 Airlines, Emirates",Прилетел
102,07:20,Ростов-на-Дону,,SQ 1974Singapore Airlines,Прилетел
103,Совершил посадку в 07:18,Совершил посадку в 07:18,,SQ 1974Singapore Airlines,Прилетел
104,07:20,Ростов-на-Дону,,EY 8712Etihad Airways,Прилетел
105,Совершил посадку в 07:18,Совершил посадку в 07:18,,EY 8712Etihad Airways,Прилетел
106,07:20,Екатеринбург,,U6 264Уральские авиалинии,Прилетел
107,Совершил посадку в 07:19,Совершил посадку в 07:19,,U6 264Уральские авиалинии,Прилетел
108,07:20,Новокузнецк,,SQ 1960Singapore Airlines,Прилетел
109,Совершил посадку в 07:21,Совершил посадку в 07:21,,SQ 1960Singapore Airlines,Прилетел
110,07:20,Новокузнецк,,S7 2626S7 Airlines,Прилетел
111,Совершил посадку в 07:21,Совершил посадку в 07:21,,S7 2626S7 Airlines,Прилетел
112,07:20,Новокузнецк,,"QR 5731, EY 8676, LY 8884, EK 7966Qatar Airways, Etihad Airways, El Al, Emirates",Прилетел
113,Совершил посадку в 07:21,Совершил посадку в 07:21,,"QR 5731, EY 8676, LY 8884, EK 7966Qatar Airways, Etihad Airways, El Al, Emirates",Прилетел
114,07:20,Красноярск,,"EK 7944, EY 8640Emirates, Etihad Airways",Прилетел
115,Совершил посадку в 07:26,Совершил посадку в 07:26,,"EK 7944, EY 8640Emirates, Etihad Airways",Прилетел
116,07:20,Красноярск,,"S7 2544, B2 154S7 Airlines, Белавиа",Прилетел
117,Совершил посадку в 07:26,Совершил посадку в 07:26,,"S7 2544, B2 154S7 Airlines, Белавиа",Прилетел
118,07:25,Пермь,,"SQ 1948, EK 7829, EY 8701Singapore Airlines, Emirates, Etihad Airways",Прилетел
119,Совершил посадку в 07:21,Совершил посадку в 07:21,,"SQ 1948, EK 7829, EY 8701Singapore Airlines, Emirates, Etihad Airways",Прилетел
120,07:25,Пермь,,S7 1160S7 Airlines,Прилетел
