,Время,Направление,Unnamed: 2,Рейс,Статус
0,23:40 9 июня,Симферополь,,U6 2842Уральские авиалинии,Прилетел
1,Совершил посадку в 02:08 10 июня,Совершил посадку в 02:08 10 июня,,U6 2842Уральские авиалинии,Прилетел
2,23:55 9 июня,Санкт-Петербург,,"S7 1020, AT 9010, A3 3522, EK 7816S7 Airlines, Royal Air Maroc, Aegean Airlines, Emirates",Прилетел
3,Совершил посадку в 00:13 10 июня,Совершил посадку в 00:13 10 июня,,"S7 1020, AT 9010, A3 3522, EK 7816S7 Airlines, Royal Air Maroc, Aegean Airlines, Emirates",Прилетел
4,00:20,Анапа,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
5,Совершил посадку в 00:00,Совершил посадку в 00:00,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
6,00:20,Краснодар,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
7,Совершил посадку в 00:01,Совершил посадку в 00:01,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
8,00:20,Ростов-на-Дону,,5N 272Smartavia,Прилетел
9,Совершил посадку в 00:15,Совершил посадку в 00:15,,5N 272Smartavia,Прилетел
10,00:20,Ларнака,,WZ 5072Red Wings,Прилетел
11,Совершил посадку в 00:51,Совершил посадку в 00:51,,WZ 5072Red Wings,Прилетел
12,00:35,Калининград,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
13,Совершил посадку в 00:46,Совершил посадку в 00:46,,"5N 212, WZ 5212Smartavia, Red Wings",Прилетел
14,00:45,Калуга,,U6 9118Уральские авиалинии,Прилетел
15,Совершил посадку в 07:14,Совершил посадку в 07:14,,U6 9118Уральские авиалинии,Прилетел
16,01:05,Анапа,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
17,Совершил посадку в 00:50,Совершил посадку в 00:50,,"WZ 282, 5N 6282Red Wings, Smartavia",Прилетел
18,01:15,Санкт-Петербург,,U6 92Уральские авиалинии,Прилетел
19,Совершил посадку в 02:24,Совершил посадку в 02:24,,U6 92Уральские авиалинии,Прилетел
20,01:35,Симферополь,,U6 48Уральские авиалинии,Прилетел
21,Совершил посадку в 01:46,Совершил посадку в 01:46,,U6 48Уральские авиалинии,Прилетел
22,01:45,Калининград,,U6 76Уральские авиалинии,Прилетел
23,Совершил посадку в 01:36,Совершил посадку в 01:36,,U6 76Уральские авиалинии,Прилетел
24,01:50,Сочи,,"S7 2050, AT 9004, LY 8874, KC 1560S7 Airlines, Royal Air Maroc, El Al, Air Astana",Прилетел
25,Совершил посадку в 01:35,Совершил посадку в 01:35,,"S7 2050, AT 9004, LY 8874, KC 1560S7 Airlines, Royal Air Maroc, El Al, Air Astana",Прилетел
26,01:50,Симферополь,,S7 2014S7 Airlines,Прилетел
27,Совершил посадку в 01:57,Совершил посадку в 01:57,,S7 2014S7 Airlines,Прилетел
28,04:55,Воронеж,,S7 1124S7 Airlines,Прилетел
29,Совершил посадку в 05:08,Совершил посадку в 05:08,,S7 1124S7 Airlines,Прилетел
30,05:30,Уфа,,"S7 1132, EY 8728, AT 9022, LY 8914, SQ 1924, EK 7864S7 Airlines, Etihad Airways, Royal Air Maroc, El Al, Singapore Airlines, Emirates",Прилетел
31,Совершил посадку в 05:05,Совершил посадку в 05:05,,"S7 1132, EY 8728, AT 9022, LY 8914, SQ 1924, EK 7864S7 Airlines, Etihad Airways, Royal Air Maroc, El Al, Singapore Airlines, Emirates",Прилетел
32,05:35,Минеральные Воды,,Y7 1082Нордстар,Прилетел
33,Совершил посадку в 05:12,Совершил посадку в 05:12,,Y7 1082Нордстар,Прилетел
34,06:10,Екатеринбург,,WZ 422Red Wings,Прилетел
35,Совершил посадку в 05:55,Совершил посадку в 05:55,,WZ 422Red Wings,Прилетел
36,06:15,Наманган,,WZ 4368Red Wings,Прилетел
37,Совершил посадку в 06:02,Совершил посадку в 06:02,,WZ 4368Red Wings,Прилетел
38,06:15,Нижний Новгород,,"S7 1100, AT 9030, EY 8630, A3 3556S7 Airlines, Royal Air Maroc, Etihad Airways, Aegean Airlines",Прилетел
39,Совершил посадку в 06:06,Совершил посадку в 06:06,,"S7 1100, AT 9030, EY 8630, A3 3556S7 Airlines, Royal Air Maroc, Etihad Airways, Aegean Airlines",Прилетел
40,06:20,Самара,,"S7 1080, EY 8652, A3 3540, LY 8930, B2 180, AT 9014, KC 1438S7 Airlines, Etihad Airways, Aegean Airlines, El Al, Белавиа, Royal Air Maroc, Air Astana",Прилетел
41,Совершил посадку в 05:57,Совершил посадку в 05:57,,"S7 1080, EY 8652, A3 3540, LY 8930, B2 180, AT 9014, KC 1438S7 Airlines, Etihad Airways, Aegean Airlines, El Al, Белавиа, Royal Air Maroc, Air Astana",Прилетел
42,06:20,Симферополь,,U6 8Уральские авиалинии,Прилетел
43,Совершил посадку в 06:27,Совершил посадку в 06:27,,U6 8Уральские авиалинии,Прилетел
44,06:35,Казань,,"S7 1060, LY 8968, A3 3512, EY 8657, B2 160, KC 1440, AT 9046S7 Airlines, El Al, Aegean Airlines, Etihad Airways, Белавиа, Air Astana, Royal Air Maroc",Прилетел
45,Совершил посадку в 06:07,Совершил посадку в 06:07,,"S7 1060, LY 8968, A3 3512, EY 8657, B2 160, KC 1440, AT 9046S7 Airlines, El Al, Aegean Airlines, Etihad Airways, Белавиа, Air Astana, Royal Air Maroc",Прилетел
46,06:40,Ульяновск,,"S7 1184, EK 7894S7 Airlines, Emirates",Прилетел
47,Совершил посадку в 06:19,Совершил посадку в 06:19,,"S7 1184, EK 7894S7 Airlines, Emirates",Прилетел
48,06:45,Екатеринбург,,"S7 1172, EK 7862, LY 8942, EY 8721, A3 3513, AT 9040, SQ 1914, B2 172S7 Airlines, Emirates, El Al, Etihad Airways, Aegean Airlines, Royal Air Maroc, Singapore Airlines, Белавиа",Прилетел
49,Совершил посадку в 06:25,Совершил посадку в 06:25,,"S7 1172, EK 7862, LY 8942, EY 8721, A3 3513, AT 9040, SQ 1914, B2 172S7 Airlines, Emirates, El Al, Etihad Airways, Aegean Airlines, Royal Air Maroc, Singapore Airlines, Белавиа",Прилетел
50,06:45,Новосибирск,,"S7 2502, LY 8978, EY 8693, AT 9006, B2 152S7 Airlines, El Al, Etihad Airways, Royal Air Maroc, Белавиа",Прилетел
51,Совершил посадку в 06:32,Совершил посадку в 06:32,,"S7 2502, LY 8978, EY 8693, AT 9006, B2 152S7 Airlines, El Al, Etihad Airways, Royal Air Maroc, Белавиа",Прилетел
52,06:50,Пенза,,S7 1194S7 Airlines,Прилетел
53,Совершил посадку в 06:39,Совершил посадку в 06:39,,S7 1194S7 Airlines,Прилетел
54,06:50,Санкт-Петербург,,"S7 1026, AT 9026, EY 8664S7 Airlines, Royal Air Maroc, Etihad Airways",Прилетел
55,Совершил посадку в 06:48,Совершил посадку в 06:48,,"S7 1026, AT 9026, EY 8664S7 Airlines, Royal Air Maroc, Etihad Airways",Прилетел
56,07:00,Калининград,,S7 1216S7 Airlines,Прилетел
57,Совершил посадку в 06:43,Совершил посадку в 06:43,,S7 1216S7 Airlines,Прилетел
58,07:00,Мурманск,,"S7 1228, EY 8672, EK 7882, KC 1458S7 Airlines, Etihad Airways, Emirates, Air Astana",Прилетел
59,Совершил посадку в 06:48,Совершил посадку в 06:48,,"S7 1228, EY 8672, EK 7882, KC 1458S7 Airlines, Etihad Airways, Emirates, Air Astana",Прилетел
