,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:05,Франкфурт-на-Майне,,OM 138Mongolian Airlines,Нет актуальной информации о статусе
1,,,,OM 138Mongolian Airlines,Нет актуальной информации о статусе
2,00:20,Самара,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
3,,,,"7R 882, UT 4882РусЛайн, ЮТэйр",Нет актуальной информации о статусе
4,00:30,Анталья,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 00:31,Совершил посадку в 00:31,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
6,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 10
7,Совершил посадку в 01:25,Совершил посадку в 01:25,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 10
8,00:45,Нижний Новгород,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 9
9,Совершил посадку в 00:25,Совершил посадку в 00:25,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 9
10,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
11,Совершил посадку в 01:35,Совершил посадку в 01:35,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
12,02:15,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
13,Совершил посадку в 02:16,Совершил посадку в 02:16,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
14,02:40,Сочи,,FV 5602Россия,ПрилетелВыдача багажа: лента 10
15,Совершил посадку в 02:54,Совершил посадку в 02:54,,FV 5602Россия,ПрилетелВыдача багажа: лента 10
16,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 7
17,Совершил посадку в 03:32,Совершил посадку в 03:32,,DP 403Победа,ПрилетелВыдача багажа: лента 7
18,03:55,Анталья,,WZ 7014Red Wings,ПрилетелВыдача багажа: лента 2
19,Совершил посадку в 03:39,Совершил посадку в 03:39,,WZ 7014Red Wings,ПрилетелВыдача багажа: лента 2
20,04:00,Красноярск,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
21,Совершил посадку в 03:58,Совершил посадку в 03:58,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
22,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 9
23,Совершил посадку в 03:51,Совершил посадку в 03:51,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 9
24,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 9
25,Совершил посадку в 03:51,Совершил посадку в 03:51,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 9
26,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 10
27,Совершил посадку в 04:20,Совершил посадку в 04:20,,DP 405Победа,ПрилетелВыдача багажа: лента 10
28,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 7
29,Совершил посадку в 04:17,Совершил посадку в 04:17,,DP 515Победа,ПрилетелВыдача багажа: лента 7
30,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
31,Совершил посадку в 04:45,Совершил посадку в 04:45,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
32,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 9
33,Совершил посадку в 04:53,Совершил посадку в 04:53,,DP 339Победа,ПрилетелВыдача багажа: лента 9
34,05:20,Москва,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
35,Совершил посадку в 05:03,Совершил посадку в 05:03,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
36,05:25,Ростов-на-Дону,,A4 213Азимут,ПрилетелВыдача багажа: лента 10
37,Совершил посадку в 05:09,Совершил посадку в 05:09,,A4 213Азимут,ПрилетелВыдача багажа: лента 10
38,06:20,Краснодар,,DP 564Победа,ПрилетелВыдача багажа: лента 8
39,Совершил посадку в 06:12,Совершил посадку в 06:12,,DP 564Победа,ПрилетелВыдача багажа: лента 8
