,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,21:50 24 июня,Нижний Новгород,,"FV 6350, SU 6350Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 00:12 25 июня,Совершил посадку в 00:12 25 июня,,"FV 6350, SU 6350Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
2,23:15 24 июня,Анапа,,FV 5518Россия,D,ПрилетелВыдача багажа: лента 1
3,Совершил посадку в 03:34 25 июня,Совершил посадку в 03:34 25 июня,,FV 5518Россия,D,ПрилетелВыдача багажа: лента 1
4,23:20 24 июня,Симферополь,,FV 5514Россия,D,ПрилетелВыдача багажа: лента 1
5,Совершил посадку в 00:34 25 июня,Совершил посадку в 00:34 25 июня,,FV 5514Россия,D,ПрилетелВыдача багажа: лента 1
6,23:35 24 июня,Белгород,,"FV 6256, SU 6256Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
7,Совершил посадку в 01:21 25 июня,Совершил посадку в 01:21 25 июня,,"FV 6256, SU 6256Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
8,23:40 24 июня,Пафос,,FV 5716Россия,D,ПрилетелВыдача багажа: лента 8-9
9,Совершил посадку в 00:42 25 июня,Совершил посадку в 00:42 25 июня,,FV 5716Россия,D,ПрилетелВыдача багажа: лента 8-9
10,23:45 24 июня,Архангельск,,"FV 6994, SU 6994Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
11,Совершил посадку в 00:20 25 июня,Совершил посадку в 00:20 25 июня,,"FV 6994, SU 6994Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
12,23:50 24 июня,Симферополь,,SU 1581Аэрофлот,B,ПрилетелВыдача багажа: лента 6
13,Совершил посадку в 00:18 25 июня,Совершил посадку в 00:18 25 июня,,SU 1581Аэрофлот,B,ПрилетелВыдача багажа: лента 6
14,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
15,Совершил посадку в 23:38 24 июня,Совершил посадку в 23:38 24 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
16,00:05,Анталья,,FV 5626Россия,D,ПрилетелВыдача багажа: лента 6
17,Совершил посадку в 00:14,Совершил посадку в 00:14,,FV 5626Россия,D,ПрилетелВыдача багажа: лента 6
18,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 00:46,Совершил посадку в 00:46,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
20,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 1
21,Совершил посадку в 23:43 24 июня,Совершил посадку в 23:43 24 июня,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 1
22,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 1
