,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05 30 мар,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 23:50 29 мар,Совершил посадку в 23:50 29 мар,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 1
2,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
3,,,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
4,00:15 30 мар,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:45 29 мар,Совершил посадку в 23:45 29 мар,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
6,00:20 30 мар,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
7,Совершил посадку в 23:47 29 мар,Совершил посадку в 23:47 29 мар,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
8,00:20,Анталья,,FV 5860Россия,D,ПрилетелВыдача багажа: лента 9
9,Совершил посадку в 00:03,Совершил посадку в 00:03,,FV 5860Россия,D,ПрилетелВыдача багажа: лента 9
10,00:20,Челябинск,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
11,,,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
12,00:55,Анталья,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
13,Совершил посадку в 00:31,Совершил посадку в 00:31,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
14,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
15,Совершил посадку в 00:41,Совершил посадку в 00:41,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
16,01:10,Санкт-Петербург,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 00:56,Совершил посадку в 00:56,,SU 45Аэрофлот,B,ПрилетелВыдача багажа: лента 4
18,01:30,Амстердам,,KL 905KLM,D,Нет актуальной информации о статусе
19,,,,KL 905KLM,D,Нет актуальной информации о статусе
20,04:05,Стамбул,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
21,Совершил посадку в 03:35,Совершил посадку в 03:35,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
22,04:20,Ижевск,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
23,,,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
24,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
25,Совершил посадку в 04:08,Совершил посадку в 04:08,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
