,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,23:05 6 апр,Краснодар,,SU 1107Аэрофлот,B,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 00:19 7 апр,Совершил посадку в 00:19 7 апр,,SU 1107Аэрофлот,B,ПрилетелВыдача багажа: лента 1
2,23:45 6 апр,Нижний Новгород,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
3,Совершил посадку в 00:13 7 апр,Совершил посадку в 00:13 7 апр,,"FV 6236, SU 6236Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
4,00:05 7 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
5,Совершил посадку в 23:52 6 апр,Совершил посадку в 23:52 6 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
6,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
7,,,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
8,00:10 7 апр,Анталья,,N4 6620Nordwind,D,ПрилетелВыдача багажа: лента 6
9,Совершил посадку в 23:43 6 апр,Совершил посадку в 23:43 6 апр,,N4 6620Nordwind,D,ПрилетелВыдача багажа: лента 6
10,00:15 7 апр,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
11,Совершил посадку в 23:37 6 апр,Совершил посадку в 23:37 6 апр,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
12,00:15 7 апр,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 23:37 6 апр,Совершил посадку в 23:37 6 апр,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
14,00:20 7 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
15,Совершил посадку в 23:45 6 апр,Совершил посадку в 23:45 6 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
16,00:20,Челябинск,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
17,,,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
18,00:25,Санкт-Петербург,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 2
19,Совершил посадку в 00:01,Совершил посадку в 00:01,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 2
20,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
21,Совершил посадку в 00:01,Совершил посадку в 00:01,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
22,00:55,Анталья,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
23,Совершил посадку в 00:42,Совершил посадку в 00:42,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
24,01:30,Амстердам,,KL 905KLM,D,ПрилетелВыдача багажа: лента 8
25,Совершил посадку в 01:17,Совершил посадку в 01:17,,KL 905KLM,D,ПрилетелВыдача багажа: лента 8
26,02:20,Кисони,,RL 7600Royal Flight,D,ПрилетелВыдача багажа: лента 8-9
27,Совершил посадку в 02:57,Совершил посадку в 02:57,,RL 7600Royal Flight,D,ПрилетелВыдача багажа: лента 8-9
28,04:05,Стамбул,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
29,Совершил посадку в 03:33,Совершил посадку в 03:33,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
30,04:05,Стамбул,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
31,Совершил посадку в 03:33,Совершил посадку в 03:33,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
32,04:20,Ижевск,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
33,,,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
34,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
35,Совершил посадку в 04:12,Совершил посадку в 04:12,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
36,04:35,Сыктывкар,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
37,,,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
38,04:50,Архангельск,,SU 1335Аэрофлот,B,Нет актуальной информации о статусе
39,,,,SU 1335Аэрофлот,B,Нет актуальной информации о статусе
40,04:50,Ростов-на-Дону,,SU 1675Аэрофлот,B,Нет актуальной информации о статусе
41,,,,SU 1675Аэрофлот,B,Нет актуальной информации о статусе
42,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 3
43,Совершил посадку в 04:31,Совершил посадку в 04:31,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 3
44,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 4
45,Совершил посадку в 05:07,Совершил посадку в 05:07,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 4
46,05:20,Архангельск,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
47,Совершил посадку в 05:13,Совершил посадку в 05:13,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
48,05:25,Магнитогорск,,"EO 340, N4 340Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
49,Совершил посадку в 06:43,Совершил посадку в 06:43,,"EO 340, N4 340Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
50,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 2
51,Совершил посадку в 05:32,Совершил посадку в 05:32,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 2
52,05:50,Уфа,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 3
53,Совершил посадку в 05:28,Совершил посадку в 05:28,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 3
54,06:00,Стамбул,,SU 2135Аэрофлот,D,ПрилетелВыдача багажа: лента 8
55,Совершил посадку в 05:49,Совершил посадку в 05:49,,SU 2135Аэрофлот,D,ПрилетелВыдача багажа: лента 8
56,06:05,Оренбург,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 5
57,Совершил посадку в 05:46,Совершил посадку в 05:46,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 5
58,06:05,Челябинск,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
59,Совершил посадку в 05:53,Совершил посадку в 05:53,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
60,06:05,Челябинск,,SU 1425Аэрофлот,B,Нет актуальной информации о статусе
61,,,,SU 1425Аэрофлот,B,Нет актуальной информации о статусе
62,06:10,Новосибирск,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 3
63,Совершил посадку в 05:55,Совершил посадку в 05:55,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 3
64,06:15,Нижний Новгород,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
65,Совершил посадку в 05:51,Совершил посадку в 05:51,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
66,06:15,Сургут,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 1
67,Совершил посадку в 05:58,Совершил посадку в 05:58,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 1
68,06:20,Тюмень,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
69,Совершил посадку в 06:01,Совершил посадку в 06:01,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
70,06:20,Тюмень,,SU 1503Аэрофлот,B,Нет актуальной информации о статусе
71,,,,SU 1503Аэрофлот,B,Нет актуальной информации о статусе
72,06:25,Санкт-Петербург,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 5
73,Совершил посадку в 06:09,Совершил посадку в 06:09,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 5
74,06:30,Омск,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 1
75,Совершил посадку в 06:07,Совершил посадку в 06:07,,SU 1763Аэрофлот,B,ПрилетелВыдача багажа: лента 1
76,06:30,Омск,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 1
77,Совершил посадку в 06:07,Совершил посадку в 06:07,,JU 7012Air Serbia,B,ПрилетелВыдача багажа: лента 1
78,06:30,Магнитогорск,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
79,Совершил посадку в 06:20,Совершил посадку в 06:20,,"FV 6264, SU 6264Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
80,06:30,Магнитогорск,,SU 1429Аэрофлот,B,Нет актуальной информации о статусе
81,,,,SU 1429Аэрофлот,B,Нет актуальной информации о статусе
82,06:35,Орск,,"EO 564, N4 564Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
83,Совершил посадку в 06:12,Совершил посадку в 06:12,,"EO 564, N4 564Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
84,06:40,Пермь,,SU 1219Аэрофлот,B,ПрилетелВыдача багажа: лента 2
85,Совершил посадку в 06:24,Совершил посадку в 06:24,,SU 1219Аэрофлот,B,ПрилетелВыдача багажа: лента 2
86,06:40,Иркутск,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 1
87,Совершил посадку в 06:27,Совершил посадку в 06:27,,SU 1441Аэрофлот,B,ПрилетелВыдача багажа: лента 1
88,06:45,Нижнекамск,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
89,Совершил посадку в 06:29,Совершил посадку в 06:29,,"FV 6248, SU 6248Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
90,06:45,Нижнекамск,,SU 1251Аэрофлот,B,Нет актуальной информации о статусе
91,,,,SU 1251Аэрофлот,B,Нет актуальной информации о статусе
92,07:00,Оренбург,,"EO 730, N4 730Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
93,Совершил посадку в 06:43,Совершил посадку в 06:43,,"EO 730, N4 730Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
94,07:05,Ташкент,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 8
95,Совершил посадку в 06:35,Совершил посадку в 06:35,,SU 1871Аэрофлот,D,ПрилетелВыдача багажа: лента 8
96,07:10,Нижневартовск,,SU 1647Аэрофлот,B,ПрилетелВыдача багажа: лента 2
97,Совершил посадку в 07:09,Совершил посадку в 07:09,,SU 1647Аэрофлот,B,ПрилетелВыдача багажа: лента 2
98,07:10,Красноярск,,SU 1481Аэрофлот,B,
99,Отменен,Отменен,,SU 1481Аэрофлот,B,
100,07:15,Санкт-Петербург,,JU 7029Air Serbia,B,ПрилетелВыдача багажа: лента 4
101,Совершил посадку в 07:18,Совершил посадку в 07:18,,JU 7029Air Serbia,B,ПрилетелВыдача багажа: лента 4
102,07:15,Санкт-Петербург,,SU 33Аэрофлот,B,ПрилетелВыдача багажа: лента 4
103,Совершил посадку в 07:18,Совершил посадку в 07:18,,SU 33Аэрофлот,B,ПрилетелВыдача багажа: лента 4
104,07:20,Самара,,SU 1217Аэрофлот,B,ПрилетелВыдача багажа: лента 5
105,Совершил посадку в 06:58,Совершил посадку в 06:58,,SU 1217Аэрофлот,B,ПрилетелВыдача багажа: лента 5
106,07:20,Самара,,JU 7058Air Serbia,B,ПрилетелВыдача багажа: лента 5
107,Совершил посадку в 06:58,Совершил посадку в 06:58,,JU 7058Air Serbia,B,ПрилетелВыдача багажа: лента 5
108,07:25,Ош,,SU 1895Аэрофлот,D,ПрилетелВыдача багажа: лента 9
109,Совершил посадку в 07:53,Совершил посадку в 07:53,,SU 1895Аэрофлот,D,ПрилетелВыдача багажа: лента 9
110,07:30,Екатеринбург,,SU 1407Аэрофлот,B,ПрилетелВыдача багажа: лента 1
111,Совершил посадку в 07:22,Совершил посадку в 07:22,,SU 1407Аэрофлот,B,ПрилетелВыдача багажа: лента 1
112,07:30,Екатеринбург,,JU 7066Air Serbia,B,ПрилетелВыдача багажа: лента 1
113,Совершил посадку в 07:22,Совершил посадку в 07:22,,JU 7066Air Serbia,B,ПрилетелВыдача багажа: лента 1
114,07:30,Воронеж,,SU 1353Аэрофлот,B,Нет актуальной информации о статусе
115,,,,SU 1353Аэрофлот,B,Нет актуальной информации о статусе
116,07:35,Барнаул,,SU 1431Аэрофлот,B,ПрилетелВыдача багажа: лента 3
117,Совершил посадку в 07:21,Совершил посадку в 07:21,,SU 1431Аэрофлот,B,ПрилетелВыдача багажа: лента 3
118,07:45,Ростов-на-Дону,,JU 7050Air Serbia,B,ПрилетелВыдача багажа: лента 6
119,Совершил посадку в 07:25,Совершил посадку в 07:25,,JU 7050Air Serbia,B,ПрилетелВыдача багажа: лента 6
120,07:45,Ростов-на-Дону,,SU 1165Аэрофлот,B,ПрилетелВыдача багажа: лента 6
121,Совершил посадку в 07:25,Совершил посадку в 07:25,,SU 1165Аэрофлот,B,ПрилетелВыдача багажа: лента 6
122,07:50,Волгоград,,JU 7018Air Serbia,B,ПрилетелВыдача багажа: лента 5
123,Совершил посадку в 07:15,Совершил посадку в 07:15,,JU 7018Air Serbia,B,ПрилетелВыдача багажа: лента 5
124,07:50,Волгоград,,SU 1185Аэрофлот,B,ПрилетелВыдача багажа: лента 5
125,Совершил посадку в 07:15,Совершил посадку в 07:15,,SU 1185Аэрофлот,B,ПрилетелВыдача багажа: лента 5
126,07:50,Омск,,N4 542Nordwind,D,ПрилетелВыдача багажа: лента 1
127,Совершил посадку в 07:35,Совершил посадку в 07:35,,N4 542Nordwind,D,ПрилетелВыдача багажа: лента 1
128,07:55,Бишкек,,SU 1883Аэрофлот,D,ПрилетелВыдача багажа: лента 9
129,Совершил посадку в 08:51,Совершил посадку в 08:51,,SU 1883Аэрофлот,D,ПрилетелВыдача багажа: лента 9
130,08:00,Пермь,,SU 1395Аэрофлот,B,ПрилетелВыдача багажа: лента 1
131,Совершил посадку в 07:39,Совершил посадку в 07:39,,SU 1395Аэрофлот,B,ПрилетелВыдача багажа: лента 1
132,08:00,Челябинск,,"FV 6228, SU 6228Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
133,Совершил посадку в 07:45,Совершил посадку в 07:45,,"FV 6228, SU 6228Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
134,08:00,Челябинск,,SU 1533Аэрофлот,B,Нет актуальной информации о статусе
135,,,,SU 1533Аэрофлот,B,Нет актуальной информации о статусе
136,08:10,Ханты-Мансийск,,SU 1383Аэрофлот,B,ПрилетелВыдача багажа: лента 5
137,Совершил посадку в 07:59,Совершил посадку в 07:59,,SU 1383Аэрофлот,B,ПрилетелВыдача багажа: лента 5
138,08:20,Тюмень,,"FV 6368, SU 6368Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
139,Совершил посадку в 07:56,Совершил посадку в 07:56,,"FV 6368, SU 6368Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
140,08:20,Тюмень,,SU 1509Аэрофлот,B,Нет актуальной информации о статусе
141,,,,SU 1509Аэрофлот,B,Нет актуальной информации о статусе
142,08:25,Новокузнецк,,SU 1459Аэрофлот,B,ПрилетелВыдача багажа: лента 4
143,Совершил посадку в 08:02,Совершил посадку в 08:02,,SU 1459Аэрофлот,B,ПрилетелВыдача багажа: лента 4
144,08:25,Уфа,,SU 1235Аэрофлот,B,ПрилетелВыдача багажа: лента 2
145,Совершил посадку в 08:05,Совершил посадку в 08:05,,SU 1235Аэрофлот,B,ПрилетелВыдача багажа: лента 2
146,08:25,Белгород,,SU 1373Аэрофлот,B,Нет актуальной информации о статусе
147,,,,SU 1373Аэрофлот,B,Нет актуальной информации о статусе
148,08:30,Краснодар,,SU 1275Аэрофлот,B,ПрилетелВыдача багажа: лента 3
149,Совершил посадку в 08:09,Совершил посадку в 08:09,,SU 1275Аэрофлот,B,ПрилетелВыдача багажа: лента 3
150,08:30,Краснодар,,JU 7051Air Serbia,B,ПрилетелВыдача багажа: лента 3
151,Совершил посадку в 08:09,Совершил посадку в 08:09,,JU 7051Air Serbia,B,ПрилетелВыдача багажа: лента 3
152,08:35,Казань,,JU 7062Air Serbia,B,ПрилетелВыдача багажа: лента 1
153,Совершил посадку в 08:11,Совершил посадку в 08:11,,JU 7062Air Serbia,B,ПрилетелВыдача багажа: лента 1
154,08:35,Казань,,SU 1199Аэрофлот,B,ПрилетелВыдача багажа: лента 1
155,Совершил посадку в 08:11,Совершил посадку в 08:11,,SU 1199Аэрофлот,B,ПрилетелВыдача багажа: лента 1
156,08:35,Омск,,SU 1639Аэрофлот,B,ПрилетелВыдача багажа: лента 6
157,Совершил посадку в 08:17,Совершил посадку в 08:17,,SU 1639Аэрофлот,B,ПрилетелВыдача багажа: лента 6
158,08:35,Омск,,JU 7013Air Serbia,B,ПрилетелВыдача багажа: лента 6
159,Совершил посадку в 08:17,Совершил посадку в 08:17,,JU 7013Air Serbia,B,ПрилетелВыдача багажа: лента 6
160,08:40,Астрахань,,"FV 6440, SU 6440Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
161,Совершил посадку в 08:30,Совершил посадку в 08:30,,"FV 6440, SU 6440Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
162,08:40,Астрахань,,SU 1173Аэрофлот,B,Нет актуальной информации о статусе
163,,,,SU 1173Аэрофлот,B,Нет актуальной информации о статусе
164,08:45,Сочи,,JU 7044Air Serbia,B,ПрилетелВыдача багажа: лента 2
165,Совершил посадку в 08:18,Совершил посадку в 08:18,,JU 7044Air Serbia,B,ПрилетелВыдача багажа: лента 2
166,08:45,Сочи,,SU 1141Аэрофлот,B,ПрилетелВыдача багажа: лента 2
167,Совершил посадку в 08:18,Совершил посадку в 08:18,,SU 1141Аэрофлот,B,ПрилетелВыдача багажа: лента 2
168,08:45,Кемерово,,SU 1451Аэрофлот,B,ПрилетелВыдача багажа: лента 4
169,Совершил посадку в 08:26,Совершил посадку в 08:26,,SU 1451Аэрофлот,B,ПрилетелВыдача багажа: лента 4
170,08:50,Томск,,SU 1531Аэрофлот,B,ПрилетелВыдача багажа: лента 5
171,Совершил посадку в 08:34,Совершил посадку в 08:34,,SU 1531Аэрофлот,B,ПрилетелВыдача багажа: лента 5
172,08:50,Анталья,,FV 5856Россия,D,ПрилетелВыдача багажа: лента 9
173,Совершил посадку в 10:22,Совершил посадку в 10:22,,FV 5856Россия,D,ПрилетелВыдача багажа: лента 9
174,09:00,Рига,,BT 424Air Baltic,E,Нет актуальной информации о статусе
175,,,,BT 424Air Baltic,E,Нет актуальной информации о статусе
176,09:15,Череповец,,D2 151Северсталь,D,ПрилетелВыдача багажа: лента 1
177,Совершил посадку в 09:11,Совершил посадку в 09:11,,D2 151Северсталь,D,ПрилетелВыдача багажа: лента 1
178,09:25,Нижний Новгород,,"FV 6254, SU 6254Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
179,Совершил посадку в 09:06,Совершил посадку в 09:06,,"FV 6254, SU 6254Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
180,09:25,Нижний Новгород,,SU 1229Аэрофлот,B,Нет актуальной информации о статусе
181,,,,SU 1229Аэрофлот,B,Нет актуальной информации о статусе
182,09:30,Сургут,,SU 1513Аэрофлот,B,ПрилетелВыдача багажа: лента 6
183,Совершил посадку в 09:04,Совершил посадку в 09:04,,SU 1513Аэрофлот,B,ПрилетелВыдача багажа: лента 6
184,09:35,Минеральные Воды,,SU 1301Аэрофлот,B,ПрилетелВыдача багажа: лента 1
185,Совершил посадку в 09:14,Совершил посадку в 09:14,,SU 1301Аэрофлот,B,ПрилетелВыдача багажа: лента 1
186,09:35,Санкт-Петербург,,SU 3Аэрофлот,B,ПрилетелВыдача багажа: лента 2
187,Совершил посадку в 09:22,Совершил посадку в 09:22,,SU 3Аэрофлот,B,ПрилетелВыдача багажа: лента 2
188,10:15,Владивосток,,SU 1701Аэрофлот,B,ПрилетелВыдача багажа: лента 6
189,Совершил посадку в 10:13,Совершил посадку в 10:13,,SU 1701Аэрофлот,B,ПрилетелВыдача багажа: лента 6
190,10:25,Новосибирск,,SU 1307Аэрофлот,B,ПрилетелВыдача багажа: лента 3
191,Совершил посадку в 10:08,Совершил посадку в 10:08,,SU 1307Аэрофлот,B,ПрилетелВыдача багажа: лента 3
192,10:25,Красноярск,,SU 1485Аэрофлот,B,ПрилетелВыдача багажа: лента 5
193,Совершил посадку в 10:16,Совершил посадку в 10:16,,SU 1485Аэрофлот,B,ПрилетелВыдача багажа: лента 5
194,10:30,Новый Уренгой,,SU 1523Аэрофлот,B,ПрилетелВыдача багажа: лента 4
195,Совершил посадку в 10:35,Совершил посадку в 10:35,,SU 1523Аэрофлот,B,ПрилетелВыдача багажа: лента 4
196,10:35,Хабаровск,,SU 1711Аэрофлот,B,ПрилетелВыдача багажа: лента 5
197,Совершил посадку в 10:26,Совершил посадку в 10:26,,SU 1711Аэрофлот,B,ПрилетелВыдача багажа: лента 5
198,10:40,Санкт-Петербург,,SU 7Аэрофлот,B,ПрилетелВыдача багажа: лента 1
199,Совершил посадку в 10:19,Совершил посадку в 10:19,,SU 7Аэрофлот,B,ПрилетелВыдача багажа: лента 1
200,10:40,Санкт-Петербург,,JU 7000Air Serbia,B,ПрилетелВыдача багажа: лента 1
201,Совершил посадку в 10:19,Совершил посадку в 10:19,,JU 7000Air Serbia,B,ПрилетелВыдача багажа: лента 1
202,10:45,Абакан,,SU 1479Аэрофлот,B,ПрилетелВыдача багажа: лента 3
203,Совершил посадку в 10:35,Совершил посадку в 10:35,,SU 1479Аэрофлот,B,ПрилетелВыдача багажа: лента 3
204,10:50,Самара,,SU 1603Аэрофлот,B,ПрилетелВыдача багажа: лента 2
205,Совершил посадку в 10:28,Совершил посадку в 10:28,,SU 1603Аэрофлот,B,ПрилетелВыдача багажа: лента 2
206,11:10,Иркутск,,SU 1443Аэрофлот,B,ПрилетелВыдача багажа: лента 2
207,Совершил посадку в 10:46,Совершил посадку в 10:46,,SU 1443Аэрофлот,B,ПрилетелВыдача багажа: лента 2
208,11:15,Саратов,,"FV 6490, SU 6490Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
209,Совершил посадку в 10:41,Совершил посадку в 10:41,,"FV 6490, SU 6490Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
210,11:20,Калининград,,SU 1001Аэрофлот,B,ПрилетелВыдача багажа: лента 5
211,Совершил посадку в 11:12,Совершил посадку в 11:12,,SU 1001Аэрофлот,B,ПрилетелВыдача багажа: лента 5
212,11:45,Нью-Йорк,,SU 103Аэрофлот,D,ПрилетелВыдача багажа: лента 8
213,Совершил посадку в 11:19,Совершил посадку в 11:19,,SU 103Аэрофлот,D,ПрилетелВыдача багажа: лента 8
214,11:45,Нижнекамск,,"FV 6300, SU 6300Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
215,Совершил посадку в 11:32,Совершил посадку в 11:32,,"FV 6300, SU 6300Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
216,11:45,Нижнекамск,,SU 1255Аэрофлот,B,Нет актуальной информации о статусе
217,,,,SU 1255Аэрофлот,B,Нет актуальной информации о статусе
218,11:55,Оренбург,,SU 1247Аэрофлот,B,ПрилетелВыдача багажа: лента 3
219,Совершил посадку в 11:44,Совершил посадку в 11:44,,SU 1247Аэрофлот,B,ПрилетелВыдача багажа: лента 3
220,11:55,Париж,,AF 1054Air France,E,Нет актуальной информации о статусе
221,,,,AF 1054Air France,E,Нет актуальной информации о статусе
