,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:20 7 апр,Краснодар,,"S7 2078, QR 5706S7 Airlines, Qatar Airways",Прилетел
1,Совершил посадку в 00:04 8 апр,Совершил посадку в 00:04 8 апр,,"S7 2078, QR 5706S7 Airlines, Qatar Airways",Прилетел
2,21:30 7 апр,Сочи,,U6 458Уральские авиалинии,Прилетел
3,Совершил посадку в 00:28 8 апр,Совершил посадку в 00:28 8 апр,,U6 458Уральские авиалинии,Прилетел
4,23:40 7 апр,Симферополь,,U6 2842Уральские авиалинии,Прилетел
5,Совершил посадку в 00:04 8 апр,Совершил посадку в 00:04 8 апр,,U6 2842Уральские авиалинии,Прилетел
6,00:25,Мюнхен,,LH 2530Lufthansa,Нет актуальной информации о статусе
7,,,,LH 2530Lufthansa,Нет актуальной информации о статусе
8,00:55,Вена,,OS 605Austrian,Нет актуальной информации о статусе
9,,,,OS 605Austrian,Нет актуальной информации о статусе
10,02:40,Санкт-Петербург,,Y7 9814Нордстар,Прилетел
11,Совершил посадку в 02:44,Совершил посадку в 02:44,,Y7 9814Нордстар,Прилетел
12,02:55,Цюрих,,LX 1324Swiss,Нет актуальной информации о статусе
13,,,,LX 1324Swiss,Нет актуальной информации о статусе
14,05:20,Екатеринбург,,WZ 422Red Wings,
15,Отменен,Отменен,,WZ 422Red Wings,
16,05:30,Уфа,,"S7 1132, LY 8914, TP 8151, SQ 1924, EY 8728, QR 5760, EK 7864S7 Airlines, El Al, Tap, Singapore Airlines, Etihad Airways, Qatar Airways, Emirates",Прилетел
17,Совершил посадку в 05:06,Совершил посадку в 05:06,,"S7 1132, LY 8914, TP 8151, SQ 1924, EY 8728, QR 5760, EK 7864S7 Airlines, El Al, Tap, Singapore Airlines, Etihad Airways, Qatar Airways, Emirates",Прилетел
18,05:35,Новосибирск,,6R 543Алроса,Прилетел
19,Совершил посадку в 05:18,Совершил посадку в 05:18,,6R 543Алроса,Прилетел
20,06:00,Ош,,U6 8910Уральские авиалинии,Нет актуальной информации о статусе
21,,,,U6 8910Уральские авиалинии,Нет актуальной информации о статусе
22,06:15,Нижний Новгород,,"S7 1100, KC 1569S7 Airlines, Air Astana",Прилетел
23,Совершил посадку в 06:09,Совершил посадку в 06:09,,"S7 1100, KC 1569S7 Airlines, Air Astana",Прилетел
24,06:20,Самара,,"S7 1080, B2 180, KC 1438, LY 8930, EY 8652, QR 5712, TP 8149S7 Airlines, Белавиа, Air Astana, El Al, Etihad Airways, Qatar Airways, Tap",Прилетел
25,Совершил посадку в 06:07,Совершил посадку в 06:07,,"S7 1080, B2 180, KC 1438, LY 8930, EY 8652, QR 5712, TP 8149S7 Airlines, Белавиа, Air Astana, El Al, Etihad Airways, Qatar Airways, Tap",Прилетел
26,06:35,Казань,,"S7 1060, B2 160, KC 1440, EY 8657, QR 5715, TP 8139, LY 8968S7 Airlines, Белавиа, Air Astana, Etihad Airways, Qatar Airways, Tap, El Al",Прилетел
27,Совершил посадку в 06:27,Совершил посадку в 06:27,,"S7 1060, B2 160, KC 1440, EY 8657, QR 5715, TP 8139, LY 8968S7 Airlines, Белавиа, Air Astana, Etihad Airways, Qatar Airways, Tap, El Al",Прилетел
28,06:35,Бишкек,,U6 8264Уральские авиалинии,Прилетел
29,Совершил посадку в 07:24,Совершил посадку в 07:24,,U6 8264Уральские авиалинии,Прилетел
30,06:40,Ульяновск,,"S7 1184, QR 5636, EK 7894S7 Airlines, Qatar Airways, Emirates",Прилетел
31,Совершил посадку в 06:30,Совершил посадку в 06:30,,"S7 1184, QR 5636, EK 7894S7 Airlines, Qatar Airways, Emirates",Прилетел
32,06:45,Екатеринбург,,"S7 1172, QR 5756, A3 3513, B2 172, EY 8721, TP 8145, EK 7862, LY 8942, SQ 1914S7 Airlines, Qatar Airways, Aegean Airlines, Белавиа, Etihad Airways, Tap, Emirates, El Al, Singapore Airlines",Прилетел
33,Совершил посадку в 06:44,Совершил посадку в 06:44,,"S7 1172, QR 5756, A3 3513, B2 172, EY 8721, TP 8145, EK 7862, LY 8942, SQ 1914S7 Airlines, Qatar Airways, Aegean Airlines, Белавиа, Etihad Airways, Tap, Emirates, El Al, Singapore Airlines",Прилетел
34,06:45,Новосибирск,,"S7 2502, EY 8693, TP 8157, LY 8978, B2 152, QR 5739S7 Airlines, Etihad Airways, Tap, El Al, Белавиа, Qatar Airways",Прилетел
35,Совершил посадку в 06:50,Совершил посадку в 06:50,,"S7 2502, EY 8693, TP 8157, LY 8978, B2 152, QR 5739S7 Airlines, Etihad Airways, Tap, El Al, Белавиа, Qatar Airways",Прилетел
36,06:50,Санкт-Петербург,,"S7 1026, QR 5386S7 Airlines, Qatar Airways",Прилетел
37,Совершил посадку в 07:16,Совершил посадку в 07:16,,"S7 1026, QR 5386S7 Airlines, Qatar Airways",Прилетел
38,07:00,Мурманск,,"S7 1228, EY 8672, QR 5727, KC 1458, EK 7882S7 Airlines, Etihad Airways, Qatar Airways, Air Astana, Emirates",Прилетел
39,Совершил посадку в 07:25,Совершил посадку в 07:25,,"S7 1228, EY 8672, QR 5727, KC 1458, EK 7882S7 Airlines, Etihad Airways, Qatar Airways, Air Astana, Emirates",Прилетел
40,07:05,Омск,,"U6 388, B2 488Уральские авиалинии, Белавиа",Прилетел
41,Совершил посадку в 07:22,Совершил посадку в 07:22,,"U6 388, B2 488Уральские авиалинии, Белавиа",Прилетел
42,07:10,Челябинск,,"U6 609, B2 409Уральские авиалинии, Белавиа",Прилетел
43,Совершил посадку в 07:34,Совершил посадку в 07:34,,"U6 609, B2 409Уральские авиалинии, Белавиа",Прилетел
44,07:20,Краснодар,,"S7 2080, TP 8161, EY 8647, KC 1468, QR 5707, LY 8900S7 Airlines, Tap, Etihad Airways, Air Astana, Qatar Airways, El Al",Прилетел
45,Совершил посадку в 06:59,Совершил посадку в 06:59,,"S7 2080, TP 8161, EY 8647, KC 1468, QR 5707, LY 8900S7 Airlines, Tap, Etihad Airways, Air Astana, Qatar Airways, El Al",Прилетел
46,07:20,Екатеринбург,,"U6 264, B2 464Уральские авиалинии, Белавиа",Прилетел
47,Совершил посадку в 07:10,Совершил посадку в 07:10,,"U6 264, B2 464Уральские авиалинии, Белавиа",Прилетел
48,07:20,Ростов-на-Дону,,"S7 2128, SQ 1974, TP 8168, KC 1498, LY 8920, EK 7834, QR 5753, EY 8712, BA 8774S7 Airlines, Singapore Airlines, Tap, Air Astana, El Al, Emirates, Qatar Airways, Etihad Airways, British Airways",Прилетел
49,Совершил посадку в 07:14,Совершил посадку в 07:14,,"S7 2128, SQ 1974, TP 8168, KC 1498, LY 8920, EK 7834, QR 5753, EY 8712, BA 8774S7 Airlines, Singapore Airlines, Tap, Air Astana, El Al, Emirates, Qatar Airways, Etihad Airways, British Airways",Прилетел
50,07:20,Новокузнецк,,"S7 2626, LY 8884, EK 7966, SQ 1960, QR 5731, EY 8676S7 Airlines, El Al, Emirates, Singapore Airlines, Qatar Airways, Etihad Airways",Прилетел
