,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:25 4 июля,Салоники,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
1,Совершил посадку в 00:04 5 июля,Совершил посадку в 00:04 5 июля,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
2,21:00 4 июля,Сочи,,SU 1177Аэрофлот,B,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 00:21 5 июля,Совершил посадку в 00:21 5 июля,,SU 1177Аэрофлот,B,ПрилетелВыдача багажа: лента 4
4,23:00 4 июля,Анталья,,N4 1804Nordwind,D,ПрилетелВыдача багажа: лента 6
5,Совершил посадку в 00:19 5 июля,Совершил посадку в 00:19 5 июля,,N4 1804Nordwind,D,ПрилетелВыдача багажа: лента 6
6,23:25 4 июля,Минеральные Воды,,DP 6916Победа,D,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 02:17 5 июля,Совершил посадку в 02:17 5 июля,,DP 6916Победа,D,ПрилетелВыдача багажа: лента 2
8,23:35 4 июля,Санкт-Петербург,,DP 6822Победа,D,ПрилетелВыдача багажа: лента 2
9,Совершил посадку в 00:15 5 июля,Совершил посадку в 00:15 5 июля,,DP 6822Победа,D,ПрилетелВыдача багажа: лента 2
10,23:50 4 июля,Симферополь,,SU 1581Аэрофлот,B,ПрилетелВыдача багажа: лента 6
11,Совершил посадку в 00:56 5 июля,Совершил посадку в 00:56 5 июля,,SU 1581Аэрофлот,B,ПрилетелВыдача багажа: лента 6
12,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
13,Совершил посадку в 23:36 4 июля,Совершил посадку в 23:36 4 июля,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 5
14,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
15,Совершил посадку в 23:43 4 июля,Совершил посадку в 23:43 4 июля,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
16,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 6
17,Совершил посадку в 23:54 4 июля,Совершил посадку в 23:54 4 июля,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 6
18,00:10,Мугла,,N4 1848Nordwind,D,ПрилетелВыдача багажа: лента 9
19,Совершил посадку в 23:51 4 июля,Совершил посадку в 23:51 4 июля,,N4 1848Nordwind,D,ПрилетелВыдача багажа: лента 9
20,00:10,Мугла,,EO 1848Pegas Fly,D,ПрилетелВыдача багажа: лента 9
21,Совершил посадку в 23:51 4 июля,Совершил посадку в 23:51 4 июля,,EO 1848Pegas Fly,D,ПрилетелВыдача багажа: лента 9
22,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 00:01,Совершил посадку в 00:01,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 2
24,00:10,Анталья,,FV 5858Россия,D,
25,Отменен,Отменен,,FV 5858Россия,D,
26,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 4
27,Совершил посадку в 23:48 4 июля,Совершил посадку в 23:48 4 июля,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 4
28,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
29,Совершил посадку в 23:46 4 июля,Совершил посадку в 23:46 4 июля,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
30,00:25,Сплит,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 8
31,Совершил посадку в 00:11,Совершил посадку в 00:11,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 8
32,00:25,Санкт-Петербург,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 3
33,Совершил посадку в 00:15,Совершил посадку в 00:15,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 3
34,00:35,Оренбург,,N4 530Nordwind,D,ПрилетелВыдача багажа: лента 1
35,Совершил посадку в 01:09,Совершил посадку в 01:09,,N4 530Nordwind,D,ПрилетелВыдача багажа: лента 1
36,00:40,Сочи,,"SU 1131, KL 2859, JU 7041Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
37,Совершил посадку в 00:30,Совершил посадку в 00:30,,"SU 1131, KL 2859, JU 7041Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 4
38,00:50,Сочи,,"SU 1119, AZ 5552, KL 3197Аэрофлот, Alitalia, KLM",B,ПрилетелВыдача багажа: лента 3
39,Совершил посадку в 01:06,Совершил посадку в 01:06,,"SU 1119, AZ 5552, KL 3197Аэрофлот, Alitalia, KLM",B,ПрилетелВыдача багажа: лента 3
40,00:55,Симферополь,,SU 1661Аэрофлот,B,ПрилетелВыдача багажа: лента 5
41,Совершил посадку в 00:27,Совершил посадку в 00:27,,SU 1661Аэрофлот,B,ПрилетелВыдача багажа: лента 5
42,01:00,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
43,Совершил посадку в 00:39,Совершил посадку в 00:39,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
44,01:05,Джерба,,RL 7512Royal Flight,D,ПрилетелВыдача багажа: лента 8-9
45,Совершил посадку в 01:47,Совершил посадку в 01:47,,RL 7512Royal Flight,D,ПрилетелВыдача багажа: лента 8-9
46,01:10,Санкт-Петербург,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 1
47,Совершил посадку в 00:53,Совершил посадку в 00:53,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 1
48,01:20,Екатеринбург,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
49,Совершил посадку в 00:48,Совершил посадку в 00:48,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
50,01:30,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
51,Совершил посадку в 00:59,Совершил посадку в 00:59,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
52,01:30,Амстердам,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 6
53,Совершил посадку в 02:10,Совершил посадку в 02:10,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 6
54,01:55,Сочи,,FV 5608Россия,D,ПрилетелВыдача багажа: лента 1
55,Совершил посадку в 02:08,Совершил посадку в 02:08,,FV 5608Россия,D,ПрилетелВыдача багажа: лента 1
56,01:55,Ларнака,,FV 5702Россия,D,ПрилетелВыдача багажа: лента 8-9
57,Совершил посадку в 02:22,Совершил посадку в 02:22,,FV 5702Россия,D,ПрилетелВыдача багажа: лента 8-9
58,02:40,Симферополь,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
59,Совершил посадку в 02:15,Совершил посадку в 02:15,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
60,02:55,Санкт-Петербург,,"FV 6040, SU 6040Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
61,Совершил посадку в 02:38,Совершил посадку в 02:38,,"FV 6040, SU 6040Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
62,03:15,Дели,,AI 195Air India,F,ПрилетелВыдача багажа: лента 1-2
63,Совершил посадку в 02:43,Совершил посадку в 02:43,,AI 195Air India,F,ПрилетелВыдача багажа: лента 1-2
64,03:30,Анталья,,FV 5682Россия,D,ПрилетелВыдача багажа: лента 6
65,Совершил посадку в 03:29,Совершил посадку в 03:29,,FV 5682Россия,D,ПрилетелВыдача багажа: лента 6
66,04:35,Сыктывкар,,SU 1397Аэрофлот,B,ПрилетелВыдача багажа: лента 5
67,Совершил посадку в 03:56,Совершил посадку в 03:56,,SU 1397Аэрофлот,B,ПрилетелВыдача багажа: лента 5
68,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 4
69,Совершил посадку в 04:55,Совершил посадку в 04:55,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 4
