,Время,Направление,Unnamed: 2,Рейс,Статус
0,22:25 31 мар,Казань,,7R 862РусЛайн,ПрилетелВыдача багажа: лента 7
1,Совершил посадку в 00:38 1 апр,Совершил посадку в 00:38 1 апр,,7R 862РусЛайн,ПрилетелВыдача багажа: лента 7
2,00:35,Москва,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
3,Совершил посадку в 00:29,Совершил посадку в 00:29,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
4,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
5,Совершил посадку в 00:44,Совершил посадку в 00:44,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
6,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
7,Совершил посадку в 01:31,Совершил посадку в 01:31,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
8,02:15,Москва,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
9,Совершил посадку в 02:13,Совершил посадку в 02:13,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
10,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 10
11,Совершил посадку в 03:19,Совершил посадку в 03:19,,DP 403Победа,ПрилетелВыдача багажа: лента 10
12,03:30,Бишкек,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
13,Совершил посадку в 08:39,Совершил посадку в 08:39,,U6 8986Уральские авиалинии,ПрилетелВыдача багажа: лента 8
14,03:50,Москва,,N4 173Nordwind,ПрилетелВыдача багажа: лента 8
15,Совершил посадку в 03:35,Совершил посадку в 03:35,,N4 173Nordwind,ПрилетелВыдача багажа: лента 8
16,04:00,Москва,,"U6 271, B2 471Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
17,Совершил посадку в 03:48,Совершил посадку в 03:48,,"U6 271, B2 471Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 9
