,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:55 9 июня,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,
1,Отменен,Отменен,,"FV 6156, SU 6156Россия, Аэрофлот",B,
2,22:40 9 июня,Краснодар,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 3
3,Совершил посадку в 00:25 10 июня,Совершил посадку в 00:25 10 июня,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 3
4,23:20 9 июня,Уфа,,DP 6504Победа,D,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 00:56 10 июня,Совершил посадку в 00:56 10 июня,,DP 6504Победа,D,ПрилетелВыдача багажа: лента 2
6,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:31 9 июня,Совершил посадку в 23:31 9 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 2
8,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
9,Совершил посадку в 23:46 9 июня,Совершил посадку в 23:46 9 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
10,00:05,Сочи,,ФВ 5608Россия,D,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 00:01,Совершил посадку в 00:01,,ФВ 5608Россия,D,ПрилетелВыдача багажа: лента 1
12,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
13,Совершил посадку в 23:40 9 июня,Совершил посадку в 23:40 9 июня,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
14,00:10,Ханой,,QH 9194Air Kyrgyzstan,D,ПрилетелВыдача багажа: лента 8
15,Совершил посадку в 02:58,Совершил посадку в 02:58,,QH 9194Air Kyrgyzstan,D,ПрилетелВыдача багажа: лента 8
16,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 5
17,Совершил посадку в 23:45 9 июня,Совершил посадку в 23:45 9 июня,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 5
18,00:20,Челябинск,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 23:51 9 июня,Совершил посадку в 23:51 9 июня,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 1
20,00:25,Санкт-Петербург,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 5
21,Совершил посадку в 00:54,Совершил посадку в 00:54,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 5
22,00:40,Сочи,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 6
23,Совершил посадку в 00:12,Совершил посадку в 00:12,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 6
