,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:50 3 июля,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 00:15 4 июля,Совершил посадку в 00:15 4 июля,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 2
2,21:15 3 июля,Сочи,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
3,Совершил посадку в 01:05 4 июля,Совершил посадку в 01:05 4 июля,,FV 5612Россия,D,ПрилетелВыдача багажа: лента 1
4,22:30 3 июля,Сочи,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 01:44 4 июля,Совершил посадку в 01:44 4 июля,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 2
6,23:25 3 июля,Минеральные Воды,,DP 6916Победа,D,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 00:35 4 июля,Совершил посадку в 00:35 4 июля,,DP 6916Победа,D,ПрилетелВыдача багажа: лента 2
8,23:40 3 июля,Сочи,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 3
9,Совершил посадку в 00:09 4 июля,Совершил посадку в 00:09 4 июля,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 3
10,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
11,Совершил посадку в 23:37 3 июля,Совершил посадку в 23:37 3 июля,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
12,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 23:41 3 июля,Совершил посадку в 23:41 3 июля,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
14,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
15,Совершил посадку в 23:50 3 июля,Совершил посадку в 23:50 3 июля,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 8
16,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 23:52 3 июля,Совершил посадку в 23:52 3 июля,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
18,00:10,Геленджик,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 5
19,Совершил посадку в 23:58 3 июля,Совершил посадку в 23:58 3 июля,,SU 1085Аэрофлот,B,ПрилетелВыдача багажа: лента 5
20,00:15,Сплит,,SU 2049Аэрофлот,D,ПрилетелВыдача багажа: лента 7
21,Совершил посадку в 23:56 3 июля,Совершил посадку в 23:56 3 июля,,SU 2049Аэрофлот,D,ПрилетелВыдача багажа: лента 7
22,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
23,Совершил посадку в 00:20,Совершил посадку в 00:20,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
24,00:20,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
25,Совершил посадку в 00:45,Совершил посадку в 00:45,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
26,00:25,Санкт-Петербург,,"SU 31, AZ 4361, JU 7028Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 3
27,Совершил посадку в 00:12,Совершил посадку в 00:12,,"SU 31, AZ 4361, JU 7028Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 3
28,00:25,Салоники,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
29,Совершил посадку в 00:04 5 июля,Совершил посадку в 00:04 5 июля,,SU 2125Аэрофлот,D,ПрилетелВыдача багажа: лента 7
30,00:35,Анталья,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
31,,,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
32,00:40,Сочи,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 2
33,Совершил посадку в 00:15,Совершил посадку в 00:15,,"SU 1131, JU 7041, KL 2859Аэрофлот, Air Serbia, KLM",B,ПрилетелВыдача багажа: лента 2
34,00:45,Белград,,"SU 2097, JU 7075Аэрофлот, Air Serbia",D,ПрилетелВыдача багажа: лента 7
35,Совершил посадку в 00:33,Совершил посадку в 00:33,,"SU 2097, JU 7075Аэрофлот, Air Serbia",D,ПрилетелВыдача багажа: лента 7
36,00:50,Барселона,,SU 2515Аэрофлот,D,ПрилетелВыдача багажа: лента 6
37,Совершил посадку в 00:06,Совершил посадку в 00:06,,SU 2515Аэрофлот,D,ПрилетелВыдача багажа: лента 6
38,00:50,Сочи,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 4
39,Совершил посадку в 00:50,Совершил посадку в 00:50,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 4
40,01:00,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
41,Совершил посадку в 00:29,Совершил посадку в 00:29,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
42,01:10,Санкт-Петербург,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 2
43,Совершил посадку в 01:01,Совершил посадку в 01:01,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 2
44,01:15,Краснодар,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 3
45,Совершил посадку в 01:11,Совершил посадку в 01:11,,N4 362Nordwind,D,ПрилетелВыдача багажа: лента 3
46,01:20,Екатеринбург,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
47,Совершил посадку в 02:45,Совершил посадку в 02:45,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
48,01:25,Афины,,SU 2117Аэрофлот,D,ПрилетелВыдача багажа: лента 6
49,Совершил посадку в 01:35,Совершил посадку в 01:35,,SU 2117Аэрофлот,D,ПрилетелВыдача багажа: лента 6
50,01:30,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
51,Совершил посадку в 00:55,Совершил посадку в 00:55,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
52,01:30,Амстердам,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 8
53,Совершил посадку в 01:14,Совершил посадку в 01:14,,"KL 905, SU 3206KLM, Аэрофлот",D,ПрилетелВыдача багажа: лента 8
54,02:25,Монастир,,RL 7518Royal Flight,D,ПрилетелВыдача багажа: лента 9
55,Совершил посадку в 04:46,Совершил посадку в 04:46,,RL 7518Royal Flight,D,ПрилетелВыдача багажа: лента 9
56,02:30,Ереван,,"SU 1863, KL 2959Аэрофлот, KLM",D,ПрилетелВыдача багажа: лента 9
57,Совершил посадку в 01:51,Совершил посадку в 01:51,,"SU 1863, KL 2959Аэрофлот, KLM",D,ПрилетелВыдача багажа: лента 9
58,02:40,Симферополь,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
59,Совершил посадку в 02:21,Совершил посадку в 02:21,,"FV 6884, SU 6884Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
60,02:55,Санкт-Петербург,,"FV 6040, SU 6040Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
61,Совершил посадку в 02:40,Совершил посадку в 02:40,,"FV 6040, SU 6040Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
62,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
63,Совершил посадку в 04:08,Совершил посадку в 04:08,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
64,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
65,Совершил посадку в 04:31,Совершил посадку в 04:31,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 3
66,04:55,Дублин,,SU 2591Аэрофлот,D,ПрилетелВыдача багажа: лента 6
67,Совершил посадку в 04:51,Совершил посадку в 04:51,,SU 2591Аэрофлот,D,ПрилетелВыдача багажа: лента 6
68,05:00,Екатеринбург,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 3
69,Совершил посадку в 04:55,Совершил посадку в 04:55,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 3
70,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 6
71,Совершил посадку в 04:41,Совершил посадку в 04:41,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 6
72,05:10,Санкт-Петербург,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 4
73,Совершил посадку в 04:44,Совершил посадку в 04:44,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 4
