,Время,Направление,Unnamed: 2,Рейс,Статус
0,22:40 5 апр,Сочи,,DP 114Победа,ПрилетелВыдача багажа: лента А06
1,Совершил посадку в 01:49 6 апр,Совершил посадку в 01:49 6 апр,,DP 114Победа,ПрилетелВыдача багажа: лента А06
2,23:45 5 апр,Тюмень,,"UT 464, TK 9002ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
3,Совершил посадку в 00:11 6 апр,Совершил посадку в 00:11 6 апр,,"UT 464, TK 9002ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
4,23:45 5 апр,Самара,,"UT 358, TK 9007ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
5,Совершил посадку в 00:32 6 апр,Совершил посадку в 00:32 6 апр,,"UT 358, TK 9007ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
6,23:55 5 апр,Санкт-Петербург,,DP 212Победа,ПрилетелВыдача багажа: лента А04
7,Совершил посадку в 00:00 6 апр,Совершил посадку в 00:00 6 апр,,DP 212Победа,ПрилетелВыдача багажа: лента А04
8,00:05,Дубай,,"FZ 917, EK 2322Flydubai, Emirates",Нет актуальной информации о статусе
9,,,,"FZ 917, EK 2322Flydubai, Emirates",Нет актуальной информации о статусе
10,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
11,Совершил посадку в 00:16,Совершил посадку в 00:16,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
12,00:45,Грозный,,UT 400ЮТэйр,ПрилетелВыдача багажа: лента А05
13,Совершил посадку в 00:24,Совершил посадку в 00:24,,UT 400ЮТэйр,ПрилетелВыдача багажа: лента А05
14,04:50,Якутск,,"R3 479, 6R 4479Якутия, Алроса",ПрилетелВыдача багажа: лента А06
15,Совершил посадку в 05:00,Совершил посадку в 05:00,,"R3 479, 6R 4479Якутия, Алроса",ПрилетелВыдача багажа: лента А06
16,05:00,Стамбул,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А10
17,Совершил посадку в 04:49,Совершил посадку в 04:49,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А10
18,05:10,Новосибирск,,DP 420Победа,ПрилетелВыдача багажа: лента А05
19,Совершил посадку в 05:07,Совершил посадку в 05:07,,DP 420Победа,ПрилетелВыдача багажа: лента А05
20,05:35,Омск,,DP 472Победа,ПрилетелВыдача багажа: лента А08
21,Совершил посадку в 05:13,Совершил посадку в 05:13,,DP 472Победа,ПрилетелВыдача багажа: лента А08
22,06:05,Самара,,"UT 438, TK 9009ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
23,Совершил посадку в 05:41,Совершил посадку в 05:41,,"UT 438, TK 9009ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
24,06:15,Челябинск,,DP 414Победа,ПрилетелВыдача багажа: лента А05
25,Совершил посадку в 05:49,Совершил посадку в 05:49,,DP 414Победа,ПрилетелВыдача багажа: лента А05
26,06:15,Пермь,,DP 434Победа,ПрилетелВыдача багажа: лента А06
27,Совершил посадку в 06:02,Совершил посадку в 06:02,,DP 434Победа,ПрилетелВыдача багажа: лента А06
28,07:00,Курган,,DP 496Победа,ПрилетелВыдача багажа: лента А04
29,Совершил посадку в 06:27,Совершил посадку в 06:27,,DP 496Победа,ПрилетелВыдача багажа: лента А04
30,07:00,Краснодар,,UT 536ЮТэйр,ПрилетелВыдача багажа: лента А06
31,Совершил посадку в 06:57,Совершил посадку в 06:57,,UT 536ЮТэйр,ПрилетелВыдача багажа: лента А06
32,07:00,Новосибирск,,DP 1444Победа,ПрилетелВыдача багажа: лента А08
33,Совершил посадку в 07:16,Совершил посадку в 07:16,,DP 1444Победа,ПрилетелВыдача багажа: лента А08
34,07:10,Тюмень,,DP 450Победа,ПрилетелВыдача багажа: лента А08
35,Совершил посадку в 06:51,Совершил посадку в 06:51,,DP 450Победа,ПрилетелВыдача багажа: лента А08
36,07:10,Минеральные Воды,,UT 574ЮТэйр,ПрилетелВыдача багажа: лента А07
37,Совершил посадку в 07:05,Совершил посадку в 07:05,,UT 574ЮТэйр,ПрилетелВыдача багажа: лента А07
38,07:10,Ургенч,,HY 615Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
39,,,,HY 615Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
40,07:15,Уфа,,DP 436Победа,ПрилетелВыдача багажа: лента А05
41,Совершил посадку в 06:40,Совершил посадку в 06:40,,DP 436Победа,ПрилетелВыдача багажа: лента А05
42,07:20,Сургут,,DP 260Победа,ПрилетелВыдача багажа: лента А04
43,Совершил посадку в 07:11,Совершил посадку в 07:11,,DP 260Победа,ПрилетелВыдача багажа: лента А04
44,07:20,Сочи,,"UT 580, TK 9156ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
45,Совершил посадку в 07:30,Совершил посадку в 07:30,,"UT 580, TK 9156ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
46,07:35,Санкт-Петербург,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
47,Совершил посадку в 07:45,Совершил посадку в 07:45,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
48,07:50,Курган,,"UT 266, TK 9043ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
49,Совершил посадку в 07:20,Совершил посадку в 07:20,,"UT 266, TK 9043ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
50,07:55,Екатеринбург,,DP 406Победа,ПрилетелВыдача багажа: лента А07
51,Совершил посадку в 07:33,Совершил посадку в 07:33,,DP 406Победа,ПрилетелВыдача багажа: лента А07
52,08:00,Тюмень,,"UT 454, TK 9000ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
53,Совершил посадку в 07:58,Совершил посадку в 07:58,,"UT 454, TK 9000ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
54,08:05,Красноярск,,"UT 572, TK 9027ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А08
55,Совершил посадку в 07:39,Совершил посадку в 07:39,,"UT 572, TK 9027ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А08
56,08:10,Сыктывкар,,UT 380ЮТэйр,ПрилетелВыдача багажа: лента А05
57,Совершил посадку в 07:47,Совершил посадку в 07:47,,UT 380ЮТэйр,ПрилетелВыдача багажа: лента А05
58,08:10,Уфа,,"UT 364, TK 9049ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
59,Совершил посадку в 07:55,Совершил посадку в 07:55,,"UT 364, TK 9049ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
60,08:15,Сургут,,"UT 248, TK 9031ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
61,Совершил посадку в 08:13,Совершил посадку в 08:13,,"UT 248, TK 9031ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А06
62,08:20,Красноярск,,DP 418Победа,ПрилетелВыдача багажа: лента А05
63,Совершил посадку в 08:03,Совершил посадку в 08:03,,DP 418Победа,ПрилетелВыдача багажа: лента А05
64,08:20,Санкт-Петербург,,DP 204Победа,ПрилетелВыдача багажа: лента А04
65,Совершил посадку в 08:27,Совершил посадку в 08:27,,DP 204Победа,ПрилетелВыдача багажа: лента А04
66,08:20,Кемерово,,DP 446Победа,ПрилетелВыдача багажа: лента А07
67,Совершил посадку в 08:31,Совершил посадку в 08:31,,DP 446Победа,ПрилетелВыдача багажа: лента А07
68,08:50,Курск,,7R 120РусЛайн,ПрилетелВыдача багажа: лента А04
69,Совершил посадку в 08:24,Совершил посадку в 08:24,,7R 120РусЛайн,ПрилетелВыдача багажа: лента А04
70,08:50,Махачкала,,"UT 560, TK 9160ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А08
71,Совершил посадку в 08:33,Совершил посадку в 08:33,,"UT 560, TK 9160ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А08
72,09:00,Краснодар,,DP 160Победа,ПрилетелВыдача багажа: лента А06
73,Совершил посадку в 08:54,Совершил посадку в 08:54,,DP 160Победа,ПрилетелВыдача багажа: лента А06
74,09:00,Ургенч,,ZF 5032Azur Air,
75,Отменен,Отменен,,ZF 5032Azur Air,
76,09:05,Санкт-Петербург,,DP 206Победа,ПрилетелВыдача багажа: лента А04
77,Совершил посадку в 09:00,Совершил посадку в 09:00,,DP 206Победа,ПрилетелВыдача багажа: лента А04
78,09:10,Ханты-Мансийск,,"UT 352, TK 9013ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
79,Совершил посадку в 08:41,Совершил посадку в 08:41,,"UT 352, TK 9013ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
80,09:10,Нукус,,HY 625Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
81,,,,HY 625Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
82,09:20,Иркутск,,DP 454Победа,ПрилетелВыдача багажа: лента А07
83,Совершил посадку в 09:15,Совершил посадку в 09:15,,DP 454Победа,ПрилетелВыдача багажа: лента А07
84,09:20,Псков,,A4 302Азимут,ПрилетелВыдача багажа: лента А04
85,Совершил посадку в 09:32,Совершил посадку в 09:32,,A4 302Азимут,ПрилетелВыдача багажа: лента А04
86,09:25,Ростов-на-Дону,,A4 201Азимут,ПрилетелВыдача багажа: лента А05
87,Совершил посадку в 09:20,Совершил посадку в 09:20,,A4 201Азимут,ПрилетелВыдача багажа: лента А05
88,09:25,Улан-Удэ,,DP 426Победа,ПрилетелВыдача багажа: лента А06
89,Совершил посадку в 09:29,Совершил посадку в 09:29,,DP 426Победа,ПрилетелВыдача багажа: лента А06
90,09:35,Санкт-Петербург,,"FV 6017, SU 6017Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
91,Совершил посадку в 09:36,Совершил посадку в 09:36,,"FV 6017, SU 6017Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
92,09:40,Горно-Алтайск,,DP 474Победа,ПрилетелВыдача багажа: лента А08
93,Совершил посадку в 09:23,Совершил посадку в 09:23,,DP 474Победа,ПрилетелВыдача багажа: лента А08
94,10:15,Ташкент,,HY 603Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
95,,,,HY 603Узбекистон Хаво Йуллари,Нет актуальной информации о статусе
96,10:30,Махачкала,,DP 188Победа,ПрилетелВыдача багажа: лента А05
97,Совершил посадку в 10:12,Совершил посадку в 10:12,,DP 188Победа,ПрилетелВыдача багажа: лента А05
98,10:30,Стамбул,,"TK 413, UT 4413Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А10
99,Совершил посадку в 10:22,Совершил посадку в 10:22,,"TK 413, UT 4413Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А10
100,10:30,Тегеран,,W5 84Mahan Airlines,Нет актуальной информации о статусе
101,,,,W5 84Mahan Airlines,Нет актуальной информации о статусе
102,10:35,Санкт-Петербург,,"FV 6027, SU 6027Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
103,Совершил посадку в 10:37,Совершил посадку в 10:37,,"FV 6027, SU 6027Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
104,10:50,Ереван,,RM 930Armenia,ПрилетелВыдача багажа: лента А13
105,Совершил посадку в 13:22,Совершил посадку в 13:22,,RM 930Armenia,ПрилетелВыдача багажа: лента А13
106,11:00,Дакка,,ZF 3403Azur Air,ПрилетелВыдача багажа: лента А09
107,Совершил посадку в 11:17,Совершил посадку в 11:17,,ZF 3403Azur Air,ПрилетелВыдача багажа: лента А09
108,11:35,Чебоксары,,DP 460Победа,ПрилетелВыдача багажа: лента А07
109,Совершил посадку в 11:42,Совершил посадку в 11:42,,DP 460Победа,ПрилетелВыдача багажа: лента А07
110,11:40,Саратов,,DP 476Победа,ПрилетелВыдача багажа: лента А06
111,Совершил посадку в 11:53,Совершил посадку в 11:53,,DP 476Победа,ПрилетелВыдача багажа: лента А06
112,11:55,Астрахань,,DP 164Победа,ПрилетелВыдача багажа: лента А07
113,Совершил посадку в 12:04,Совершил посадку в 12:04,,DP 164Победа,ПрилетелВыдача багажа: лента А07
114,12:00,Калининград,,"UT 390, TK 9077ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
115,Совершил посадку в 11:46,Совершил посадку в 11:46,,"UT 390, TK 9077ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А05
116,12:05,Ульяновск,,DP 486Победа,ПрилетелВыдача багажа: лента А04
117,Совершил посадку в 11:50,Совершил посадку в 11:50,,DP 486Победа,ПрилетелВыдача багажа: лента А04
118,12:10,Калининград,,DP 262Победа,ПрилетелВыдача багажа: лента А08
119,Совершил посадку в 11:57,Совершил посадку в 11:57,,DP 262Победа,ПрилетелВыдача багажа: лента А08
120,12:20,Минеральные Воды,,"R3 480, 6R 4480Якутия, Алроса",ПрилетелВыдача багажа: лента А05
121,Совершил посадку в 12:01,Совершил посадку в 12:01,,"R3 480, 6R 4480Якутия, Алроса",ПрилетелВыдача багажа: лента А05
122,12:50,Ставрополь,,DP 186Победа,ПрилетелВыдача багажа: лента А05
123,Совершил посадку в 12:37,Совершил посадку в 12:37,,DP 186Победа,ПрилетелВыдача багажа: лента А05
124,12:50,Сочи,,DP 120Победа,ПрилетелВыдача багажа: лента А05
125,Совершил посадку в 13:12,Совершил посадку в 13:12,,DP 120Победа,ПрилетелВыдача багажа: лента А05
126,13:05,Минеральные Воды,,DP 168Победа,ПрилетелВыдача багажа: лента А06
127,Совершил посадку в 12:46,Совершил посадку в 12:46,,DP 168Победа,ПрилетелВыдача багажа: лента А06
128,13:10,Санкт-Петербург,,"FV 6013, SU 6013Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
129,Совершил посадку в 13:06,Совершил посадку в 13:06,,"FV 6013, SU 6013Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
130,13:25,Назрань,,DP 174Победа,ПрилетелВыдача багажа: лента А04
131,Совершил посадку в 13:38,Совершил посадку в 13:38,,DP 174Победа,ПрилетелВыдача багажа: лента А04
132,13:45,Краснодар,,DP 156Победа,ПрилетелВыдача багажа: лента А05
133,Совершил посадку в 13:47,Совершил посадку в 13:47,,DP 156Победа,ПрилетелВыдача багажа: лента А05
134,13:55,Анталья,,ZF 8882Azur Air,Нет актуальной информации о статусе
135,,,,ZF 8882Azur Air,Нет актуальной информации о статусе
