,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,23:35 11 июня,Сочи,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 2
1,Совершил посадку в 00:04 12 июня,Совершил посадку в 00:04 12 июня,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 2
2,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 23:44 11 июня,Совершил посадку в 23:44 11 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 4
4,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 23:53 11 июня,Совершил посадку в 23:53 11 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
6,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 9
7,Совершил посадку в 00:08,Совершил посадку в 00:08,,"AF 1654, DL 8644Air France, Delta Airlines",D,ПрилетелВыдача багажа: лента 9
8,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 1
9,Совершил посадку в 23:42 11 июня,Совершил посадку в 23:42 11 июня,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 1
10,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 5
11,Совершил посадку в 23:45 11 июня,Совершил посадку в 23:45 11 июня,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 5
12,00:20,Челябинск,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 6
13,Совершил посадку в 23:48 11 июня,Совершил посадку в 23:48 11 июня,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 6
14,00:25,Сплит,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 6
15,Совершил посадку в 23:59 11 июня,Совершил посадку в 23:59 11 июня,,SU 2047Аэрофлот,D,ПрилетелВыдача багажа: лента 6
16,00:25,Санкт-Петербург,,"SU 31, AZ 4361, JU 7028Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 00:01,Совершил посадку в 00:01,,"SU 31, AZ 4361, JU 7028Аэрофлот, Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
18,00:35,Ростов-на-Дону,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 00:36,Совершил посадку в 00:36,,N4 188Nordwind,D,ПрилетелВыдача багажа: лента 1
20,00:40,Сочи,,"SU 1131, KL 2859, JU 7041Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 6
21,Совершил посадку в 00:21,Совершил посадку в 00:21,,"SU 1131, KL 2859, JU 7041Аэрофлот, KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 6
22,00:50,Сочи,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 5
23,Совершил посадку в 00:27,Совершил посадку в 00:27,,"SU 1119, KL 3197, AZ 5552Аэрофлот, KLM, Alitalia",B,ПрилетелВыдача багажа: лента 5
24,01:10,Санкт-Петербург,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 2
25,Совершил посадку в 01:05,Совершил посадку в 01:05,,"SU 45, JU 7032, AZ 5561Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 2
26,01:20,Екатеринбург,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
27,Совершил посадку в 00:55,Совершил посадку в 00:55,,"FV 6400, SU 6400Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
28,01:30,Симферополь,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
29,Совершил посадку в 01:31,Совершил посадку в 01:31,,"FV 6156, SU 6156Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
30,01:40,Анапа,,SU 1579Аэрофлот,B,ПрилетелВыдача багажа: лента 1
31,Совершил посадку в 01:35,Совершил посадку в 01:35,,SU 1579Аэрофлот,B,ПрилетелВыдача багажа: лента 1
32,01:55,Минеральные Воды,,"EO 616, N4 616Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
33,Совершил посадку в 01:39,Совершил посадку в 01:39,,"EO 616, N4 616Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 4
34,03:25,Казань,,"EO 186, N4 186Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
35,Совершил посадку в 03:14,Совершил посадку в 03:14,,"EO 186, N4 186Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 1
36,03:40,Пермь,,EO 202Pegas Fly,D,ПрилетелВыдача багажа: лента 3
37,Совершил посадку в 03:33,Совершил посадку в 03:33,,EO 202Pegas Fly,D,ПрилетелВыдача багажа: лента 3
38,03:40,Пермь,,N4 202Nordwind,D,ПрилетелВыдача багажа: лента 3
39,Совершил посадку в 03:33,Совершил посадку в 03:33,,N4 202Nordwind,D,ПрилетелВыдача багажа: лента 3
40,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
41,Совершил посадку в 04:06,Совершил посадку в 04:06,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
42,04:40,Сочи,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 2
43,Совершил посадку в 04:34,Совершил посадку в 04:34,,SU 1595Аэрофлот,B,ПрилетелВыдача багажа: лента 2
44,04:55,Минеральные Воды,,"SU 1315, KL 3243Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
45,Совершил посадку в 04:22,Совершил посадку в 04:22,,"SU 1315, KL 3243Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
46,05:00,Екатеринбург,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
47,Совершил посадку в 04:45,Совершил посадку в 04:45,,DP 6542Победа,D,ПрилетелВыдача багажа: лента 4
48,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 3
49,Совершил посадку в 04:54,Совершил посадку в 04:54,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 3
50,05:10,Санкт-Петербург,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 4
51,Совершил посадку в 04:52,Совершил посадку в 04:52,,SU 37Аэрофлот,B,ПрилетелВыдача багажа: лента 4
52,05:10,Мурманск,,"SU 1323, KL 2850Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
53,Совершил посадку в 05:04,Совершил посадку в 05:04,,"SU 1323, KL 2850Аэрофлот, KLM",B,ПрилетелВыдача багажа: лента 5
54,05:10,Ханой,,VN 63Vietnam Airlines,D,Нет актуальной информации о статусе
55,,,,VN 63Vietnam Airlines,D,Нет актуальной информации о статусе
56,05:15,Анапа,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 6
57,Совершил посадку в 04:59,Совершил посадку в 04:59,,SU 1145Аэрофлот,B,ПрилетелВыдача багажа: лента 6
58,05:15,Краснодар,,KL 2902KLM,B,ПрилетелВыдача багажа: лента 1
