,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,11:40 12 июня,Шанхай,,SU 209Аэрофлот,D,
1,Отменен,Отменен,,SU 209Аэрофлот,D,
2,23:40 12 июня,Сочи,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 4
3,Совершил посадку в 00:15 13 июня,Совершил посадку в 00:15 13 июня,,DP 6942Победа,D,ПрилетелВыдача багажа: лента 4
4,00:05,Симферополь,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
5,Совершил посадку в 23:45 12 июня,Совершил посадку в 23:45 12 июня,,SU 1659Аэрофлот,B,ПрилетелВыдача багажа: лента 6
6,00:05,Мурманск,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 23:47 12 июня,Совершил посадку в 23:47 12 июня,,"FV 6384, SU 6384Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
8,00:10,Анапа,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
9,Совершил посадку в 23:37 12 июня,Совершил посадку в 23:37 12 июня,,SU 1543Аэрофлот,B,ПрилетелВыдача багажа: лента 4
10,00:15,Ростов-на-Дону,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
11,Совершил посадку в 23:40 12 июня,Совершил посадку в 23:40 12 июня,,SU 1677Аэрофлот,B,ПрилетелВыдача багажа: лента 3
12,00:15,Сплит,,SU 2049Аэрофлот,D,ПрилетелВыдача багажа: лента 7
13,Совершил посадку в 00:12,Совершил посадку в 00:12,,SU 2049Аэрофлот,D,ПрилетелВыдача багажа: лента 7
14,00:20,Челябинск,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 2
15,Совершил посадку в 23:43 12 июня,Совершил посадку в 23:43 12 июня,,SU 1427Аэрофлот,B,ПрилетелВыдача багажа: лента 2
16,00:25,Санкт-Петербург,,"SU 31, JU 7028, AZ 4361Аэрофлот, Air Serbia, Alitalia",B,ПрилетелВыдача багажа: лента 1
