,Время,Направление,Unnamed: 2,Рейс,Статус
77,,,,N4 1842ЦNordwind,Нет актуальной информации о статусе
78,13:25,Новосибирск,,WZ 436Red Wings,ПрилетелВыдача багажа: лента 8
79,Совершил посадку в 13:03,Совершил посадку в 13:03,,WZ 436Red Wings,ПрилетелВыдача багажа: лента 8
80,13:35,Симферополь,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 9
81,Совершил посадку в 13:16,Совершил посадку в 13:16,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 9
82,13:40,Сочи,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 10
83,Совершил посадку в 13:49,Совершил посадку в 13:49,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 10
84,13:55,Москва,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
85,Совершил посадку в 13:28,Совершил посадку в 13:28,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
86,14:05,Томск,,WZ 1004Red Wings,ПрилетелВыдача багажа: лента 9
87,Совершил посадку в 13:39,Совершил посадку в 13:39,,WZ 1004Red Wings,ПрилетелВыдача багажа: лента 9
88,14:15,Москва,,DP 407Победа,ПрилетелВыдача багажа: лента 10
89,Совершил посадку в 13:54,Совершил посадку в 13:54,,DP 407Победа,ПрилетелВыдача багажа: лента 10
90,14:15,Москва,,U6 261Уральские авиалинии,ПрилетелВыдача багажа: лента 8
91,Совершил посадку в 14:02,Совершил посадку в 14:02,,U6 261Уральские авиалинии,ПрилетелВыдача багажа: лента 8
92,14:40,Душанбе,,7R 5548РусЛайн,ПрилетелВыдача багажа: лента 1
93,Совершил посадку в 15:35,Совершил посадку в 15:35,,7R 5548РусЛайн,ПрилетелВыдача багажа: лента 1
94,14:45,Новосибирск,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 9
95,Совершил посадку в 14:27,Совершил посадку в 14:27,,S7 5017S7 Airlines,ПрилетелВыдача багажа: лента 9
96,14:50,Якутск,,R3 467Якутия,ПрилетелВыдача багажа: лента 7
97,Совершил посадку в 14:41,Совершил посадку в 14:41,,R3 467Якутия,ПрилетелВыдача багажа: лента 7
98,15:10,Дубай,,FZ 1901Flydubai,ПрилетелВыдача багажа: лента 2
99,Совершил посадку в 15:13,Совершил посадку в 15:13,,FZ 1901Flydubai,ПрилетелВыдача багажа: лента 2
100,15:50,Москва,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 10
101,Совершил посадку в 15:08,Совершил посадку в 15:08,,"SU 1402, JU 7105Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 10
102,17:00,Ларнака,,U6 7028Уральские авиалинии,ПрилетелВыдача багажа: лента 3
103,Совершил посадку в 16:35,Совершил посадку в 16:35,,U6 7028Уральские авиалинии,ПрилетелВыдача багажа: лента 3
104,17:20,Советский,,UT 336ЮТэйр,ПрилетелВыдача багажа: лента 7
105,Совершил посадку в 16:57,Совершил посадку в 16:57,,UT 336ЮТэйр,ПрилетелВыдача багажа: лента 7
106,17:25,Омск,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
107,Совершил посадку в 17:05,Совершил посадку в 17:05,,WZ 1072Red Wings,ПрилетелВыдача багажа: лента 8
108,17:25,Ноябрьск,,YC 250Ямал,ПрилетелВыдача багажа: лента 9
109,Совершил посадку в 17:09,Совершил посадку в 17:09,,YC 250Ямал,ПрилетелВыдача багажа: лента 9
110,17:30,Симферополь,,"EO 132, N4 132Pegas Fly, Nordwind",ПрилетелВыдача багажа: лента 10
111,Совершил посадку в 17:14,Совершил посадку в 17:14,,"EO 132, N4 132Pegas Fly, Nordwind",ПрилетелВыдача багажа: лента 10
112,17:35,Шарджа,,FV 5742Россия,ПрилетелВыдача багажа: лента 2
113,Совершил посадку в 17:31,Совершил посадку в 17:31,,FV 5742Россия,ПрилетелВыдача багажа: лента 2
114,17:35,Москва,,U6 269Уральские авиалинии,ПрилетелВыдача багажа: лента 8
115,Совершил посадку в 17:56,Совершил посадку в 17:56,,U6 269Уральские авиалинии,ПрилетелВыдача багажа: лента 8
116,17:45,Калуга,,7R 846РусЛайн,ПрилетелВыдача багажа: лента 7
117,Совершил посадку в 17:01,Совершил посадку в 17:01,,7R 846РусЛайн,ПрилетелВыдача багажа: лента 7
118,17:50,Москва,,"SU 1412, JU 7064Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
119,Совершил посадку в 17:25,Совершил посадку в 17:25,,"SU 1412, JU 7064Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
120,17:50,Нижний Новгород,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 10
121,Совершил посадку в 17:28,Совершил посадку в 17:28,,WZ 1030Red Wings,ПрилетелВыдача багажа: лента 10
122,19:10,Тюмень,,UT 279ЮТэйр,ПрилетелВыдача багажа: лента 7
