,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
618,18:10,Симферополь,,SU 1623Аэрофлот,B,ПрилетелВыдача багажа: лента 3
619,Совершил посадку в 17:41,Совершил посадку в 17:41,,SU 1623Аэрофлот,B,ПрилетелВыдача багажа: лента 3
620,18:15,Ростов-на-Дону,,JU 7079Air Serbia,B,ПрилетелВыдача багажа: лента 2
621,Совершил посадку в 17:49,Совершил посадку в 17:49,,JU 7079Air Serbia,B,ПрилетелВыдача багажа: лента 2
622,18:15,Ростов-на-Дону,,SU 1157Аэрофлот,B,ПрилетелВыдача багажа: лента 2
623,Совершил посадку в 17:49,Совершил посадку в 17:49,,SU 1157Аэрофлот,B,ПрилетелВыдача багажа: лента 2
624,18:20,Бишкек,,SU 1887Аэрофлот,D,ПрилетелВыдача багажа: лента 6
625,Совершил посадку в 17:39,Совершил посадку в 17:39,,SU 1887Аэрофлот,D,ПрилетелВыдача багажа: лента 6
626,18:25,Самара,,"SU 1213, JU 7055Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 6
627,Совершил посадку в 17:46,Совершил посадку в 17:46,,"SU 1213, JU 7055Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 6
628,18:30,Сочи,,SU 1123Аэрофлот,B,ПрилетелВыдача багажа: лента 5
629,Совершил посадку в 17:55,Совершил посадку в 17:55,,SU 1123Аэрофлот,B,ПрилетелВыдача багажа: лента 5
630,18:30,Сочи,,JU 7037Air Serbia,B,ПрилетелВыдача багажа: лента 5
631,Совершил посадку в 17:55,Совершил посадку в 17:55,,JU 7037Air Serbia,B,ПрилетелВыдача багажа: лента 5
632,18:30,Екатеринбург,,N4 174Nordwind,D,ПрилетелВыдача багажа: лента 4
633,Совершил посадку в 18:18,Совершил посадку в 18:18,,N4 174Nordwind,D,ПрилетелВыдача багажа: лента 4
634,18:30,Екатеринбург,,EO 174Pegas Fly,D,ПрилетелВыдача багажа: лента 4
635,Совершил посадку в 18:18,Совершил посадку в 18:18,,EO 174Pegas Fly,D,ПрилетелВыдача багажа: лента 4
636,18:35,Франкфурт-на-Майне,,SU 2657Аэрофлот,D,ПрилетелВыдача багажа: лента 8
637,Совершил посадку в 18:02,Совершил посадку в 18:02,,SU 2657Аэрофлот,D,ПрилетелВыдача багажа: лента 8
638,18:35,Тюмень,,"FV 6374, SU 6374Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
639,Совершил посадку в 18:14,Совершил посадку в 18:14,,"FV 6374, SU 6374Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 1
640,18:35,Штутгарт,,SU 2337Аэрофлот,D,ПрилетелВыдача багажа: лента 6
641,Совершил посадку в 18:26,Совершил посадку в 18:26,,SU 2337Аэрофлот,D,ПрилетелВыдача багажа: лента 6
642,18:40,Нижний Новгород,,"FV 6230, SU 6230Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
643,Совершил посадку в 18:24,Совершил посадку в 18:24,,"FV 6230, SU 6230Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
644,18:40,Минск,,SU 1843Аэрофлот,F,ПрилетелВыдача багажа: лента 1
645,Совершил посадку в 18:30,Совершил посадку в 18:30,,SU 1843Аэрофлот,F,ПрилетелВыдача багажа: лента 1
646,18:45,Барселона,,SU 2639Аэрофлот,D,ПрилетелВыдача багажа: лента 7
647,Совершил посадку в 18:05,Совершил посадку в 18:05,,SU 2639Аэрофлот,D,ПрилетелВыдача багажа: лента 7
648,18:45,Новосибирск,,SU 1461Аэрофлот,B,ПрилетелВыдача багажа: лента 4
649,Совершил посадку в 18:16,Совершил посадку в 18:16,,SU 1461Аэрофлот,B,ПрилетелВыдача багажа: лента 4
650,18:45,Новосибирск,,JU 7085Air Serbia,B,ПрилетелВыдача багажа: лента 4
651,Совершил посадку в 18:16,Совершил посадку в 18:16,,JU 7085Air Serbia,B,ПрилетелВыдача багажа: лента 4
652,18:50,Красноярск,,SU 1487Аэрофлот,B,ПрилетелВыдача багажа: лента 3
653,Совершил посадку в 18:22,Совершил посадку в 18:22,,SU 1487Аэрофлот,B,ПрилетелВыдача багажа: лента 3
654,18:50,Дюссельдорф,,SU 2153Аэрофлот,D,ПрилетелВыдача багажа: лента 8
655,Совершил посадку в 18:48,Совершил посадку в 18:48,,SU 2153Аэрофлот,D,ПрилетелВыдача багажа: лента 8
656,18:55,Анапа,,SU 1575Аэрофлот,B,ПрилетелВыдача багажа: лента 6
