,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,21:10 5 мая,Сочи,,N4 316Nordwind,D,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 00:22 6 мая,Совершил посадку в 00:22 6 мая,,N4 316Nordwind,D,ПрилетелВыдача багажа: лента 1
2,22:30 5 мая,Сочи,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 1
3,Совершил посадку в 00:22 6 мая,Совершил посадку в 00:22 6 мая,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 1
4,00:05 6 мая,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 6
5,Совершил посадку в 23:49 5 мая,Совершил посадку в 23:49 5 мая,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 6
6,00:05 6 мая,Мурманск,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 6
7,Совершил посадку в 23:49 5 мая,Совершил посадку в 23:49 5 мая,,KL 3285KLM,B,ПрилетелВыдача багажа: лента 6
8,00:15 6 мая,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 1
9,Совершил посадку в 23:37 5 мая,Совершил посадку в 23:37 5 мая,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 1
10,00:15 6 мая,Сочи,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 1
11,Совершил посадку в 23:37 5 мая,Совершил посадку в 23:37 5 мая,,"KL 2859, JU 7041KLM, Air Serbia",B,ПрилетелВыдача багажа: лента 1
12,00:20 6 мая,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
13,Совершил посадку в 23:44 5 мая,Совершил посадку в 23:44 5 мая,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
14,00:25 6 мая,Санкт-Петербург,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
15,Совершил посадку в 23:54 5 мая,Совершил посадку в 23:54 5 мая,,"AZ 4361, JU 7028Alitalia, Air Serbia",B,ПрилетелВыдача багажа: лента 4
16,00:25 6 мая,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
17,Совершил посадку в 23:54 5 мая,Совершил посадку в 23:54 5 мая,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 4
18,00:25,Сочи,,EO 316Pegas Fly,D,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 00:22,Совершил посадку в 00:22,,EO 316Pegas Fly,D,ПрилетелВыдача багажа: лента 1
20,00:35,Анталья,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
21,,,,ZF 9008Azur Air,D,Нет актуальной информации о статусе
22,00:55,Мале,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
23,Совершил посадку в 00:02,Совершил посадку в 00:02,,SU 325Аэрофлот,D,ПрилетелВыдача багажа: лента 9
24,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 3
25,Совершил посадку в 00:36,Совершил посадку в 00:36,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 3
26,00:55,Сочи,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 3
27,Совершил посадку в 00:36,Совершил посадку в 00:36,,"KL 3197, AZ 5552KLM, Alitalia",B,ПрилетелВыдача багажа: лента 3
28,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
29,Совершил посадку в 04:07,Совершил посадку в 04:07,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 5
30,04:55,Минеральные Воды,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 3
31,Совершил посадку в 04:21,Совершил посадку в 04:21,,KL 3243KLM,B,ПрилетелВыдача багажа: лента 3
32,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 3
33,Совершил посадку в 04:21,Совершил посадку в 04:21,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 3
34,05:05,Симферополь,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 2
35,Совершил посадку в 04:29,Совершил посадку в 04:29,,SU 1627Аэрофлот,B,ПрилетелВыдача багажа: лента 2
36,05:10,Мурманск,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
37,Совершил посадку в 04:57,Совершил посадку в 04:57,,KL 2850KLM,B,ПрилетелВыдача багажа: лента 6
38,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
39,Совершил посадку в 04:57,Совершил посадку в 04:57,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 6
40,05:10,Сочи,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 1
41,Совершил посадку в 05:03,Совершил посадку в 05:03,,FV 5502Россия,D,ПрилетелВыдача багажа: лента 1
42,05:30,Баку,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 9
43,Совершил посадку в 04:33,Совершил посадку в 04:33,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 9
44,05:45,Екатеринбург,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
45,Совершил посадку в 05:30,Совершил посадку в 05:30,,KL 2874KLM,B,ПрилетелВыдача багажа: лента 6
46,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
47,Совершил посадку в 05:30,Совершил посадку в 05:30,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
48,05:45,Челябинск,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 2
49,Совершил посадку в 05:31,Совершил посадку в 05:31,,N4 180Nordwind,D,ПрилетелВыдача багажа: лента 2
50,05:50,Уфа,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
51,Совершил посадку в 05:28,Совершил посадку в 05:28,,SU 1239Аэрофлот,B,ПрилетелВыдача багажа: лента 5
52,05:50,Уфа,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 5
53,Совершил посадку в 05:28,Совершил посадку в 05:28,,KL 2888KLM,B,ПрилетелВыдача багажа: лента 5
54,06:05,Калининград,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 1
55,Совершил посадку в 05:26,Совершил посадку в 05:26,,KL 2914KLM,B,ПрилетелВыдача багажа: лента 1
56,06:05,Калининград,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 1
57,Совершил посадку в 05:26,Совершил посадку в 05:26,,SU 1009Аэрофлот,B,ПрилетелВыдача багажа: лента 1
58,06:05,Оренбург,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 3
59,Совершил посадку в 05:39,Совершил посадку в 05:39,,KL 3256KLM,B,ПрилетелВыдача багажа: лента 3
60,06:05,Оренбург,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 3
61,Совершил посадку в 05:39,Совершил посадку в 05:39,,SU 1245Аэрофлот,B,ПрилетелВыдача багажа: лента 3
62,06:05,Челябинск,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
63,Совершил посадку в 05:47,Совершил посадку в 05:47,,"FV 6276, SU 6276Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
64,06:10,Новосибирск,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 5
65,Совершил посадку в 05:44,Совершил посадку в 05:44,,KL 3226KLM,B,ПрилетелВыдача багажа: лента 5
66,06:10,Новосибирск,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 5
67,Совершил посадку в 05:44,Совершил посадку в 05:44,,SU 1549Аэрофлот,B,ПрилетелВыдача багажа: лента 5
68,06:15,Нижний Новгород,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
69,Совершил посадку в 05:42,Совершил посадку в 05:42,,SU 1223Аэрофлот,B,ПрилетелВыдача багажа: лента 4
70,06:15,Сургут,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
71,Совершил посадку в 05:52,Совершил посадку в 05:52,,SU 1511Аэрофлот,B,ПрилетелВыдача багажа: лента 6
72,06:15,Сургут,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
73,Совершил посадку в 05:52,Совершил посадку в 05:52,,AZ 5674Alitalia,B,ПрилетелВыдача багажа: лента 6
74,06:20,Тюмень,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
75,Совершил посадку в 05:56,Совершил посадку в 05:56,,"FV 6366, SU 6366Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
76,06:25,Бишкек,,SU 1881Аэрофлот,D,ПрилетелВыдача багажа: лента 9
77,Совершил посадку в 05:36,Совершил посадку в 05:36,,SU 1881Аэрофлот,D,ПрилетелВыдача багажа: лента 9
78,06:25,Санкт-Петербург,,SU 35Аэрофлот,B,ПрилетелВыдача багажа: лента 1
