,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:00,Самара,,"UT 358, 7R 4358ЮТэйр, РусЛайн",Прилетел
1,Совершил посадку в 00:00,Совершил посадку в 00:00,,"UT 358, 7R 4358ЮТэйр, РусЛайн",Прилетел
2,00:00,Самара,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А08
3,Совершил посадку в 00:07,Совершил посадку в 00:07,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А08
4,00:05 10 мая,Дубай,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
5,Совершил посадку в 23:59 9 мая,Совершил посадку в 23:59 9 мая,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
6,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
7,Совершил посадку в 00:03,Совершил посадку в 00:03,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
8,02:30,Кельн,,V8 636Атран,Нет актуальной информации о статусе
9,,,,V8 636Атран,Нет актуальной информации о статусе
10,03:50,Калининград,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
11,Совершил посадку в 03:21,Совершил посадку в 03:21,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
12,04:15,Варадеро,,ZF 556Azur Air,ПрилетелВыдача багажа: лента А10
13,Совершил посадку в 04:01,Совершил посадку в 04:01,,ZF 556Azur Air,ПрилетелВыдача багажа: лента А10
14,04:35,Льеж,,V8 815Атран,Нет актуальной информации о статусе
15,,,,V8 815Атран,Нет актуальной информации о статусе
16,05:10,Новосибирск,,DP 420Победа,ПрилетелВыдача багажа: лента А05
17,Совершил посадку в 05:11,Совершил посадку в 05:11,,DP 420Победа,ПрилетелВыдача багажа: лента А05
18,05:35,Омск,,DP 472Победа,ПрилетелВыдача багажа: лента А07
19,Совершил посадку в 05:18,Совершил посадку в 05:18,,DP 472Победа,ПрилетелВыдача багажа: лента А07
20,05:45,Мурманск,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
21,Совершил посадку в 05:23,Совершил посадку в 05:23,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
22,06:10,Сургут,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
23,Совершил посадку в 06:02,Совершил посадку в 06:02,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
24,06:15,Челябинск,,DP 414Победа,ПрилетелВыдача багажа: лента А05
25,Совершил посадку в 05:52,Совершил посадку в 05:52,,DP 414Победа,ПрилетелВыдача багажа: лента А05
26,06:15,Пермь,,DP 434Победа,ПрилетелВыдача багажа: лента А06
27,Совершил посадку в 05:57,Совершил посадку в 05:57,,DP 434Победа,ПрилетелВыдача багажа: лента А06
28,07:00,Курган,,DP 496Победа,ПрилетелВыдача багажа: лента А04
29,Совершил посадку в 06:36,Совершил посадку в 06:36,,DP 496Победа,ПрилетелВыдача багажа: лента А04
30,07:00,Новосибирск,,DP 1444Победа,ПрилетелВыдача багажа: лента А08
31,Совершил посадку в 06:47,Совершил посадку в 06:47,,DP 1444Победа,ПрилетелВыдача багажа: лента А08
