,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
1,Совершил посадку в 01:30,Совершил посадку в 01:30,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
2,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
3,Совершил посадку в 01:22,Совершил посадку в 01:22,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
4,02:15,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
5,Совершил посадку в 02:28,Совершил посадку в 02:28,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 9
6,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 8
7,Совершил посадку в 03:00,Совершил посадку в 03:00,,DP 403Победа,ПрилетелВыдача багажа: лента 8
8,03:35,Симферополь,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 10
9,Совершил посадку в 02:52,Совершил посадку в 02:52,,WZ 7067Red Wings,ПрилетелВыдача багажа: лента 10
10,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 10
11,Совершил посадку в 03:36,Совершил посадку в 03:36,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 10
12,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 10
13,Совершил посадку в 03:36,Совершил посадку в 03:36,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 10
14,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 7
15,Совершил посадку в 04:02,Совершил посадку в 04:02,,DP 405Победа,ПрилетелВыдача багажа: лента 7
16,04:35,Москва,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 8
17,Совершил посадку в 04:13,Совершил посадку в 04:13,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 8
18,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 9
19,Совершил посадку в 04:09,Совершил посадку в 04:09,,DP 515Победа,ПрилетелВыдача багажа: лента 9
20,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 10
21,Совершил посадку в 04:45,Совершил посадку в 04:45,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 10
22,04:55,Сочи,,FV 5614Россия,ПрилетелВыдача багажа: лента 8
23,Совершил посадку в 05:45,Совершил посадку в 05:45,,FV 5614Россия,ПрилетелВыдача багажа: лента 8
24,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 9
25,Совершил посадку в 04:50,Совершил посадку в 04:50,,DP 339Победа,ПрилетелВыдача багажа: лента 9
26,05:20,Москва,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
27,Совершил посадку в 04:47,Совершил посадку в 04:47,,"S7 1171, B2 171, EK 7863, EY 8718S7 Airlines, Белавиа, Emirates, Etihad Airways",ПрилетелВыдача багажа: лента 7
28,06:20,Краснодар,,DP 564Победа,ПрилетелВыдача багажа: лента 10
29,Совершил посадку в 06:11,Совершил посадку в 06:11,,DP 564Победа,ПрилетелВыдача багажа: лента 10
30,06:25,Санкт-Петербург,,WZ 793Red Wings,ПрилетелВыдача багажа: лента 9
31,Совершил посадку в 05:54,Совершил посадку в 05:54,,WZ 793Red Wings,ПрилетелВыдача багажа: лента 9
32,06:25,Москва,,SU 1436Аэрофлот,ПрилетелВыдача багажа: лента 7
33,Совершил посадку в 06:03,Совершил посадку в 06:03,,SU 1436Аэрофлот,ПрилетелВыдача багажа: лента 7
34,06:30,Самарканд,,ZF 5096Azur Air,"ПрилетелВыдача багажа: лента 2,3"
35,Совершил посадку в 06:54,Совершил посадку в 06:54,,ZF 5096Azur Air,"ПрилетелВыдача багажа: лента 2,3"
36,09:05,Симферополь,,WZ 727Red Wings,ПрилетелВыдача багажа: лента 8
37,Совершил посадку в 08:39,Совершил посадку в 08:39,,WZ 727Red Wings,ПрилетелВыдача багажа: лента 8
38,09:45,Сургут,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
39,Совершил посадку в 09:59,Совершил посадку в 09:59,,UT 111ЮТэйр,ПрилетелВыдача багажа: лента 7
40,10:45,Якутск,,R3 467Якутия,ПрилетелВыдача багажа: лента 8
41,Совершил посадку в 11:15,Совершил посадку в 11:15,,R3 467Якутия,ПрилетелВыдача багажа: лента 8
42,11:10,Москва,,"SU 1410, JU 7068Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
43,Совершил посадку в 10:44,Совершил посадку в 10:44,,"SU 1410, JU 7068Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 9
44,11:25,Новый Уренгой,,YC 222Ямал,ПрилетелВыдача багажа: лента 10
45,Совершил посадку в 11:21,Совершил посадку в 11:21,,YC 222Ямал,ПрилетелВыдача багажа: лента 10
46,11:35,Красноярск,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
47,Совершил посадку в 11:35,Совершил посадку в 11:35,,U6 247Уральские авиалинии,ПрилетелВыдача багажа: лента 8
48,11:55,Братск,,WZ 1202Red Wings,ПрилетелВыдача багажа: лента 9
49,Совершил посадку в 11:42,Совершил посадку в 11:42,,WZ 1202Red Wings,ПрилетелВыдача багажа: лента 9
50,11:55,Ханты-Мансийск,,UT 301ЮТэйр,ПрилетелВыдача багажа: лента 7
51,Совершил посадку в 11:57,Совершил посадку в 11:57,,UT 301ЮТэйр,ПрилетелВыдача багажа: лента 7
52,12:05,Уфа,,WZ 1026Red Wings,ПрилетелВыдача багажа: лента 10
53,Совершил посадку в 11:40,Совершил посадку в 11:40,,WZ 1026Red Wings,ПрилетелВыдача багажа: лента 10
54,12:10,Чита,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 8
55,Совершил посадку в 11:53,Совершил посадку в 11:53,,U6 623Уральские авиалинии,ПрилетелВыдача багажа: лента 8
56,13:00,Владивосток,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 10
57,Совершил посадку в 13:42,Совершил посадку в 13:42,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 10
58,13:25,Новосибирск,,WZ 436Red Wings,ПрилетелВыдача багажа: лента 9
59,Совершил посадку в 12:39,Совершил посадку в 12:39,,WZ 436Red Wings,ПрилетелВыдача багажа: лента 9
60,13:35,Симферополь,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
61,Совершил посадку в 13:14,Совершил посадку в 13:14,,U6 2932Уральские авиалинии,ПрилетелВыдача багажа: лента 10
62,13:40,Сочи,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
63,Совершил посадку в 13:38,Совершил посадку в 13:38,,U6 220Уральские авиалинии,ПрилетелВыдача багажа: лента 7
64,13:55,Москва,,"SU 1416, JU 7107Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 8
