,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,00:05 6 апр,Мурманск,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
1,Совершил посадку в 23:50 5 апр,Совершил посадку в 23:50 5 апр,,SU 1317Аэрофлот,B,ПрилетелВыдача багажа: лента 3
2,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
3,,,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
4,00:15,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
5,Совершил посадку в 02:31,Совершил посадку в 02:31,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
6,00:15,Сочи,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
7,Совершил посадку в 02:31,Совершил посадку в 02:31,,JU 7041Air Serbia,B,ПрилетелВыдача багажа: лента 2
8,00:20 6 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
9,Совершил посадку в 23:42 5 апр,Совершил посадку в 23:42 5 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 4
10,00:20,Челябинск,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
11,,,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
12,00:25,Санкт-Петербург,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 2
13,Совершил посадку в 00:11,Совершил посадку в 00:11,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 2
14,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
15,Совершил посадку в 00:11,Совершил посадку в 00:11,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 2
16,00:55,Анталья,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 9
17,Совершил посадку в 00:30,Совершил посадку в 00:30,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 9
18,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
19,Совершил посадку в 00:45,Совершил посадку в 00:45,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
20,01:30,Амстердам,,KL 905KLM,D,Нет актуальной информации о статусе
21,,,,KL 905KLM,D,Нет актуальной информации о статусе
22,01:45,Санкт-Петербург,,SU 7201Аэрофлот,D,ПрилетелВыдача багажа: лента 1
23,Совершил посадку в 01:32,Совершил посадку в 01:32,,SU 7201Аэрофлот,D,ПрилетелВыдача багажа: лента 1
24,04:05,Стамбул,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
25,Совершил посадку в 03:33,Совершил посадку в 03:33,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
26,04:05,Стамбул,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
27,Совершил посадку в 03:33,Совершил посадку в 03:33,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
28,04:20,Ижевск,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
29,,,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
30,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
31,Совершил посадку в 04:06,Совершил посадку в 04:06,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
32,04:35,Сыктывкар,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
33,,,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
34,04:45,Махачкала,,SU 1057Аэрофлот,B,ПрилетелВыдача багажа: лента 5
