,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
0,23:50 4 апр,Сочи,,EO 226Pegas Fly,D,ПрилетелВыдача багажа: лента 1
1,Совершил посадку в 00:15 5 апр,Совершил посадку в 00:15 5 апр,,EO 226Pegas Fly,D,ПрилетелВыдача багажа: лента 1
2,23:50 4 апр,Сочи,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 1
3,Совершил посадку в 00:15 5 апр,Совершил посадку в 00:15 5 апр,,N4 226Nordwind,D,ПрилетелВыдача багажа: лента 1
4,00:05,Париж,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
5,,,,"AF 1654, DL 8644Air France, Delta Airlines",E,Нет актуальной информации о статусе
6,00:05,Анталья,,FV 5856Россия,D,ПрилетелВыдача багажа: лента 9
7,Совершил посадку в 00:20,Совершил посадку в 00:20,,FV 5856Россия,D,ПрилетелВыдача багажа: лента 9
8,00:05,Мурманск,,SU 1317Аэрофлот,B,
9,Отменен,Отменен,,SU 1317Аэрофлот,B,
10,00:15,Сочи,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
11,Совершил посадку в 02:43,Совершил посадку в 02:43,,SU 1131Аэрофлот,B,ПрилетелВыдача багажа: лента 2
12,00:20 5 апр,Челябинск,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
13,Совершил посадку в 23:42 4 апр,Совершил посадку в 23:42 4 апр,,"FV 6262, SU 6262Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 3
14,00:20,Челябинск,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
15,,,,SU 1427Аэрофлот,B,Нет актуальной информации о статусе
16,00:25,Санкт-Петербург,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
17,Совершил посадку в 00:19,Совершил посадку в 00:19,,SU 31Аэрофлот,B,ПрилетелВыдача багажа: лента 1
18,00:25,Санкт-Петербург,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 1
19,Совершил посадку в 00:19,Совершил посадку в 00:19,,JU 7028Air Serbia,B,ПрилетелВыдача багажа: лента 1
20,00:55,Анталья,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
21,Совершил посадку в 00:39,Совершил посадку в 00:39,,SU 2147Аэрофлот,D,ПрилетелВыдача багажа: лента 7
22,00:55,Сочи,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
23,Совершил посадку в 00:49,Совершил посадку в 00:49,,SU 1119Аэрофлот,B,ПрилетелВыдача багажа: лента 2
24,01:00,Ростов-на-Дону,,U6 9090Уральские авиалинии,D,Нет актуальной информации о статусе
25,,,,U6 9090Уральские авиалинии,D,Нет актуальной информации о статусе
26,01:15,Сочи,,FV 5504Россия,D,ПрилетелВыдача багажа: лента 4
27,Совершил посадку в 01:20,Совершил посадку в 01:20,,FV 5504Россия,D,ПрилетелВыдача багажа: лента 4
28,01:30,Амстердам,,KL 905KLM,D,Нет актуальной информации о статусе
29,,,,KL 905KLM,D,Нет актуальной информации о статусе
30,03:10,Ростов-на-Дону,,SU 1791Аэрофлот,B,ПрилетелВыдача багажа: лента 5
31,Совершил посадку в 03:04,Совершил посадку в 03:04,,SU 1791Аэрофлот,B,ПрилетелВыдача багажа: лента 5
32,04:05,Стамбул,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
33,Совершил посадку в 03:20,Совершил посадку в 03:20,,SU 2139Аэрофлот,D,ПрилетелВыдача багажа: лента 8
34,04:05,Стамбул,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
35,Совершил посадку в 03:20,Совершил посадку в 03:20,,JU 7008Air Serbia,D,ПрилетелВыдача багажа: лента 8
36,04:20,Ижевск,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
37,,,,SU 1295Аэрофлот,B,Нет актуальной информации о статусе
38,04:35,Сыктывкар,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
39,Совершил посадку в 04:04,Совершил посадку в 04:04,,"FV 6408, SU 6408Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
40,04:35,Сыктывкар,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
41,,,,SU 1397Аэрофлот,B,Нет актуальной информации о статусе
42,04:45,Махачкала,,SU 1057Аэрофлот,B,ПрилетелВыдача багажа: лента 4
43,Совершил посадку в 04:14,Совершил посадку в 04:14,,SU 1057Аэрофлот,B,ПрилетелВыдача багажа: лента 4
44,04:50,Ростов-на-Дону,,SU 1675Аэрофлот,B,Нет актуальной информации о статусе
45,,,,SU 1675Аэрофлот,B,Нет актуальной информации о статусе
46,04:50,Архангельск,,SU 1335Аэрофлот,B,Нет актуальной информации о статусе
47,,,,SU 1335Аэрофлот,B,Нет актуальной информации о статусе
48,04:55,Минеральные Воды,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
49,Совершил посадку в 04:23,Совершил посадку в 04:23,,SU 1315Аэрофлот,B,ПрилетелВыдача багажа: лента 2
50,05:10,Мурманск,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
51,Совершил посадку в 05:03,Совершил посадку в 05:03,,SU 1323Аэрофлот,B,ПрилетелВыдача багажа: лента 5
52,05:20,Архангельск,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
53,Совершил посадку в 05:05,Совершил посадку в 05:05,,"FV 6340, SU 6340Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 6
54,05:25,Магнитогорск,,"EO 340, N4 340Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
55,Совершил посадку в 06:38,Совершил посадку в 06:38,,"EO 340, N4 340Pegas Fly, Nordwind",D,ПрилетелВыдача багажа: лента 3
56,05:30,Баку,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 7
57,Совершил посадку в 04:52,Совершил посадку в 04:52,,SU 1851Аэрофлот,D,ПрилетелВыдача багажа: лента 7
58,05:35,Дели,,SU 233Аэрофлот,D,ПрилетелВыдача багажа: лента 9
59,Совершил посадку в 05:00,Совершил посадку в 05:00,,SU 233Аэрофлот,D,ПрилетелВыдача багажа: лента 9
60,05:45,Екатеринбург,,SU 1409Аэрофлот,B,ПрилетелВыдача багажа: лента 6
