,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:00,Сыктывкар,,МП 9672Меридиан,ПрилетелВыдача багажа: лента 9
1,Совершил посадку в 01:02,Совершил посадку в 01:02,,МП 9672Меридиан,ПрилетелВыдача багажа: лента 9
2,00:30,Анталья,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
3,Совершил посадку в 00:22,Совершил посадку в 00:22,,RL 8072Royal Flight,ПрилетелВыдача багажа: лента 2
4,00:35,Москва,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
5,Совершил посадку в 00:28,Совершил посадку в 00:28,,"U6 263, B2 463Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
6,00:45,Сочи,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
7,Совершил посадку в 00:34,Совершил посадку в 00:34,,7R 878РусЛайн,ПрилетелВыдача багажа: лента 7
8,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
9,Совершил посадку в 01:18,Совершил посадку в 01:18,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 8
10,02:15 11 апр,Москва,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
11,Совершил посадку в 02:05 12 апр,Совершил посадку в 02:05 12 апр,,"U6 265, B2 465Уральские авиалинии, Белавиа",ПрилетелВыдача багажа: лента 10
12,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 10
13,Совершил посадку в 03:04,Совершил посадку в 03:04,,DP 403Победа,ПрилетелВыдача багажа: лента 10
14,03:55,Анталья,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 3
15,Совершил посадку в 04:05,Совершил посадку в 04:05,,ZF 9696Azur Air,ПрилетелВыдача багажа: лента 3
16,04:10,Москва,,"SU 1408, JU 7067Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 7
17,Совершил посадку в 03:40,Совершил посадку в 03:40,,"SU 1408, JU 7067Аэрофлот, Air Serbia",ПрилетелВыдача багажа: лента 7
