,Время,Направление,Unnamed: 2,Рейс,Статус
0,19:50 24 июня,Сургут,,"UT 296, 7R 4296ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
1,Совершил посадку в 03:29 25 июня,Совершил посадку в 03:29 25 июня,,"UT 296, 7R 4296ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
2,22:55 24 июня,Гюмри,,DP 856Победа,ПрилетелВыдача багажа: лента А13
3,Совершил посадку в 00:59 25 июня,Совершил посадку в 00:59 25 июня,,DP 856Победа,ПрилетелВыдача багажа: лента А13
4,23:40 24 июня,Тюмень,,"UT 464, 7R 4464, TK 9002ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А06
5,Совершил посадку в 00:00 25 июня,Совершил посадку в 00:00 25 июня,,"UT 464, 7R 4464, TK 9002ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А06
6,23:45 24 июня,Махачкала,,DP 200Победа,ПрилетелВыдача багажа: лента А05
7,Совершил посадку в 00:26 25 июня,Совершил посадку в 00:26 25 июня,,DP 200Победа,ПрилетелВыдача багажа: лента А05
8,23:55 24 июня,Сочи,,DP 118Победа,ПрилетелВыдача багажа: лента А05
9,Совершил посадку в 01:37 25 июня,Совершил посадку в 01:37 25 июня,,DP 118Победа,ПрилетелВыдача багажа: лента А05
10,00:00,Сыктывкар,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
11,Совершил посадку в 23:36 24 июня,Совершил посадку в 23:36 24 июня,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А07
12,00:00,Самара,,"UT 358, TK 9007, 7R 4358ЮТэйр, Turkish Airlines, РусЛайн",ПрилетелВыдача багажа: лента А05
13,Совершил посадку в 23:42 24 июня,Совершил посадку в 23:42 24 июня,,"UT 358, TK 9007, 7R 4358ЮТэйр, Turkish Airlines, РусЛайн",ПрилетелВыдача багажа: лента А05
14,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
15,Совершил посадку в 00:07,Совершил посадку в 00:07,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
16,01:05,Анталья,,TK 4001Turkish Airlines,ПрилетелВыдача багажа: лента А10
17,Совершил посадку в 00:54,Совершил посадку в 00:54,,TK 4001Turkish Airlines,ПрилетелВыдача багажа: лента А10
18,01:40,Монастир,,BJ 852Nouvelair Tunisie,Нет актуальной информации о статусе
19,,,,BJ 852Nouvelair Tunisie,Нет актуальной информации о статусе
20,01:45,Анталья,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А11
21,Совершил посадку в 01:23,Совершил посадку в 01:23,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",ПрилетелВыдача багажа: лента А11
