,Время,Направление,Unnamed: 2,Рейс,Статус
0,18:20 11 июня,Сочи,,"R3 474, 6R 4474Якутия, Алроса",ПрилетелВыдача багажа: лента А07
1,Совершил посадку в 03:44 12 июня,Совершил посадку в 03:44 12 июня,,"R3 474, 6R 4474Якутия, Алроса",ПрилетелВыдача багажа: лента А07
2,23:30 11 июня,Калининград,,DP 264Победа,ПрилетелВыдача багажа: лента А07
3,Совершил посадку в 00:04 12 июня,Совершил посадку в 00:04 12 июня,,DP 264Победа,ПрилетелВыдача багажа: лента А07
4,00:00,Сыктывкар,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А04
5,Совершил посадку в 23:39 11 июня,Совершил посадку в 23:39 11 июня,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А04
6,00:00,Самара,,"UT 358, 7R 4358, TK 9007ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А05
7,Совершил посадку в 01:45,Совершил посадку в 01:45,,"UT 358, 7R 4358, TK 9007ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А05
8,00:05,Дубай,,"FZ 1917, EK 2322Flydubai, Emirates",ПрилетелВыдача багажа: лента А10
9,Совершил посадку в 23:58 11 июня,Совершил посадку в 23:58 11 июня,,"FZ 1917, EK 2322Flydubai, Emirates",ПрилетелВыдача багажа: лента А10
10,00:10,Анапа,,DP 1148Победа,ПрилетелВыдача багажа: лента А08
11,Совершил посадку в 23:56 11 июня,Совершил посадку в 23:56 11 июня,,DP 1148Победа,ПрилетелВыдача багажа: лента А08
12,00:15,Анталья,,EO 1818Pegas Fly,Нет актуальной информации о статусе
13,,,,EO 1818Pegas Fly,Нет актуальной информации о статусе
14,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
15,Совершил посадку в 00:02,Совершил посадку в 00:02,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
16,00:50,Геленджик,,7R 152РусЛайн,ПрилетелВыдача багажа: лента А04
17,Совершил посадку в 00:18,Совершил посадку в 00:18,,7R 152РусЛайн,ПрилетелВыдача багажа: лента А04
18,00:55,Уфа,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
19,Совершил посадку в 01:20,Совершил посадку в 01:20,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
20,02:55,Душанбе,,UT 6804ЮТэйр,
21,Отменен,Отменен,,UT 6804ЮТэйр,
22,02:55,Махачкала,,DP 188Победа,ПрилетелВыдача багажа: лента А06
23,Совершил посадку в 03:10,Совершил посадку в 03:10,,DP 188Победа,ПрилетелВыдача багажа: лента А06
24,03:10,Монастир,,BJ 892Nouvelair Tunisie,Нет актуальной информации о статусе
25,,,,BJ 892Nouvelair Tunisie,Нет актуальной информации о статусе
26,03:15,Минеральные Воды,,"UT 574, 7R 4574ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
27,Совершил посадку в 02:53,Совершил посадку в 02:53,,"UT 574, 7R 4574ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
28,03:20,Анапа,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А04
29,Совершил посадку в 03:12,Совершил посадку в 03:12,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А04
30,03:20,Карши,,UT 9013ЮТэйр,ПрилетелВыдача багажа: лента А10
31,Совершил посадку в 03:47,Совершил посадку в 03:47,,UT 9013ЮТэйр,ПрилетелВыдача багажа: лента А10
32,03:40,Краснодар,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
33,Совершил посадку в 04:26,Совершил посадку в 04:26,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А04
34,04:30,Калининград,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
35,Совершил посадку в 04:13,Совершил посадку в 04:13,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
36,04:30,Сочи,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А08
37,Совершил посадку в 07:28,Совершил посадку в 07:28,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А08
38,05:10,Новосибирск,,DP 420Победа,ПрилетелВыдача багажа: лента А05
39,Совершил посадку в 05:12,Совершил посадку в 05:12,,DP 420Победа,ПрилетелВыдача багажа: лента А05
40,05:35,Омск,,DP 472Победа,ПрилетелВыдача багажа: лента А07
41,Совершил посадку в 05:16,Совершил посадку в 05:16,,DP 472Победа,ПрилетелВыдача багажа: лента А07
42,05:45,Мурманск,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
43,Совершил посадку в 05:34,Совершил посадку в 05:34,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
44,06:00,Кайо-Коко,,ZF 536Azur Air,ПрилетелВыдача багажа: лента А10
45,Совершил посадку в 05:48,Совершил посадку в 05:48,,ZF 536Azur Air,ПрилетелВыдача багажа: лента А10
46,06:05,Самара,,"UT 438, 7R 4438, TK 9009ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А04
47,Совершил посадку в 05:50,Совершил посадку в 05:50,,"UT 438, 7R 4438, TK 9009ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А04
48,06:10,Сургут,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
49,Совершил посадку в 06:15,Совершил посадку в 06:15,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
50,06:15,Челябинск,,DP 414Победа,ПрилетелВыдача багажа: лента А08
51,Совершил посадку в 06:10,Совершил посадку в 06:10,,DP 414Победа,ПрилетелВыдача багажа: лента А08
52,06:20,Пермь,,DP 434Победа,ПрилетелВыдача багажа: лента А07
53,Совершил посадку в 06:20,Совершил посадку в 06:20,,DP 434Победа,ПрилетелВыдача багажа: лента А07
54,06:30,Екатеринбург,,DP 406Победа,ПрилетелВыдача багажа: лента А06
55,Совершил посадку в 06:17,Совершил посадку в 06:17,,DP 406Победа,ПрилетелВыдача багажа: лента А06
56,07:00,Курган,,DP 496Победа,ПрилетелВыдача багажа: лента А05
57,Совершил посадку в 06:26,Совершил посадку в 06:26,,DP 496Победа,ПрилетелВыдача багажа: лента А05
58,07:10,Тюмень,,DP 450Победа,ПрилетелВыдача багажа: лента А05
59,Совершил посадку в 07:03,Совершил посадку в 07:03,,DP 450Победа,ПрилетелВыдача багажа: лента А05
60,07:15,Уфа,,DP 436Победа,ПрилетелВыдача багажа: лента А06
61,Совершил посадку в 06:43,Совершил посадку в 06:43,,DP 436Победа,ПрилетелВыдача багажа: лента А06
