,Время,Направление,Unnamed: 2,Рейс,Статус
0,18:50 11 июня,Симферополь,,U6 34Уральские авиалинии,Прилетел
1,Совершил посадку в 01:09 12 июня,Совершил посадку в 01:09 12 июня,,U6 34Уральские авиалинии,Прилетел
2,20:20 11 июня,Симферополь,,U6 576Уральские авиалинии,Прилетел
3,Совершил посадку в 00:38 12 июня,Совершил посадку в 00:38 12 июня,,U6 576Уральские авиалинии,Прилетел
4,20:50 11 июня,Анапа,,U6 158Уральские авиалинии,Прилетел
5,Совершил посадку в 00:39 12 июня,Совершил посадку в 00:39 12 июня,,U6 158Уральские авиалинии,Прилетел
6,22:35 11 июня,Сочи,,U6 278Уральские авиалинии,Прилетел
7,Совершил посадку в 00:29 12 июня,Совершил посадку в 00:29 12 июня,,U6 278Уральские авиалинии,Прилетел
8,23:15 11 июня,Краснодар,,5N 282Smartavia,Прилетел
9,Совершил посадку в 00:37 12 июня,Совершил посадку в 00:37 12 июня,,5N 282Smartavia,Прилетел
10,23:40 11 июня,Симферополь,,U6 2842Уральские авиалинии,Прилетел
11,Совершил посадку в 00:38 12 июня,Совершил посадку в 00:38 12 июня,,U6 2842Уральские авиалинии,Прилетел
12,23:45 11 июня,Калининград,,U6 74Уральские авиалинии,Прилетел
13,Совершил посадку в 05:18 12 июня,Совершил посадку в 05:18 12 июня,,U6 74Уральские авиалинии,Прилетел
14,23:55 11 июня,Санкт-Петербург,,"S7 1020, AT 9010, EK 7816, A3 3522S7 Airlines, Royal Air Maroc, Emirates, Aegean Airlines",Прилетел
15,Совершил посадку в 00:06 12 июня,Совершил посадку в 00:06 12 июня,,"S7 1020, AT 9010, EK 7816, A3 3522S7 Airlines, Royal Air Maroc, Emirates, Aegean Airlines",Прилетел
16,00:20,Ростов-на-Дону,,5N 272Smartavia,Прилетел
17,Совершил посадку в 00:12,Совершил посадку в 00:12,,5N 272Smartavia,Прилетел
18,00:20,Анапа,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
19,Совершил посадку в 00:31,Совершил посадку в 00:31,,"S7 2108, KC 1508, EK 7912S7 Airlines, Air Astana, Emirates",Прилетел
20,00:20,Краснодар,,"S7 2078, AT 9002S7 Airlines, Royal Air Maroc",Прилетел
