,Время,Направление,Unnamed: 2,Рейс,Статус
0,20:40 10 июня,Симферополь,,R3 782Якутия,ПрилетелВыдача багажа: лента А05
1,Совершил посадку в 00:14 11 июня,Совершил посадку в 00:14 11 июня,,R3 782Якутия,ПрилетелВыдача багажа: лента А05
2,23:05 10 июня,Грозный,,UT 562ЮТэйр,ПрилетелВыдача багажа: лента А08
3,Совершил посадку в 00:05 11 июня,Совершил посадку в 00:05 11 июня,,UT 562ЮТэйр,ПрилетелВыдача багажа: лента А08
4,23:55 10 июня,Сочи,,DP 118Победа,ПрилетелВыдача багажа: лента А06
5,Совершил посадку в 00:02 11 июня,Совершил посадку в 00:02 11 июня,,DP 118Победа,ПрилетелВыдача багажа: лента А06
6,00:00,Сыктывкар,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А04
7,Совершил посадку в 23:31 10 июня,Совершил посадку в 23:31 10 июня,,"UT 376, TK 9089ЮТэйр, Turkish Airlines",ПрилетелВыдача багажа: лента А04
8,00:00,Самара,,"UT 358, 7R 4358, TK 9007ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А06
9,Совершил посадку в 00:08,Совершил посадку в 00:08,,"UT 358, 7R 4358, TK 9007ЮТэйр, РусЛайн, Turkish Airlines",ПрилетелВыдача багажа: лента А06
10,00:05,Уфа,,UT 1364ЮТэйр,ПрилетелВыдача багажа: лента А04
11,Совершил посадку в 23:41 10 июня,Совершил посадку в 23:41 10 июня,,UT 1364ЮТэйр,ПрилетелВыдача багажа: лента А04
12,00:15,Анталья,,EO 1818Pegas Fly,Нет актуальной информации о статусе
13,,,,EO 1818Pegas Fly,Нет актуальной информации о статусе
14,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
15,Совершил посадку в 00:11,Совершил посадку в 00:11,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
16,01:40,Монастир,,BJ 852Nouvelair Tunisie,Нет актуальной информации о статусе
17,,,,BJ 852Nouvelair Tunisie,Нет актуальной информации о статусе
18,02:55,Махачкала,,DP 188Победа,ПрилетелВыдача багажа: лента А04
19,Совершил посадку в 02:29,Совершил посадку в 02:29,,DP 188Победа,ПрилетелВыдача багажа: лента А04
20,03:15,Минеральные Воды,,"UT 574, 7R 4574ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
