,Время,Направление,Unnamed: 2,Рейс,Статус
0,19:20 4 июня,Минеральные Воды,,R3 480Якутия,ПрилетелВыдача багажа: лента А05
1,Совершил посадку в 01:01 5 июня,Совершил посадку в 01:01 5 июня,,R3 480Якутия,ПрилетелВыдача багажа: лента А05
2,23:05 4 июня,Махачкала,,"UT 448, 7R 4448ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
3,Совершил посадку в 00:12 5 июня,Совершил посадку в 00:12 5 июня,,"UT 448, 7R 4448ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
4,00:00,Сыктывкар,,TK 9089Turkish Airlines,ПрилетелВыдача багажа: лента А07
5,Совершил посадку в 23:38 4 июня,Совершил посадку в 23:38 4 июня,,TK 9089Turkish Airlines,ПрилетелВыдача багажа: лента А07
6,00:00,Сыктывкар,,UT 376ЮТэйр,ПрилетелВыдача багажа: лента А07
7,Совершил посадку в 23:38 4 июня,Совершил посадку в 23:38 4 июня,,UT 376ЮТэйр,ПрилетелВыдача багажа: лента А07
8,00:00,Самара,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А05
9,Совершил посадку в 00:03,Совершил посадку в 00:03,,TK 9007Turkish Airlines,ПрилетелВыдача багажа: лента А05
10,00:00,Самара,,"UT 358, 7R 4358ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
11,Совершил посадку в 00:03,Совершил посадку в 00:03,,"UT 358, 7R 4358ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
12,00:05,Дубай,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
13,Совершил посадку в 23:57 4 июня,Совершил посадку в 23:57 4 июня,,FZ 1917Flydubai,ПрилетелВыдача багажа: лента А10
14,00:15,Анталья,,EO 1818Pegas Fly,Нет актуальной информации о статусе
15,,,,EO 1818Pegas Fly,Нет актуальной информации о статусе
16,00:35,Санкт-Петербург,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
17,Совершил посадку в 00:06,Совершил посадку в 00:06,,"FV 6021, SU 6021Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
18,00:55,Уфа,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
19,Совершил посадку в 01:52,Совершил посадку в 01:52,,"UT 592, 7R 4592ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
20,01:45,Анталья,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",Нет актуальной информации о статусе
21,,,,"TK 211, UT 4211Turkish Airlines, ЮТэйр",Нет актуальной информации о статусе
22,02:55,Махачкала,,DP 188Победа,ПрилетелВыдача багажа: лента А05
23,Совершил посадку в 02:50,Совершил посадку в 02:50,,DP 188Победа,ПрилетелВыдача багажа: лента А05
24,02:55,Анкара,,TK 7698AnadoluJet,
25,Отменен,Отменен,,TK 7698AnadoluJet,
26,02:55,Душанбе,,UT 6804ЮТэйр,ПрилетелВыдача багажа: лента А10
27,Совершил посадку в 03:09,Совершил посадку в 03:09,,UT 6804ЮТэйр,ПрилетелВыдача багажа: лента А10
28,03:10,Монастир,,BJ 892Nouvelair Tunisie,Нет актуальной информации о статусе
29,,,,BJ 892Nouvelair Tunisie,Нет актуальной информации о статусе
30,03:20,Анапа,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А06
31,Совершил посадку в 03:32,Совершил посадку в 03:32,,UT 458ЮТэйр,ПрилетелВыдача багажа: лента А06
32,03:40,Краснодар,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
33,Совершил посадку в 03:52,Совершил посадку в 03:52,,"UT 508, 7R 4508ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
34,04:30,Сочи,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А06
35,Совершил посадку в 04:24,Совершил посадку в 04:24,,UT 270ЮТэйр,ПрилетелВыдача багажа: лента А06
36,04:30,Калининград,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
37,Совершил посадку в 04:30,Совершил посадку в 04:30,,"UT 394, 7R 4394ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
38,05:00,Стамбул,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",Нет актуальной информации о статусе
39,,,,"TK 419, UT 4419Turkish Airlines, ЮТэйр",Нет актуальной информации о статусе
40,05:10,Новосибирск,,DP 420Победа,ПрилетелВыдача багажа: лента А05
41,Совершил посадку в 05:34,Совершил посадку в 05:34,,DP 420Победа,ПрилетелВыдача багажа: лента А05
42,05:35,Омск,,DP 472Победа,ПрилетелВыдача багажа: лента А07
43,Совершил посадку в 05:28,Совершил посадку в 05:28,,DP 472Победа,ПрилетелВыдача багажа: лента А07
44,05:45,Мурманск,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
45,Совершил посадку в 06:13,Совершил посадку в 06:13,,UT 578ЮТэйр,ПрилетелВыдача багажа: лента А06
46,06:00,Кайо-Коко,,ZF 536Azur Air,ПрилетелВыдача багажа: лента А10
47,Совершил посадку в 05:54,Совершил посадку в 05:54,,ZF 536Azur Air,ПрилетелВыдача багажа: лента А10
48,06:10,Сургут,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
49,Совершил посадку в 06:19,Совершил посадку в 06:19,,"UT 254, 7R 4254ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А07
50,06:15,Челябинск,,DP 414Победа,ПрилетелВыдача багажа: лента А08
51,Совершил посадку в 05:49,Совершил посадку в 05:49,,DP 414Победа,ПрилетелВыдача багажа: лента А08
52,06:15,Самарканд,,ZF 5028Azur Air,
53,Отменен,Отменен,,ZF 5028Azur Air,
54,06:20,Пермь,,DP 434Победа,ПрилетелВыдача багажа: лента А04
55,Совершил посадку в 05:57,Совершил посадку в 05:57,,DP 434Победа,ПрилетелВыдача багажа: лента А04
56,06:30,Екатеринбург,,DP 406Победа,ПрилетелВыдача багажа: лента А08
57,Совершил посадку в 07:56,Совершил посадку в 07:56,,DP 406Победа,ПрилетелВыдача багажа: лента А08
58,07:00,Курган,,DP 496Победа,ПрилетелВыдача багажа: лента А05
59,Совершил посадку в 06:35,Совершил посадку в 06:35,,DP 496Победа,ПрилетелВыдача багажа: лента А05
60,07:10,Тюмень,,DP 450Победа,ПрилетелВыдача багажа: лента А07
61,Совершил посадку в 06:42,Совершил посадку в 06:42,,DP 450Победа,ПрилетелВыдача багажа: лента А07
62,07:15,Уфа,,DP 436Победа,ПрилетелВыдача багажа: лента А08
63,Совершил посадку в 06:31,Совершил посадку в 06:31,,DP 436Победа,ПрилетелВыдача багажа: лента А08
64,07:20,Ташкент,,HY 3611Узбекистон Хаво Йуллари,ПрилетелВыдача багажа: лента А10
65,Совершил посадку в 06:59,Совершил посадку в 06:59,,HY 3611Узбекистон Хаво Йуллари,ПрилетелВыдача багажа: лента А10
66,07:20,Сургут,,DP 260Победа,ПрилетелВыдача багажа: лента А05
67,Совершил посадку в 07:02,Совершил посадку в 07:02,,DP 260Победа,ПрилетелВыдача багажа: лента А05
68,07:30,Симферополь,,4G 724Газпромавиа,ПрилетелВыдача багажа: лента А06
69,Совершил посадку в 06:16,Совершил посадку в 06:16,,4G 724Газпромавиа,ПрилетелВыдача багажа: лента А06
70,07:35,Санкт-Петербург,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
71,Совершил посадку в 07:16,Совершил посадку в 07:16,,"FV 6009, SU 6009Россия, Аэрофлот",ПрилетелВыдача багажа: лента А04
72,07:55,Екатеринбург,,DP 404Победа,ПрилетелВыдача багажа: лента А08
73,Совершил посадку в 07:27,Совершил посадку в 07:27,,DP 404Победа,ПрилетелВыдача багажа: лента А08
74,08:00,Тюмень,,TK 9000Turkish Airlines,ПрилетелВыдача багажа: лента А05
75,Совершил посадку в 07:46,Совершил посадку в 07:46,,TK 9000Turkish Airlines,ПрилетелВыдача багажа: лента А05
76,08:00,Тюмень,,"UT 454, 7R 4454ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
77,Совершил посадку в 07:46,Совершил посадку в 07:46,,"UT 454, 7R 4454ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А05
78,08:05,Красноярск,,TK 9027Turkish Airlines,ПрилетелВыдача багажа: лента А06
79,Совершил посадку в 07:42,Совершил посадку в 07:42,,TK 9027Turkish Airlines,ПрилетелВыдача багажа: лента А06
80,08:05,Красноярск,,"UT 572, 7R 4572ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
81,Совершил посадку в 07:42,Совершил посадку в 07:42,,"UT 572, 7R 4572ЮТэйр, РусЛайн",ПрилетелВыдача багажа: лента А06
