,Время,Направление,Unnamed: 2,Рейс,Статус
0,00:00,Белгород,,WZ 1082Red Wings,ПрилетелВыдача багажа: лента 7
1,Совершил посадку в 23:23 24 мая,Совершил посадку в 23:23 24 мая,,WZ 1082Red Wings,ПрилетелВыдача багажа: лента 7
2,00:00,Сочи,,ZF 8408Azur Air,ПрилетелВыдача багажа: лента 8
3,Совершил посадку в 23:37 24 мая,Совершил посадку в 23:37 24 мая,,ZF 8408Azur Air,ПрилетелВыдача багажа: лента 8
4,00:35,Москва,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 7
5,Совершил посадку в 00:35,Совершил посадку в 00:35,,U6 263Уральские авиалинии,ПрилетелВыдача багажа: лента 7
6,01:55,Москва,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 9
7,Совершил посадку в 01:24,Совершил посадку в 01:24,,SU 1406Аэрофлот,ПрилетелВыдача багажа: лента 9
8,01:55,Сочи,,ZF 348Azur Air,ПрилетелВыдача багажа: лента 10
9,Совершил посадку в 02:06,Совершил посадку в 02:06,,ZF 348Azur Air,ПрилетелВыдача багажа: лента 10
10,02:15,Москва,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
11,Совершил посадку в 02:16,Совершил посадку в 02:16,,U6 265Уральские авиалинии,ПрилетелВыдача багажа: лента 8
12,03:10,Сургут,,UT 9835ЮТэйр,ПрилетелВыдача багажа: лента 9
13,Совершил посадку в 03:08,Совершил посадку в 03:08,,UT 9835ЮТэйр,ПрилетелВыдача багажа: лента 9
14,03:25,Москва,,DP 403Победа,ПрилетелВыдача багажа: лента 10
15,Совершил посадку в 03:03,Совершил посадку в 03:03,,DP 403Победа,ПрилетелВыдача багажа: лента 10
16,03:50,Нижневартовск,,U6 6084Уральские авиалинии,ПрилетелВыдача багажа: лента 9
17,Совершил посадку в 04:01,Совершил посадку в 04:01,,U6 6084Уральские авиалинии,ПрилетелВыдача багажа: лента 9
18,04:00,Москва,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 7
19,Совершил посадку в 03:44,Совершил посадку в 03:44,,U6 271Уральские авиалинии,ПрилетелВыдача багажа: лента 7
20,04:10,Москва,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 8
21,Совершил посадку в 03:50,Совершил посадку в 03:50,,SU 1408Аэрофлот,ПрилетелВыдача багажа: лента 8
22,04:10,Москва,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 8
23,Совершил посадку в 03:50,Совершил посадку в 03:50,,JU 7067Air Serbia,ПрилетелВыдача багажа: лента 8
24,04:15,Москва,,DP 405Победа,ПрилетелВыдача багажа: лента 10
25,Совершил посадку в 04:04,Совершил посадку в 04:04,,DP 405Победа,ПрилетелВыдача багажа: лента 10
26,04:35,Москва,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 10
27,Совершил посадку в 04:17,Совершил посадку в 04:17,,WZ 421Red Wings,ПрилетелВыдача багажа: лента 10
28,04:40,Санкт-Петербург,,DP 515Победа,ПрилетелВыдача багажа: лента 7
29,Совершил посадку в 04:30,Совершил посадку в 04:30,,DP 515Победа,ПрилетелВыдача багажа: лента 7
30,04:55,Санкт-Петербург,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
31,Совершил посадку в 04:36,Совершил посадку в 04:36,,"FV 6401, SU 6401Россия, Аэрофлот",ПрилетелВыдача багажа: лента 8
32,05:05,Сочи,,DP 339Победа,ПрилетелВыдача багажа: лента 9
33,Совершил посадку в 04:39,Совершил посадку в 04:39,,DP 339Победа,ПрилетелВыдача багажа: лента 9
34,05:05,Сочи,,N4 142Nordwind,ПрилетелВыдача багажа: лента 10
